LDEV_BackTransF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",1,0,3,2,2,0,66,67,64
"8","2014/04/01 18:03",3,0,5,4,4,0,79,76,78
"9","2014/04/01 18:08",0,0,3,2,2,0,106,109,107
"10","2014/04/01 18:13",1,0,3,2,2,0,80,81,79
"11","2014/04/01 18:18",1,0,3,2,2,0,74,71,69
"12","2014/04/01 18:23",1,0,3,3,3,0,79,79,80
"13","2014/04/01 18:28",1,0,3,3,2,0,127,126,125
"14","2014/04/01 18:33",0,0,3,2,2,0,114,109,111
"15","2014/04/01 18:38",1,0,3,2,3,0,77,76,77
"16","2014/04/01 18:43",1,0,3,3,3,0,93,90,94
"17","2014/04/01 18:48",1,0,3,3,2,0,165,164,170
"18","2014/04/01 18:53",1,0,3,3,2,0,34,36,35
"19","2014/04/01 18:58",1,0,3,2,2,0,23,25,26
"20","2014/04/01 19:03",3,0,5,5,5,0,40,39,42
"21","2014/04/01 19:08",1,0,3,3,3,0,47,48,48
"22","2014/04/01 19:13",1,0,3,3,2,0,44,42,43
"23","2014/04/01 19:18",1,0,3,3,3,0,44,43,43
"24","2014/04/01 19:23",1,0,3,2,3,0,73,73,75
"25","2014/04/01 19:28",1,0,3,2,3,0,137,136,137
"26","2014/04/01 19:33",1,0,3,2,2,0,106,101,101
"27","2014/04/01 19:38",1,0,3,2,3,0,128,126,124
"28","2014/04/01 19:43",1,0,3,3,3,0,86,82,82
"29","2014/04/01 19:48",0,0,3,1,2,0,203,201,196
"30","2014/04/01 19:53",1,0,3,3,2,0,107,109,107
"31","2014/04/01 19:58",1,0,3,3,3,0,49,52,45
"32","2014/04/01 20:03",3,0,5,4,4,0,83,81,91
"33","2014/04/01 20:08",1,0,3,3,2,0,56,53,57
"34","2014/04/01 20:13",1,0,3,3,2,0,30,30,28
"35","2014/04/01 20:18",1,0,3,3,3,0,31,31,31
"36","2014/04/01 20:23",1,0,3,3,2,0,23,23,25
