LDEV_D2CS_TransF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,15,15,14
"8","2014/04/01 18:03",0,0,0,0,0,0,7,6,7
"9","2014/04/01 18:08",0,0,0,0,0,0,13,14,13
"10","2014/04/01 18:13",0,0,0,0,0,0,12,12,11
"11","2014/04/01 18:18",0,0,0,0,0,0,4,3,3
"12","2014/04/01 18:23",0,0,0,0,0,0,4,4,4
"13","2014/04/01 18:28",0,0,0,0,0,0,30,31,30
"14","2014/04/01 18:33",0,0,0,0,0,0,23,22,22
"15","2014/04/01 18:38",0,0,0,0,0,0,8,7,8
"16","2014/04/01 18:43",0,0,0,0,0,0,16,16,16
"17","2014/04/01 18:48",0,0,0,0,0,0,45,44,45
"18","2014/04/01 18:53",0,0,0,0,0,0,8,9,9
"19","2014/04/01 18:58",0,0,0,0,0,0,4,4,5
"20","2014/04/01 19:03",0,0,0,0,0,0,3,3,4
"21","2014/04/01 19:08",0,0,0,0,0,0,6,5,6
"22","2014/04/01 19:13",0,0,0,0,0,0,10,9,11
"23","2014/04/01 19:18",0,0,0,0,0,0,6,6,6
"24","2014/04/01 19:23",0,0,0,0,0,0,3,4,4
"25","2014/04/01 19:28",0,0,0,0,0,0,30,31,31
"26","2014/04/01 19:33",0,0,0,0,0,0,16,16,16
"27","2014/04/01 19:38",0,0,0,0,0,0,42,44,42
"28","2014/04/01 19:43",0,0,0,0,0,0,6,6,6
"29","2014/04/01 19:48",0,0,0,0,0,0,101,99,95
"30","2014/04/01 19:53",0,0,0,0,0,0,42,44,42
"31","2014/04/01 19:58",0,0,0,0,0,0,1,1,1
"32","2014/04/01 20:03",0,0,0,0,0,0,4,3,4
"33","2014/04/01 20:08",0,0,0,0,0,0,2,2,2
"34","2014/04/01 20:13",0,0,0,0,0,0,2,2,2
"35","2014/04/01 20:18",0,0,0,0,0,0,11,12,12
"36","2014/04/01 20:23",0,0,0,0,0,0,5,5,5
