LDEV_IOPS0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",2,3,6,3,3,4,2,2,6,2,2,1,2
"8","2014/04/01 18:03",7,9,10,12,10,12,6,8,10,8,6,7,9
"9","2014/04/01 18:08",4,6,6,5,7,7,5,5,6,5,4,5,6
"10","2014/04/01 18:13",4,7,9,9,13,12,6,7,9,7,5,6,9
"11","2014/04/01 18:18",3,6,5,5,6,6,4,5,5,5,3,5,5
"12","2014/04/01 18:23",5,9,11,12,12,14,8,9,11,9,7,8,9
"13","2014/04/01 18:28",3,5,6,6,7,7,6,5,7,4,3,5,6
"14","2014/04/01 18:33",5,8,9,9,11,11,7,7,10,9,6,6,9
"15","2014/04/01 18:38",5,8,9,9,11,12,7,7,9,11,5,6,9
"16","2014/04/01 18:43",7,11,12,12,15,15,9,9,13,10,8,9,12
"17","2014/04/01 18:48",4,8,6,7,8,8,5,5,8,5,4,4,7
"18","2014/04/01 18:53",5,9,9,10,11,11,7,9,9,8,6,7,10
"19","2014/04/01 18:58",3,6,6,6,7,8,4,5,6,5,4,4,5
