LDEV_IOPS21.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:00X(X743-1)","00:21:01X(X744-1)","00:21:02X(X745-1)","00:21:03X(X746-1)","00:21:04X(X747-1)","00:21:05X(X767-1)","00:21:06X(X820-1)","00:21:07X(X821-1)","00:21:08X(X822-1)","00:21:09X(X823-1)","00:21:0AX(X824-1)","00:21:0BX(X825-1)","00:21:0CX(X826-1)","00:21:0DX(X827-1)","00:21:0EX(X828-1)","00:21:0FX(X829-1)","00:21:10X(X830-1)","00:21:11X(X831-1)","00:21:12X(X832-1)","00:21:13X(X833-1)","00:21:14X(X834-1)","00:21:15X(X838-1)","00:21:16X(X839-1)","00:21:17X(X840-1)","00:21:18X(X841-1)","00:21:19X(X842-1)","00:21:1AX(X843-1)","00:21:1BX(X844-1)","00:21:1CX(X845-1)","00:21:1DX(X846-1)","00:21:1EX(X847-1)","00:21:1FX(X848-1)","00:21:20X(X849-1)","00:21:21X(X850-1)","00:21:22X(X851-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",7,7,8,7,18,7,8,8,39,6,6,8,8,7,8,8,7,7,9,6,7,7,8,7,5,13,8,7,9,25,312,0,0,0,0
"8","2014/04/01 18:03",7,9,9,8,23,7,10,8,46,8,7,8,7,8,9,8,9,7,11,7,8,8,8,7,7,14,12,9,11,29,418,0,0,0,0
"9","2014/04/01 18:08",8,8,9,7,19,7,9,9,45,7,7,8,8,7,10,8,10,9,11,7,9,8,8,8,6,14,12,11,11,31,310,0,0,0,3
"10","2014/04/01 18:13",8,7,8,7,17,7,8,8,43,7,7,8,8,7,8,8,8,7,11,6,7,7,8,7,7,14,13,8,11,28,371,0,0,0,0
"11","2014/04/01 18:18",7,8,9,8,21,8,8,8,44,6,7,7,9,8,8,9,9,7,10,7,7,8,9,7,7,14,8,8,10,28,397,0,0,0,0
"12","2014/04/01 18:23",8,8,9,9,19,7,9,8,41,8,7,8,9,7,8,9,9,7,12,8,8,8,9,8,7,15,11,8,12,26,312,0,0,0,0
"13","2014/04/01 18:28",10,11,10,9,21,8,10,9,45,8,8,10,10,8,10,9,10,9,11,8,9,10,10,10,8,16,14,9,12,27,366,0,0,0,1
"14","2014/04/01 18:33",7,8,9,7,18,6,7,7,44,7,6,6,8,7,9,8,7,8,10,7,7,8,8,6,5,14,8,8,10,28,338,0,0,0,0
"15","2014/04/01 18:38",8,10,9,8,14,7,9,9,43,8,7,8,8,8,9,9,9,8,11,8,8,8,10,10,7,15,13,9,11,28,336,0,0,0,1
"16","2014/04/01 18:43",9,10,11,10,23,9,11,11,47,8,9,9,11,9,11,9,12,10,12,10,10,11,11,9,8,17,11,10,13,30,395,0,0,0,1
"17","2014/04/01 18:48",9,11,11,9,21,9,12,10,45,8,9,10,11,9,11,10,10,9,12,10,9,9,10,9,10,17,16,10,13,27,378,0,0,0,0
"18","2014/04/01 18:53",8,10,10,9,22,9,9,9,46,8,8,8,9,9,11,9,9,8,12,9,9,9,9,10,7,17,15,10,12,32,407,0,0,0,1
"19","2014/04/01 18:58",7,7,7,8,21,7,8,8,46,7,6,7,8,7,8,7,7,7,9,7,7,7,8,7,6,12,8,8,11,28,416,0,0,0,0
"20","2014/04/01 19:03",9,10,10,10,19,9,10,8,46,8,8,8,9,8,11,9,9,9,11,9,8,9,8,9,8,14,12,11,12,28,394,0,0,0,1
"21","2014/04/01 19:08",7,9,8,9,16,8,8,8,44,7,6,7,8,7,8,8,8,8,10,7,8,7,7,7,7,14,12,8,10,29,362,0,0,0,1
"22","2014/04/01 19:13",8,8,9,10,16,9,9,9,46,8,7,8,8,8,9,8,7,8,9,8,7,8,8,8,7,14,10,9,11,30,407,0,0,0,0
"23","2014/04/01 19:18",8,9,9,9,23,9,8,9,45,8,7,7,9,8,9,9,8,9,10,8,8,8,7,8,7,14,9,10,11,28,398,0,0,0,0
"24","2014/04/01 19:23",9,9,10,9,22,7,9,9,44,7,8,7,9,8,10,10,8,9,10,7,8,9,8,8,6,14,10,10,11,28,363,0,0,0,0
"25","2014/04/01 19:28",9,10,10,10,23,8,10,9,47,7,7,8,9,8,10,9,9,9,11,9,9,9,10,9,7,14,13,10,11,28,432,0,0,0,0
"26","2014/04/01 19:33",10,12,13,12,15,9,11,11,51,10,10,11,12,10,13,12,11,11,12,11,9,12,12,11,9,16,14,12,13,31,486,0,0,0,1
"27","2014/04/01 19:38",9,11,10,12,20,8,11,10,49,9,9,9,11,8,10,11,9,12,10,9,9,9,10,8,8,16,15,10,11,29,318,0,0,0,1
"28","2014/04/01 19:43",9,10,10,10,19,8,10,9,37,8,8,9,9,8,10,10,8,9,10,8,8,9,9,8,8,13,11,10,11,23,403,0,0,0,0
"29","2014/04/01 19:48",8,9,9,9,21,8,8,9,45,6,7,7,8,8,10,9,8,9,10,7,7,8,9,7,8,13,9,9,10,27,439,0,0,0,0
"30","2014/04/01 19:53",8,10,10,10,20,8,9,9,43,8,8,8,9,8,9,10,9,9,10,8,7,8,8,9,7,14,12,9,11,25,292,0,0,0,0
