LDEV_Read_Hit0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",91,94,95,92,93,96,93,92,93,94,91,95,93
"8","2014/04/01 18:03",87,90,87,93,91,92,90,90,91,89,90,89,90
"9","2014/04/01 18:08",91,94,92,93,92,94,92,92,92,92,92,93,93
"10","2014/04/01 18:13",87,91,91,93,92,92,92,92,90,92,89,90,91
"11","2014/04/01 18:18",80,89,86,85,89,91,86,87,89,84,83,87,89
"12","2014/04/01 18:23",88,88,87,91,91,92,88,89,90,90,87,89,88
"13","2014/04/01 18:28",80,85,86,86,87,87,80,84,87,84,80,82,86
"14","2014/04/01 18:33",79,85,86,88,89,88,85,86,85,88,82,83,88
"15","2014/04/01 18:38",88,89,89,89,91,90,87,87,89,89,87,86,90
"16","2014/04/01 18:43",84,90,89,90,90,93,85,91,90,87,83,89,90
"17","2014/04/01 18:48",85,89,89,91,90,93,86,89,90,87,87,88,88
"18","2014/04/01 18:53",82,87,87,89,90,90,86,88,89,87,88,84,86
"19","2014/04/01 18:58",86,87,87,91,86,91,84,89,88,87,82,86,88
