LDEV_Read_Hit21.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:00X(X743-1)","00:21:01X(X744-1)","00:21:02X(X745-1)","00:21:03X(X746-1)","00:21:04X(X747-1)","00:21:05X(X767-1)","00:21:06X(X820-1)","00:21:07X(X821-1)","00:21:08X(X822-1)","00:21:09X(X823-1)","00:21:0AX(X824-1)","00:21:0BX(X825-1)","00:21:0CX(X826-1)","00:21:0DX(X827-1)","00:21:0EX(X828-1)","00:21:0FX(X829-1)","00:21:10X(X830-1)","00:21:11X(X831-1)","00:21:12X(X832-1)","00:21:13X(X833-1)","00:21:14X(X834-1)","00:21:15X(X838-1)","00:21:16X(X839-1)","00:21:17X(X840-1)","00:21:18X(X841-1)","00:21:19X(X842-1)","00:21:1AX(X843-1)","00:21:1BX(X844-1)","00:21:1CX(X845-1)","00:21:1DX(X846-1)","00:21:1EX(X847-1)","00:21:1FX(X848-1)","00:21:20X(X849-1)","00:21:21X(X850-1)","00:21:22X(X851-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",48,54,32,19,93,18,72,32,97,22,39,24,27,42,38,25,58,29,70,25,33,23,19,51,17,90,42,28,81,99,99,94,98,96,91
"8","2014/04/01 18:03",36,53,40,32,94,28,72,40,97,35,40,37,28,37,39,30,58,33,66,36,34,38,32,56,32,88,82,37,81,99,99,100,100,75,41
"9","2014/04/01 18:08",72,79,70,66,94,57,82,75,97,68,73,69,57,67,70,67,78,76,82,68,82,75,68,78,66,92,89,81,88,99,98,55,85,0,30
"10","2014/04/01 18:13",51,61,44,32,93,34,74,52,97,37,54,44,32,55,49,38,61,40,67,48,45,43,39,56,32,90,85,49,82,99,99,98,98,90,91
"11","2014/04/01 18:18",31,54,39,27,94,32,70,42,98,25,37,30,28,42,33,30,61,28,70,39,33,36,26,49,29,90,29,33,82,99,99,57,80,75,52
"12","2014/04/01 18:23",46,55,39,27,91,28,67,43,96,32,38,33,34,40,40,35,62,34,63,41,39,32,33,47,24,88,73,37,80,99,99,62,100,0,23
"13","2014/04/01 18:28",51,53,45,33,92,31,68,51,96,33,46,43,36,46,49,40,56,39,68,39,40,46,36,56,33,88,84,44,82,99,99,98,98,90,91
"14","2014/04/01 18:33",36,53,39,31,94,21,73,44,98,25,38,30,27,41,33,32,59,41,67,39,36,33,35,53,22,89,37,38,83,99,99,100,80,50,23
"15","2014/04/01 18:38",67,72,67,62,88,39,78,65,97,63,68,64,54,58,60,63,72,69,77,65,64,64,59,74,49,88,83,67,84,99,99,100,100,50,35
"16","2014/04/01 18:43",66,68,62,55,92,39,79,63,97,53,66,56,54,58,63,55,64,57,80,62,60,57,59,72,41,90,73,59,83,99,99,94,98,90,91
"17","2014/04/01 18:48",52,60,54,40,92,34,69,47,96,39,57,50,44,45,44,44,60,49,70,52,53,50,44,64,38,87,83,51,79,99,99,57,80,75,41
"18","2014/04/01 18:53",47,56,47,69,92,23,67,46,96,43,47,38,42,46,43,44,60,43,68,53,55,44,34,62,32,89,80,51,82,99,99,100,100,0,29
"19","2014/04/01 18:58",51,54,40,67,93,31,72,37,97,32,42,26,46,45,44,29,55,31,66,35,35,32,36,47,28,88,51,37,81,99,99,98,98,90,91
"20","2014/04/01 19:03",54,55,47,64,91,38,76,50,97,36,50,43,38,48,39,51,57,39,69,48,42,41,41,49,35,86,77,51,81,99,99,75,85,50,31
"21","2014/04/01 19:08",55,70,57,74,91,33,76,57,97,56,61,55,53,51,55,57,67,64,76,57,60,58,49,68,46,89,83,54,83,99,99,50,85,0,14
"22","2014/04/01 19:13",54,57,45,70,91,32,70,36,97,29,48,32,26,40,47,36,49,38,70,36,42,39,33,54,26,88,68,42,82,99,99,94,98,92,91
"23","2014/04/01 19:18",40,57,33,68,94,19,69,34,97,26,33,20,22,30,27,30,53,24,63,26,27,20,15,40,24,88,23,24,83,99,99,57,80,100,17
"24","2014/04/01 19:23",32,55,36,72,95,20,70,37,97,22,34,25,25,33,25,27,53,29,68,29,33,23,22,47,22,90,50,30,81,99,99,50,100,0,22
"25","2014/04/01 19:28",52,56,32,68,94,15,68,36,97,24,39,21,20,40,35,30,46,24,65,25,27,22,26,47,20,88,84,26,83,99,99,94,98,92,93
"26","2014/04/01 19:33",62,68,64,77,87,53,78,64,97,56,59,59,50,56,59,54,67,52,76,55,54,61,53,64,48,88,73,60,84,99,99,62,85,0,50
"27","2014/04/01 19:38",60,76,63,83,94,46,83,65,98,66,63,58,54,56,60,64,70,72,80,63,69,67,54,76,45,90,89,63,88,99,99,50,100,0,25
"28","2014/04/01 19:43",45,47,30,65,92,13,70,34,96,14,37,21,23,34,33,22,42,24,64,22,25,21,17,37,14,84,55,23,81,99,99,94,94,90,92
"29","2014/04/01 19:48",28,52,31,67,94,3,69,23,97,6,19,8,18,21,9,19,38,18,63,16,20,7,6,29,5,85,47,16,79,99,99,62,57,0,0
"30","2014/04/01 19:53",44,52,31,76,94,14,76,34,97,13,31,19,21,33,18,25,55,32,71,30,35,18,18,43,13,88,82,28,85,99,99,60,66,0,0
