LDEV_Read_Hit50.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:00X(X297-1)","00:50:01X(X1021-1)","00:50:02X(X1022-1)","00:50:03X(X1023-1)","00:50:04X(X1024-1)","00:50:05X(X1025-1)","00:50:06X(X1026-1)","00:50:07X(X1027-1)","00:50:08X(X1028-1)","00:50:09X(X1029-1)","00:50:0AX(X1030-1)","00:50:0BX(X1031-1)","00:50:0DX(X15-1)","00:50:0EX(X272-1)","00:50:10X(X250-1)","00:50:11X(X273-1)","00:50:12X(X284-1)","00:50:13X(X285-1)","00:50:14X(X286-1)","00:50:15X(X287-1)","00:50:16X(X288-1)","00:50:17X(X289-1)","00:50:18X(X291-1)","00:50:19X(X292-1)","00:50:1AX(X293-1)","00:50:1BX(X294-1)","00:50:1CX(X295-1)","00:50:1DX(X296-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,89,29,33,31,27,80,62,82,27,28,41,92,51,97,97,94,97,92,93,97,97,94,92,95,93,92,100
"8","2014/04/01 18:03",0,96,71,80,58,72,94,87,94,84,86,83,86,78,90,99,98,99,97,98,98,99,98,98,98,98,98,93
"9","2014/04/01 18:08",0,96,38,52,44,66,91,49,89,40,0,19,79,45,99,99,98,99,98,98,99,99,98,98,98,98,97,98
"10","2014/04/01 18:13",0,95,37,56,32,54,88,72,85,33,4,12,84,64,99,98,96,98,94,95,97,98,95,96,96,96,94,99
"11","2014/04/01 18:18",0,67,10,10,7,12,46,14,53,75,84,80,87,74,96,93,80,91,82,82,90,92,80,81,86,74,72,95
"12","2014/04/01 18:23",0,76,15,15,13,17,53,17,60,76,90,96,84,65,96,93,86,94,86,84,92,93,88,89,90,84,79,90
"13","2014/04/01 18:28",0,96,59,67,40,61,92,79,93,20,18,17,89,52,99,99,98,99,97,98,99,99,97,98,98,98,97,100
"14","2014/04/01 18:33",0,96,76,79,86,85,93,90,92,89,89,98,91,38,99,99,98,99,97,98,98,98,97,97,97,97,97,97
"15","2014/04/01 18:38",0,97,59,54,50,73,92,69,95,23,0,25,87,33,99,99,98,99,98,98,99,99,98,98,98,98,97,100
"16","2014/04/01 18:43",0,97,90,89,91,94,98,93,95,99,99,99,86,68,97,99,98,99,97,97,98,98,98,97,98,98,98,99
"17","2014/04/01 18:48",0,80,34,20,8,25,55,23,68,89,84,87,88,83,95,94,88,92,83,84,93,94,85,82,89,83,78,94
"18","2014/04/01 18:53",0,72,10,13,17,14,50,14,85,99,95,99,89,72,96,94,86,93,81,91,91,92,84,83,88,82,81,95
"19","2014/04/01 18:58",0,89,22,33,22,28,69,48,76,99,99,98,85,67,98,95,91,96,89,91,97,96,92,90,93,91,88,99
"20","2014/04/01 19:03",0,95,75,75,50,79,95,87,92,82,58,91,75,40,89,99,98,99,96,99,98,99,98,98,98,98,97,95
"21","2014/04/01 19:08",0,96,34,53,27,67,91,49,89,47,0,14,81,45,99,99,98,99,98,98,98,99,98,98,98,98,97,98
"22","2014/04/01 19:13",0,95,60,54,32,53,89,73,82,37,0,40,87,57,99,98,95,98,93,96,98,98,96,96,96,94,92,100
"23","2014/04/01 19:18",0,67,24,21,8,12,48,16,58,99,99,99,81,50,95,93,84,94,83,85,91,92,89,85,92,76,77,94
"24","2014/04/01 19:23",0,74,9,40,8,17,50,14,57,81,67,96,76,52,96,93,84,93,85,84,92,95,87,83,90,83,81,92
"25","2014/04/01 19:28",0,96,54,71,48,65,87,84,90,10,15,14,74,50,99,99,97,99,96,98,98,99,98,97,98,97,96,98
"26","2014/04/01 19:33",0,94,85,88,85,86,91,92,88,90,97,81,74,58,98,98,95,99,95,96,98,98,97,96,96,96,98,95
"27","2014/04/01 19:38",0,86,17,25,10,19,79,12,67,15,78,21,79,55,96,95,91,95,88,89,94,94,88,91,91,86,80,96
"28","2014/04/01 19:43",0,89,32,84,24,25,89,51,72,84,96,99,76,70,97,96,92,97,92,89,96,96,93,95,95,89,88,95
"29","2014/04/01 19:48",0,61,27,28,30,27,44,24,48,74,80,73,75,45,93,86,75,86,69,71,82,87,72,70,83,69,71,95
"30","2014/04/01 19:53",0,61,19,28,18,21,41,24,41,65,96,66,93,68,92,87,84,90,79,74,85,86,73,73,86,70,79,91
"31","2014/04/01 19:58",0,72,7,12,26,8,43,24,47,5,15,14,72,76,95,91,83,91,79,83,91,92,81,80,88,77,78,98
"32","2014/04/01 20:03",0,94,50,73,57,67,95,85,93,82,84,77,65,67,89,98,97,99,96,98,98,99,98,98,98,97,97,96
"33","2014/04/01 20:08",0,95,25,40,18,63,88,40,87,39,0,22,66,38,98,98,97,98,97,97,98,98,97,97,97,95,95,100
"34","2014/04/01 20:13",0,95,38,64,47,72,88,77,86,33,0,82,74,64,99,99,98,99,96,97,98,98,96,97,97,97,95,100
"35","2014/04/01 20:18",0,66,7,11,6,12,46,12,50,78,79,76,82,68,96,93,80,92,79,81,89,91,79,80,85,77,70,95
