LDEV_Response01.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:00(1-13)","00:01:01(1-13)","00:01:02(1-13)","00:01:03(1-13)","00:01:04X(X279-1)","00:01:0B(1-14)","00:01:0C(1-14)","00:01:0D(1-14)","00:01:0E(1-14)","00:01:0F(1-14)","00:01:10(1-14)","00:01:11(1-14)","00:01:12(1-14)","00:01:13(1-14)","00:01:14(1-14)","00:01:15(1-14)","00:01:16X(X46-1)","00:01:4F(1-1)","00:01:50(1-1)","00:01:51(1-1)","00:01:52(1-1)","00:01:53(1-1)","00:01:54(1-1)","00:01:55(1-1)","00:01:56(1-1)","00:01:59(1-1)","00:01:5A(1-1)","00:01:5B(1-1)","00:01:5C(1-1)","00:01:C5X(X487-1)","00:01:D3X(X488-1)","00:01:D7X(X489-1)","00:01:DBX(X490-1)","00:01:DDX(X552-1)","00:01:DEX(X553-1)","00:01:DFX(X491-1)","00:01:E1X(X492-1)","00:01:E4X(X493-1)","00:01:E5X(X494-1)","00:01:E6X(X495-1)","00:01:E7X(X496-1)","00:01:E8X(X497-1)","00:01:E9X(X498-1)","00:01:EAX(X499-1)","00:01:EBX(X500-1)","00:01:ECX(X501-1)","00:01:EDX(X502-1)","00:01:EEX(X503-1)","00:01:EFX(X504-1)","00:01:F0X(X505-1)","00:01:F1X(X506-1)","00:01:F2X(X507-1)","00:01:F3X(X508-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",412,-3,-3,-3,4815,-3,1028,-3,-3,-3,-3,-3,-3,-3,694,-3,-3,932,-3,-3,-3,-3,-3,-3,-3,-3,-3,1902,-3,-3,-3,278,-3,-3,-3,3331,1570,-3,-3,-3,-3,-3,-3,1035,-3,-3,-3,-3,-3,-3,-3,-3,-3
"8","2014/04/01 18:03",776,-3,-3,-3,4509,-3,3477,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,851,-3,-3,-3,-3,-3,-3,-3,-3,-3,1992,-3,-3,-3,770,2592,-3,-3,2040,827,1682,-3,-3,-3,1320,-3,1059,3700,-3,1641,3697,-3,1532,3132,-3,-3
"9","2014/04/01 18:08",892,-3,-3,-3,5856,-3,1310,-3,-3,-3,-3,-3,-3,-3,2152,-3,-3,891,-3,-3,-3,-3,-3,-3,-3,-3,-3,1680,-3,-3,-3,281,2489,-3,-3,1228,985,1611,2841,1493,2954,1556,3115,607,2542,2781,2429,2400,2935,2138,1584,2330,1499
"10","2014/04/01 18:13",511,-3,-3,-3,6835,-3,957,-3,-3,-3,-3,-3,-3,-3,836,-3,-3,595,-3,-3,-3,-3,-3,-3,-3,-3,-3,3019,-3,-3,-3,204,-3,-3,-3,2393,1200,-3,-3,-3,1783,-3,2185,1150,3001,-3,-3,-3,-3,-3,-3,-3,-3
