LDEV_Response0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",1968,1181,994,1344,1459,819,1279,1646,913,1167,1911,1432,1250
"8","2014/04/01 18:03",1290,1473,1872,1088,1425,1314,1980,1483,1440,1660,1609,1804,1800
"9","2014/04/01 18:08",1321,956,1430,1219,1457,1269,1252,1451,1193,1402,1390,1483,1406
"10","2014/04/01 18:13",1632,1344,1539,1232,1097,1275,1685,1447,1487,1972,2147,1357,1459
"11","2014/04/01 18:18",3322,1989,2352,2098,1953,1946,2438,2074,1979,2574,2441,2130,2168
"12","2014/04/01 18:23",2202,1877,2002,1597,1709,1424,2222,1835,1656,1828,2535,1765,2153
"13","2014/04/01 18:28",5960,3779,4215,3438,3327,3539,3243,4119,3496,4122,5255,4972,3469
"14","2014/04/01 18:33",2934,2599,2400,2039,1974,2271,2638,2671,2413,1684,3450,2989,2333
"15","2014/04/01 18:38",2841,2410,2521,2362,1899,2603,2954,2949,2845,1699,3597,3537,2283
"16","2014/04/01 18:43",2178,1796,1952,1521,1747,1257,2460,1581,1652,2078,2752,1877,1891
