LDEV_Response21.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:00X(X743-1)","00:21:01X(X744-1)","00:21:02X(X745-1)","00:21:03X(X746-1)","00:21:04X(X747-1)","00:21:05X(X767-1)","00:21:06X(X820-1)","00:21:07X(X821-1)","00:21:08X(X822-1)","00:21:09X(X823-1)","00:21:0AX(X824-1)","00:21:0BX(X825-1)","00:21:0CX(X826-1)","00:21:0DX(X827-1)","00:21:0EX(X828-1)","00:21:0FX(X829-1)","00:21:10X(X830-1)","00:21:11X(X831-1)","00:21:12X(X832-1)","00:21:13X(X833-1)","00:21:14X(X834-1)","00:21:15X(X838-1)","00:21:16X(X839-1)","00:21:17X(X840-1)","00:21:18X(X841-1)","00:21:19X(X842-1)","00:21:1AX(X843-1)","00:21:1BX(X844-1)","00:21:1CX(X845-1)","00:21:1DX(X846-1)","00:21:1EX(X847-1)","00:21:1FX(X848-1)","00:21:20X(X849-1)","00:21:21X(X850-1)","00:21:22X(X851-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",6946,6413,7978,8138,2780,7207,6189,7765,1532,7337,6898,6339,6662,6735,6763,7930,6007,6883,6279,7462,7639,7895,7029,7074,8144,3839,6683,7121,5376,252,514,-3,-3,-3,-3
"8","2014/04/01 18:03",10093,9921,11930,12018,4786,11945,10438,11948,2165,11187,10867,10497,11258,11382,10020,12906,10950,10768,8567,11743,12414,12235,10142,11558,13025,5800,6842,12137,7689,216,526,-3,-3,-3,-3
"9","2014/04/01 18:08",21158,12677,22107,16697,8618,19825,23650,21961,5291,28889,25809,21261,27657,17631,14017,21235,15125,22246,12718,13835,18732,22172,15360,20022,20903,9088,11267,19788,15404,240,952,-3,-3,-3,3860
"10","2014/04/01 18:13",22572,17626,19437,20817,9804,21168,24110,22093,3944,28949,25009,18727,27073,17931,19987,24647,24644,25505,19245,18449,23766,27803,17570,26280,19697,14569,13941,24190,14089,305,781,-3,-3,-3,-3
"11","2014/04/01 18:18",6382,5751,6049,6459,2434,7203,6156,6524,1265,6495,6572,6648,6960,6497,6126,7171,6497,6889,5989,6600,5924,6768,6188,5742,6793,3689,6134,6705,4130,201,427,-3,-3,-3,-3
"12","2014/04/01 18:23",13839,12519,14684,14566,6562,15750,15618,14713,3362,16971,16125,16074,13962,14795,16768,15934,15364,15888,12513,15302,13131,15067,14091,13765,16172,8759,11357,16440,11924,293,635,-3,-3,-3,-3
"13","2014/04/01 18:28",15476,15692,16380,17287,7877,17815,19098,17908,4577,20983,19567,18644,16789,17998,16033,20899,20080,15638,13776,19725,16936,16015,17750,16298,20332,11502,11422,18557,14712,337,654,-3,-3,-3,5053
"14","2014/04/01 18:33",6232,6814,7460,6794,2499,6628,6601,7047,1424,8139,6936,7597,6955,6589,7757,7952,7109,6014,6173,6719,6197,6372,7510,5956,6907,4045,5922,7479,5311,202,456,-3,-3,-3,-3
"15","2014/04/01 18:38",13744,14332,16469,14556,9288,10288,15749,14124,3348,18035,17294,12638,17283,9646,16221,16234,16405,9361,12355,11361,13028,10859,12635,8868,14916,6624,8950,15323,11681,216,746,-3,-3,-3,7334
"16","2014/04/01 18:43",25412,29124,32533,34153,13557,30026,25675,30401,5870,25774,24932,19017,31458,19655,28581,31885,29174,17762,22561,18704,31141,19387,29189,20764,34272,13017,24134,30631,20304,275,798,-3,-3,-3,8687
"17","2014/04/01 18:48",20246,27336,29409,27575,11016,25523,26272,28415,6036,30276,19183,19201,29606,28706,28871,26794,31028,23158,18403,19035,25010,25478,29443,25584,21151,12959,16350,29225,14876,402,733,-3,-3,-3,-3
"18","2014/04/01 18:53",19119,17488,18676,16355,7705,17259,17055,17142,4264,19874,19510,18836,19102,19408,15897,17449,19272,21819,14964,17931,16444,19836,18668,16861,20102,10532,12423,18870,12953,305,641,-3,-3,-3,6375
"19","2014/04/01 18:58",11913,7164,11596,25877,11013,25092,26144,27456,5225,21630,14661,13427,16698,30211,18691,29452,29224,16428,23785,8586,8268,10761,26132,9934,17688,16316,25502,22558,18400,247,675,-3,-3,-3,-3
"20","2014/04/01 19:03",25713,14749,22189,32456,17087,21257,34631,38375,5206,17275,37199,33876,32789,35152,24903,36688,36279,29952,29537,15451,15991,26367,33593,25873,37598,14326,23561,27005,26607,459,1089,-3,-3,-3,6412
"21","2014/04/01 19:08",23243,14428,10042,8788,5348,9978,20892,21676,4052,12504,10544,21288,22951,15866,20352,21449,22821,20880,17854,11616,11735,19170,19886,18540,14148,12664,15337,10056,11827,262,596,-3,-3,-3,16408
"22","2014/04/01 19:13",11788,9892,15396,11540,8544,11091,12371,12371,2504,18517,17312,12668,17336,10443,16193,13554,13077,17208,14935,16877,17626,15892,12069,16268,15048,8435,13223,15481,11320,286,505,-3,-3,-3,-3
"23","2014/04/01 19:18",7902,8147,7529,6725,3096,7495,7391,8871,1688,9169,9192,8726,9797,7245,8295,9643,7512,10044,7423,8189,8736,9462,8757,9033,8302,5241,7794,7607,5675,297,544,-3,-3,-3,-3
