LDEV_Response2A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:0B(5-4)","00:2A:0C(5-4)","00:2A:0D(5-15)","00:2A:0E(5-4)","00:2A:0F(5-15)","00:2A:10(5-4)","00:2A:11(5-15)","00:2A:1E(5-1)","00:2A:1F(5-1)","00:2A:20(5-1)","00:2A:21(13-2)","00:2A:80(5-5)","00:2A:81(5-5)","00:2A:82(5-5)","00:2A:83(5-5)","00:2A:84(5-5)","00:2A:85(5-6)","00:2A:86(5-6)","00:2A:87(5-6)","00:2A:B9(13-1)","00:2A:C1X(X620-1)","00:2A:DF(13-2)","00:2A:E0(13-2)","00:2A:E1(13-2)","00:2A:E2(13-2)","00:2A:E3(13-2)","00:2A:E4(13-2)","00:2A:E5(13-2)","00:2A:E8(5-5)","00:2A:ECX(X625-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,575,-3,-3,-3,-3,-3,-3,-3,-3,-3
"8","2014/04/01 18:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,444,-3,-3,-3,-3,-3,-3,-3,-3,-3
"9","2014/04/01 18:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,537,-3,-3,-3,-3,-3,-3,-3,-3,-3
"10","2014/04/01 18:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,566,-3,-3,-3,-3,-3,-3,-3,-3,-3
"11","2014/04/01 18:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,575,-3,-3,-3,-3,-3,-3,-3,-3,-3
