LDEV_Response34.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:34:03X(X433-1)","00:34:04X(X714-1)","00:34:05X(X716-1)","00:34:06X(X854-1)","00:34:07X(X555-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4
"7","2014/04/01 17:58",-3,-3,-3,-3,170
"8","2014/04/01 18:03",-3,-3,-3,-3,151
"9","2014/04/01 18:08",-3,-3,-3,-3,199
"10","2014/04/01 18:13",-3,-3,-3,-3,168
"11","2014/04/01 18:18",-3,-3,-3,-3,172
"12","2014/04/01 18:23",-3,-3,-3,-3,207
"13","2014/04/01 18:28",-3,-3,-3,-3,202
"14","2014/04/01 18:33",-3,-3,-3,-3,453
"15","2014/04/01 18:38",-3,-3,-3,-3,216
"16","2014/04/01 18:43",-3,-3,-3,-3,211
"17","2014/04/01 18:48",-3,-3,-3,-3,203
"18","2014/04/01 18:53",-3,-3,-3,-3,209
"19","2014/04/01 18:58",-3,-3,-3,-3,164
"20","2014/04/01 19:03",-3,-3,-3,-3,1865
"21","2014/04/01 19:08",-3,-3,-3,-3,225
"22","2014/04/01 19:13",-3,-3,-3,-3,225
"23","2014/04/01 19:18",-3,-3,-3,-3,258
"24","2014/04/01 19:23",-3,-3,-3,-3,204
"25","2014/04/01 19:28",-3,-3,-3,-3,317
"26","2014/04/01 19:33",-3,-3,-3,-3,1217
"27","2014/04/01 19:38",-3,-3,-3,-3,321
"28","2014/04/01 19:43",-3,-3,-3,-3,218
"29","2014/04/01 19:48",-3,-3,-3,-3,384
"30","2014/04/01 19:53",-3,-3,-3,-3,212
"31","2014/04/01 19:58",1050,-3,-3,-3,220
"32","2014/04/01 20:03",-3,-3,-3,-3,172
"33","2014/04/01 20:08",-3,-3,-3,-3,198
"34","2014/04/01 20:13",-3,-3,-3,-3,231
"35","2014/04/01 20:18",-3,-3,-3,-3,583
"36","2014/04/01 20:23",-3,-3,-3,-3,187
"37","2014/04/01 20:28",-3,-3,-3,-3,216
"38","2014/04/01 20:33",-3,-3,-3,-3,161
"39","2014/04/01 20:38",-3,-3,-3,-3,175
"40","2014/04/01 20:43",-3,-3,-3,-3,175
"41","2014/04/01 20:48",-3,-3,-3,-3,224
"42","2014/04/01 20:53",-3,-3,-3,-3,167
"43","2014/04/01 20:58",-3,-3,-3,-3,205
"44","2014/04/01 21:03",-3,-3,-3,-3,199
"45","2014/04/01 21:08",1303,-3,-3,-3,190
"46","2014/04/01 21:13",-3,-3,-3,-3,292
"47","2014/04/01 21:18",-3,-3,-3,-3,210
"48","2014/04/01 21:23",-3,-3,-3,-3,174
"49","2014/04/01 21:28",-3,-3,-3,-3,153
"50","2014/04/01 21:33",-3,-3,-3,-3,296
"51","2014/04/01 21:38",-3,-3,-3,-3,221
"52","2014/04/01 21:43",-3,-3,-3,-3,237
"53","2014/04/01 21:48",-3,-3,-3,-3,178
"54","2014/04/01 21:53",-3,-3,-3,-3,210
"55","2014/04/01 21:58",-3,-3,-3,-3,189
"56","2014/04/01 22:03",-3,-3,-3,-3,192
"57","2014/04/01 22:08",-3,-3,-3,-3,497
"58","2014/04/01 22:13",-3,-3,-3,-3,4892
"59","2014/04/01 22:18",-3,-3,-3,-3,265
"60","2014/04/01 22:23",-3,-3,-3,-3,266
"61","2014/04/01 22:28",-3,-3,-3,-3,209
"62","2014/04/01 22:33",2890,-3,-3,-3,301
"63","2014/04/01 22:38",-3,-3,-3,-3,387
"64","2014/04/01 22:43",-3,-3,-3,-3,273
"65","2014/04/01 22:48",-3,-3,-3,-3,3502
"66","2014/04/01 22:53",-3,-3,-3,-3,862
"67","2014/04/01 22:58",-3,-3,-3,-3,6293
"68","2014/04/01 23:03",-3,-3,-3,-3,1981
"69","2014/04/01 23:08",-3,-3,-3,-3,4940
"70","2014/04/01 23:13",-3,-3,-3,-3,7149
"71","2014/04/01 23:18",-3,-3,-3,-3,8031
"72","2014/04/01 23:23",-3,-3,-3,-3,3037
"73","2014/04/01 23:28",-3,-3,-3,-3,9093
"74","2014/04/01 23:33",-3,-3,-3,-3,6712
"75","2014/04/01 23:38",-3,-3,-3,-3,6899
"76","2014/04/01 23:43",-3,-3,-3,-3,4193
"77","2014/04/01 23:48",-3,-3,-3,-3,3901
"78","2014/04/01 23:53",-3,-3,-3,-3,4301
"79","2014/04/01 23:58",-3,-3,-3,-3,3108
"80","2014/04/02 00:03",-3,-3,-3,-3,462
"81","2014/04/02 00:08",9803,-3,-3,-3,4625
"82","2014/04/02 00:13",-3,-3,-3,-3,460
"83","2014/04/02 00:18",-3,-3,-3,-3,414
"84","2014/04/02 00:23",-3,-3,-3,-3,457
"85","2014/04/02 00:28",-3,-3,-3,-3,276
"86","2014/04/02 00:33",-3,-3,-3,-3,340
"87","2014/04/02 00:38",-3,-3,-3,-3,249
"88","2014/04/02 00:43",-3,-3,-3,-3,338
"89","2014/04/02 00:48",-3,-3,-3,-3,241
"90","2014/04/02 00:53",-3,-3,-3,-3,674
"91","2014/04/02 00:58",-3,-3,-3,-3,442
"92","2014/04/02 01:03",3540,-3,-3,-3,266
"93","2014/04/02 01:08",-3,-3,-3,-3,248
"94","2014/04/02 01:13",-3,-3,-3,-3,400
"95","2014/04/02 01:18",-3,-3,-3,-3,1929
"96","2014/04/02 01:23",-3,-3,-3,-3,318
