LDEV_Response50.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:00X(X297-1)","00:50:01X(X1021-1)","00:50:02X(X1022-1)","00:50:03X(X1023-1)","00:50:04X(X1024-1)","00:50:05X(X1025-1)","00:50:06X(X1026-1)","00:50:07X(X1027-1)","00:50:08X(X1028-1)","00:50:09X(X1029-1)","00:50:0AX(X1030-1)","00:50:0BX(X1031-1)","00:50:0DX(X15-1)","00:50:0EX(X272-1)","00:50:10X(X250-1)","00:50:11X(X273-1)","00:50:12X(X284-1)","00:50:13X(X285-1)","00:50:14X(X286-1)","00:50:15X(X287-1)","00:50:16X(X288-1)","00:50:17X(X289-1)","00:50:18X(X291-1)","00:50:19X(X292-1)","00:50:1AX(X293-1)","00:50:1BX(X294-1)","00:50:1CX(X295-1)","00:50:1DX(X296-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",-3,1830,-3,3636,1555,-3,3939,-3,3314,-3,-3,-3,4036,4227,633,727,864,598,1450,1096,723,547,828,1111,770,1170,1342,245
"8","2014/04/01 18:03",-3,655,-3,3575,-3,-3,1104,2084,1405,-3,-3,-3,3444,2374,1769,421,495,334,597,408,397,408,454,560,447,542,533,860
"9","2014/04/01 18:08",-3,816,3051,1407,2343,2326,2300,2521,1712,-3,-3,-3,4738,4874,328,348,710,462,683,762,522,452,754,792,556,653,635,242
"10","2014/04/01 18:13",-3,1108,-3,2049,-3,-3,3515,-3,1844,-3,-3,-3,6204,3236,308,418,744,441,862,827,589,542,707,768,743,656,647,231
"11","2014/04/01 18:18",-3,3035,7467,8536,6760,7266,4687,7963,4577,-3,-3,-3,5253,2422,637,861,1790,1009,1787,1476,1181,990,1985,1698,1494,2379,2067,779
"12","2014/04/01 18:23",-3,2933,6292,8884,9095,10720,4616,3835,5318,-3,-3,930,4620,3445,617,942,1818,1058,1780,2070,1402,1046,1651,1342,1476,2062,1704,467
"13","2014/04/01 18:28",-3,1096,1774,-3,-3,-3,2085,-3,2091,-3,-3,-3,4719,4448,344,365,720,429,761,610,495,411,664,699,598,485,651,247
"14","2014/04/01 18:33",-3,1069,1883,-3,1210,1680,1314,2137,1635,-3,-3,726,2329,5010,302,345,624,354,656,488,478,458,623,826,706,751,741,744
"15","2014/04/01 18:38",-3,983,-3,-3,1687,-3,2377,-3,2109,-3,-3,-3,4065,5605,364,390,622,324,516,509,418,388,472,674,478,598,629,300
"16","2014/04/01 18:43",-3,1525,-3,2894,2857,1167,881,1459,1504,360,607,566,4035,3401,793,672,803,753,816,1164,850,745,816,898,740,783,838,1537
"17","2014/04/01 18:48",-3,2093,6194,8496,7224,5874,3716,6970,3043,-3,-3,-3,2693,1908,922,807,1786,994,1714,1475,935,807,1574,1773,1297,1775,1708,853
"18","2014/04/01 18:53",-3,2437,10308,9872,6524,7619,5505,9183,1539,546,-3,408,1345,2852,762,898,1904,1000,2353,1295,1320,1464,2188,2312,1732,2339,2019,733
"19","2014/04/01 18:58",-3,1464,-3,-3,-3,-3,4340,5289,4104,339,423,622,1668,2908,442,742,1253,744,1546,1148,686,647,1343,1066,959,1500,1646,467
"20","2014/04/01 19:03",-3,1407,-3,-3,-3,1807,1311,2374,1467,3616,-3,2944,2060,5055,1872,463,676,392,1058,379,724,560,726,745,503,601,644,884
"21","2014/04/01 19:08",-3,1321,2262,3003,4450,2132,2799,3526,1648,-3,-3,-3,1738,5683,357,411,617,528,858,762,635,572,805,777,609,1067,736,297
"22","2014/04/01 19:13",-3,1079,-3,-3,-3,-3,3621,-3,2191,-3,-3,-3,1040,4389,336,437,719,546,1001,864,591,474,750,706,677,839,849,239
"23","2014/04/01 19:18",-3,3095,2856,6102,10114,6900,5753,7618,4358,679,488,699,2128,4463,900,884,1630,967,2143,1749,1214,1190,1408,1958,1080,2607,1863,1122
"24","2014/04/01 19:23",-3,3636,12240,5548,11191,9846,6803,11287,4949,-3,-3,864,4423,5785,802,922,2041,1157,1942,1526,1251,844,1749,2136,1608,2517,2267,525
"25","2014/04/01 19:28",-3,937,1785,-3,1497,-3,2839,1058,3045,-3,-3,-3,7174,4684,475,400,769,430,677,463,500,471,782,608,568,747,731,520
"26","2014/04/01 19:33",-3,1673,3766,2572,-3,2830,2205,2421,2486,2628,1588,3509,5658,4392,657,1121,1566,457,1694,1460,1148,1183,1304,1805,899,1429,742,1274
"27","2014/04/01 19:38",-3,2088,-3,7453,-3,-3,3121,8296,3375,-3,-3,-3,6294,4123,770,826,1351,885,1190,1384,1117,871,1669,1603,1442,1582,2145,216
"28","2014/04/01 19:43",-3,3224,-3,4392,-3,-3,3792,10080,4925,-3,-3,445,3678,3112,1331,1236,2274,1201,1765,3017,1330,991,1499,1021,1539,3295,2974,611
"29","2014/04/01 19:48",-3,6025,10206,11101,9000,9502,8698,9973,4785,-3,-3,-3,10099,4351,1155,2039,4001,2312,3999,4072,2680,2248,3951,4435,2903,4729,3192,809
