LDEV_Rnd_Read_Hit34.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:34:03X(X433-1)","00:34:04X(X714-1)","00:34:05X(X716-1)","00:34:06X(X854-1)","00:34:07X(X555-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4
"7","2014/04/01 17:58",25,0,0,0,100
"8","2014/04/01 18:03",0,0,0,0,100
"9","2014/04/01 18:08",0,0,0,0,100
"10","2014/04/01 18:13",0,0,0,0,100
"11","2014/04/01 18:18",0,0,0,0,100
"12","2014/04/01 18:23",0,0,0,0,100
"13","2014/04/01 18:28",0,0,0,0,100
"14","2014/04/01 18:33",0,0,0,0,100
"15","2014/04/01 18:38",31,0,0,0,100
"16","2014/04/01 18:43",26,50,100,50,100
"17","2014/04/01 18:48",0,0,0,0,100
"18","2014/04/01 18:53",80,100,100,100,100
"19","2014/04/01 18:58",31,0,0,0,100
"20","2014/04/01 19:03",0,0,0,0,100
"21","2014/04/01 19:08",0,0,0,0,100
"22","2014/04/01 19:13",0,0,0,0,100
"23","2014/04/01 19:18",0,0,0,0,100
"24","2014/04/01 19:23",0,0,0,0,100
"25","2014/04/01 19:28",0,0,0,0,100
"26","2014/04/01 19:33",0,0,0,0,100
"27","2014/04/01 19:38",25,0,0,0,100
"28","2014/04/01 19:43",26,50,100,50,100
"29","2014/04/01 19:48",0,0,0,0,100
"30","2014/04/01 19:53",80,0,0,0,100
"31","2014/04/01 19:58",25,0,0,0,100
"32","2014/04/01 20:03",0,0,0,0,100
"33","2014/04/01 20:08",0,0,0,0,100
"34","2014/04/01 20:13",0,0,0,0,100
"35","2014/04/01 20:18",0,0,0,0,100
"36","2014/04/01 20:23",0,0,0,0,100
"37","2014/04/01 20:28",0,0,0,0,100
"38","2014/04/01 20:33",0,0,0,0,100
"39","2014/04/01 20:38",25,0,0,0,100
"40","2014/04/01 20:43",33,50,100,50,100
"41","2014/04/01 20:48",0,0,0,0,100
"42","2014/04/01 20:53",80,0,0,0,100
"43","2014/04/01 20:58",25,0,0,0,100
"44","2014/04/01 21:03",0,0,0,0,100
"45","2014/04/01 21:08",0,0,0,0,100
"46","2014/04/01 21:13",0,0,0,0,100
"47","2014/04/01 21:18",0,0,0,0,100
"48","2014/04/01 21:23",0,0,0,0,100
"49","2014/04/01 21:28",0,0,0,0,100
"50","2014/04/01 21:33",0,0,0,0,100
"51","2014/04/01 21:38",25,0,0,0,100
"52","2014/04/01 21:43",26,50,100,50,100
"53","2014/04/01 21:48",0,0,0,0,100
"54","2014/04/01 21:53",80,0,0,0,100
"55","2014/04/01 21:58",25,0,0,0,100
"56","2014/04/01 22:03",0,0,0,0,100
"57","2014/04/01 22:08",0,0,0,0,100
"58","2014/04/01 22:13",0,0,0,0,100
"59","2014/04/01 22:18",0,0,0,0,100
"60","2014/04/01 22:23",0,0,0,0,100
"61","2014/04/01 22:28",0,0,0,0,100
"62","2014/04/01 22:33",7,0,0,0,100
"63","2014/04/01 22:38",68,0,0,0,100
"64","2014/04/01 22:43",66,50,100,50,100
"65","2014/04/01 22:48",0,0,0,0,100
"66","2014/04/01 22:53",100,0,0,0,100
"67","2014/04/01 22:58",25,0,0,0,100
"68","2014/04/01 23:03",0,0,0,0,100
"69","2014/04/01 23:08",0,0,0,0,100
"70","2014/04/01 23:13",0,0,0,0,100
"71","2014/04/01 23:18",0,0,0,0,100
"72","2014/04/01 23:23",0,0,0,0,100
"73","2014/04/01 23:28",0,0,0,0,100
"74","2014/04/01 23:33",0,0,0,0,100
"75","2014/04/01 23:38",25,0,0,0,100
"76","2014/04/01 23:43",40,50,100,0,100
"77","2014/04/01 23:48",0,0,0,0,100
"78","2014/04/01 23:53",80,0,0,0,100
"79","2014/04/01 23:58",37,0,0,0,100
"80","2014/04/02 00:03",0,0,0,0,100
"81","2014/04/02 00:08",0,0,0,0,99
"82","2014/04/02 00:13",0,0,0,0,100
"83","2014/04/02 00:18",0,0,0,0,100
"84","2014/04/02 00:23",0,0,0,0,100
"85","2014/04/02 00:28",0,0,0,0,100
"86","2014/04/02 00:33",0,0,0,0,100
"87","2014/04/02 00:38",25,87,100,87,100
"88","2014/04/02 00:43",26,100,100,50,100
"89","2014/04/02 00:48",0,0,0,0,100
"90","2014/04/02 00:53",80,0,0,0,100
"91","2014/04/02 00:58",25,0,0,0,100
"92","2014/04/02 01:03",5,0,0,0,98
"93","2014/04/02 01:08",0,0,0,0,100
"94","2014/04/02 01:13",0,0,0,0,100
"95","2014/04/02 01:18",0,0,0,0,100
"96","2014/04/02 01:23",0,0,0,0,100
