LDEV_Rnd_Read_IOPS50.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:00X(X297-1)","00:50:01X(X1021-1)","00:50:02X(X1022-1)","00:50:03X(X1023-1)","00:50:04X(X1024-1)","00:50:05X(X1025-1)","00:50:06X(X1026-1)","00:50:07X(X1027-1)","00:50:08X(X1028-1)","00:50:09X(X1029-1)","00:50:0AX(X1030-1)","00:50:0BX(X1031-1)","00:50:0DX(X15-1)","00:50:0EX(X272-1)","00:50:10X(X250-1)","00:50:11X(X273-1)","00:50:12X(X284-1)","00:50:13X(X285-1)","00:50:14X(X286-1)","00:50:15X(X287-1)","00:50:16X(X288-1)","00:50:17X(X289-1)","00:50:18X(X291-1)","00:50:19X(X292-1)","00:50:1AX(X293-1)","00:50:1BX(X294-1)","00:50:1CX(X295-1)","00:50:1DX(X296-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,4,0,0,0,0,1,0,1,0,0,0,139,0,46,19,7,20,7,8,15,19,8,7,12,7,5,0
"8","2014/04/01 18:03",0,5,0,1,0,0,4,1,3,0,0,0,192,0,90,25,14,34,12,17,28,33,20,12,29,11,10,2
"9","2014/04/01 18:08",0,3,0,0,0,0,1,0,1,0,0,0,167,0,41,19,7,18,7,8,14,18,6,7,10,5,4,0
"10","2014/04/01 18:13",0,4,0,0,0,0,1,0,1,0,0,0,145,0,42,19,7,19,7,8,15,19,7,7,10,10,5,1
"11","2014/04/01 18:18",0,5,1,1,1,1,2,1,3,0,0,0,157,0,42,20,8,20,8,9,16,20,8,8,12,8,6,1
"12","2014/04/01 18:23",0,4,1,1,1,1,2,1,2,0,0,2,206,0,49,20,9,21,8,9,17,20,11,15,14,7,5,0
"13","2014/04/01 18:28",0,3,0,0,0,0,1,0,1,0,0,0,235,0,42,20,7,18,7,8,15,18,7,7,10,6,4,0
"14","2014/04/01 18:33",0,4,0,0,0,0,1,1,1,0,0,3,229,0,44,25,7,19,7,7,14,19,7,6,10,6,4,2
"15","2014/04/01 18:38",0,3,0,0,0,0,1,0,1,0,0,0,187,0,41,19,7,18,7,8,14,18,6,7,10,5,4,0
"16","2014/04/01 18:43",0,6,0,1,0,1,8,2,2,33,8,8,202,0,62,21,16,26,11,8,16,20,15,10,18,9,10,1
"17","2014/04/01 18:48",0,4,1,1,1,1,2,1,3,0,0,0,220,0,62,21,8,20,8,9,18,20,8,8,12,7,6,2
"18","2014/04/01 18:53",0,5,1,1,1,1,3,1,9,7,0,9,81,0,55,23,10,20,8,16,17,20,9,8,13,8,6,0
"19","2014/04/01 18:58",0,4,0,0,0,0,1,1,1,9,6,3,82,0,47,20,7,20,8,8,22,19,8,7,11,8,6,0
"20","2014/04/01 19:03",0,4,0,0,0,0,5,1,4,1,0,2,99,0,97,25,15,35,10,30,26,30,20,12,30,12,11,1
"21","2014/04/01 19:08",0,3,0,0,0,0,1,0,1,0,0,0,112,0,42,19,7,18,7,7,14,18,7,7,10,5,4,0
"22","2014/04/01 19:13",0,3,0,0,0,0,1,0,1,0,0,0,124,0,43,20,7,20,8,8,16,19,10,8,11,6,5,0
"23","2014/04/01 19:18",0,5,1,1,1,1,2,1,3,14,27,12,99,0,59,21,10,27,9,11,20,21,16,10,22,8,7,2
"24","2014/04/01 19:23",0,4,1,2,1,1,2,1,2,0,0,2,138,0,50,21,8,21,8,9,19,27,11,9,13,7,6,0
"25","2014/04/01 19:28",0,3,0,0,0,0,1,0,1,0,0,0,136,0,42,21,6,21,7,8,15,18,8,7,12,6,4,0
"26","2014/04/01 19:33",0,5,0,0,0,0,1,1,2,0,2,0,154,0,46,20,8,45,8,8,18,19,13,8,12,7,16,2
"27","2014/04/01 19:38",0,4,0,1,0,0,3,1,2,0,0,0,117,0,48,20,8,20,8,8,15,19,7,8,12,6,5,0
"28","2014/04/01 19:43",0,4,0,1,0,0,5,1,1,0,0,2,129,0,51,20,7,26,10,8,17,20,10,15,13,6,5,0
"29","2014/04/01 19:48",0,6,4,4,3,4,5,3,5,0,0,0,140,0,44,22,10,22,11,11,19,25,11,10,18,10,10,2
"30","2014/04/01 19:53",0,7,3,3,3,3,5,3,4,0,1,0,139,0,52,22,17,32,15,11,19,25,11,11,20,11,14,0
"31","2014/04/01 19:58",0,5,1,1,1,2,2,1,2,0,0,0,228,0,42,21,8,20,9,10,18,20,9,8,13,7,7,0
"32","2014/04/01 20:03",0,5,0,1,0,0,6,1,4,0,0,0,210,0,97,26,17,35,10,16,26,35,25,15,31,13,10,2
"33","2014/04/01 20:08",0,3,0,0,0,0,1,0,1,0,0,0,107,0,47,19,7,18,10,9,15,19,11,9,13,6,6,0
"34","2014/04/01 20:13",0,3,0,0,0,0,1,0,1,0,0,0,79,0,41,19,7,19,7,7,15,20,8,7,10,6,4,0
"35","2014/04/01 20:18",0,5,1,1,1,1,2,1,3,0,0,0,74,0,43,20,8,20,8,9,16,20,8,8,12,9,6,1
