LDEV_Rnd_Read_IOPSF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,139,143,140
"8","2014/04/01 18:03",0,0,0,0,0,0,189,187,184
"9","2014/04/01 18:08",0,0,0,0,0,0,153,157,155
"10","2014/04/01 18:13",0,0,0,0,0,0,140,136,142
"11","2014/04/01 18:18",0,0,0,0,0,0,145,142,144
"12","2014/04/01 18:23",0,0,0,0,0,0,205,192,200
"13","2014/04/01 18:28",0,0,0,0,0,0,234,222,227
"14","2014/04/01 18:33",0,0,0,0,0,0,235,227,230
"15","2014/04/01 18:38",0,0,0,0,0,0,184,179,186
"16","2014/04/01 18:43",0,0,0,0,0,0,202,193,196
"17","2014/04/01 18:48",0,0,0,0,0,0,236,226,228
"18","2014/04/01 18:53",0,0,0,0,0,0,85,78,83
"19","2014/04/01 18:58",0,0,0,0,0,0,76,82,79
"20","2014/04/01 19:03",0,0,0,0,0,0,88,90,95
"21","2014/04/01 19:08",0,0,0,0,0,0,88,104,96
"22","2014/04/01 19:13",0,0,0,0,0,0,113,116,107
"23","2014/04/01 19:18",0,0,0,0,0,0,94,90,90
"24","2014/04/01 19:23",0,0,0,0,0,0,133,130,128
"25","2014/04/01 19:28",0,0,0,0,0,0,132,135,132
"26","2014/04/01 19:33",0,0,0,0,0,0,148,149,150
"27","2014/04/01 19:38",0,0,0,0,0,0,110,110,110
"28","2014/04/01 19:43",0,0,0,0,0,0,123,119,125
"29","2014/04/01 19:48",0,0,0,0,0,0,139,142,141
"30","2014/04/01 19:53",0,0,0,0,0,0,149,149,151
"31","2014/04/01 19:58",0,0,0,0,0,0,213,213,221
"32","2014/04/01 20:03",0,0,0,0,0,0,198,206,206
"33","2014/04/01 20:08",0,0,0,0,0,0,95,99,97
"34","2014/04/01 20:13",0,0,0,0,0,0,70,71,68
"35","2014/04/01 20:18",0,0,0,0,0,0,64,66,72
