LDEV_Rnd_Write_Hit40.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:40:00X(X275-1)","00:40:01X(X276-1)","00:40:06X(X6-1)","00:40:1EX(X31-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,100,79
"8","2014/04/01 18:03",0,0,100,76
"9","2014/04/01 18:08",0,0,100,72
"10","2014/04/01 18:13",0,0,97,83
"11","2014/04/01 18:18",0,0,97,79
"12","2014/04/01 18:23",0,0,96,74
"13","2014/04/01 18:28",0,0,100,73
"14","2014/04/01 18:33",0,0,100,77
"15","2014/04/01 18:38",0,0,77,77
"16","2014/04/01 18:43",0,0,80,74
"17","2014/04/01 18:48",0,0,100,76
"18","2014/04/01 18:53",0,0,97,75
"19","2014/04/01 18:58",0,0,100,78
"20","2014/04/01 19:03",0,0,94,71
"21","2014/04/01 19:08",0,0,94,72
"22","2014/04/01 19:13",0,0,94,78
"23","2014/04/01 19:18",0,0,95,79
"24","2014/04/01 19:23",0,0,94,72
"25","2014/04/01 19:28",0,0,100,75
"26","2014/04/01 19:33",0,0,94,76
"27","2014/04/01 19:38",0,0,100,71
"28","2014/04/01 19:43",0,0,97,74
"29","2014/04/01 19:48",0,0,99,72
"30","2014/04/01 19:53",0,0,100,71
"31","2014/04/01 19:58",0,0,100,72
"32","2014/04/01 20:03",0,0,100,79
"33","2014/04/01 20:08",0,0,100,75
"34","2014/04/01 20:13",0,0,100,77
"35","2014/04/01 20:18",0,0,100,77
"36","2014/04/01 20:23",0,0,100,76
"37","2014/04/01 20:28",0,0,100,73
"38","2014/04/01 20:33",0,0,100,75
"39","2014/04/01 20:38",0,0,97,76
"40","2014/04/01 20:43",0,0,97,77
"41","2014/04/01 20:48",0,0,100,77
"42","2014/04/01 20:53",0,0,100,75
"43","2014/04/01 20:58",0,0,100,77
"44","2014/04/01 21:03",0,0,100,73
"45","2014/04/01 21:08",0,0,100,71
"46","2014/04/01 21:13",0,0,100,70
"47","2014/04/01 21:18",0,0,96,76
"48","2014/04/01 21:23",0,0,100,74
"49","2014/04/01 21:28",0,0,99,73
"50","2014/04/01 21:33",0,0,97,72
"51","2014/04/01 21:38",0,0,100,75
"52","2014/04/01 21:43",0,0,100,75
"53","2014/04/01 21:48",0,0,100,75
"54","2014/04/01 21:53",0,0,100,78
"55","2014/04/01 21:58",0,0,100,77
"56","2014/04/01 22:03",0,0,100,76
"57","2014/04/01 22:08",0,0,100,72
"58","2014/04/01 22:13",0,0,97,73
"59","2014/04/01 22:18",0,0,100,73
"60","2014/04/01 22:23",0,0,100,75
"61","2014/04/01 22:28",0,0,100,75
"62","2014/04/01 22:33",0,0,100,72
"63","2014/04/01 22:38",0,0,100,71
"64","2014/04/01 22:43",0,0,100,71
"65","2014/04/01 22:48",0,0,100,72
"66","2014/04/01 22:53",0,0,100,72
"67","2014/04/01 22:58",0,0,100,74
"68","2014/04/01 23:03",92,88,96,72
"69","2014/04/01 23:08",87,90,97,71
"70","2014/04/01 23:13",96,0,100,71
"71","2014/04/01 23:18",94,85,100,73
"72","2014/04/01 23:23",98,100,100,71
"73","2014/04/01 23:28",0,0,100,72
"74","2014/04/01 23:33",0,0,97,71
"75","2014/04/01 23:38",0,0,97,75
"76","2014/04/01 23:43",0,0,92,73
"77","2014/04/01 23:48",0,0,94,71
"78","2014/04/01 23:53",0,0,95,74
"79","2014/04/01 23:58",0,0,100,72
"80","2014/04/02 00:03",0,0,97,72
"81","2014/04/02 00:08",0,0,97,71
"82","2014/04/02 00:13",0,0,100,71
"83","2014/04/02 00:18",0,0,100,70
"84","2014/04/02 00:23",0,0,100,70
"85","2014/04/02 00:28",0,0,100,71
"86","2014/04/02 00:33",0,0,100,75
"87","2014/04/02 00:38",0,0,100,73
"88","2014/04/02 00:43",0,0,100,72
"89","2014/04/02 00:48",0,0,100,72
"90","2014/04/02 00:53",0,0,100,73
"91","2014/04/02 00:58",0,0,97,74
"92","2014/04/02 01:03",0,0,97,71
"93","2014/04/02 01:08",0,0,88,70
"94","2014/04/02 01:13",0,0,92,71
"95","2014/04/02 01:18",0,0,79,73
"96","2014/04/02 01:23",0,0,97,70
