LDEV_Seq_Read_Hit03.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:03:01X(X554-1)","00:03:02X(X674-1)","00:03:04X(X48-1)","00:03:05X(X467-1)","00:03:06X(X852-1)","00:03:07X(X757-1)","00:03:08X(X761-1)","00:03:0AX(X426-1)","00:03:0BX(X427-1)","00:03:1AX(X373-1)","00:03:1BX(X374-1)","00:03:1CX(X375-1)","00:03:1DX(X376-1)","00:03:1FX(X386-1)","00:03:20X(X764-1)","00:03:22X(X405-1)","00:03:26X(X414-1)","00:03:27X(X415-1)","00:03:30X(X540-1)","00:03:31X(X541-1)","00:03:32X(X542-1)","00:03:33X(X543-1)","00:03:34X(X544-1)","00:03:35X(X545-1)","00:03:36X(X546-1)","00:03:37X(X547-1)","00:03:38X(X548-1)","00:03:39X(X549-1)","00:03:3AX(X550-1)","00:03:3BX(X551-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",100,0,0,95,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,82,25,37,76,44,33,0,0,33,100,0
"8","2014/04/01 18:03",100,0,0,95,100,0,0,0,0,0,0,0,0,0,0,75,71,0,92,93,95,66,91,84,90,85,89,92,88,97
"9","2014/04/01 18:08",100,0,0,95,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,14,0,0,16,0,0,0,25,0,0
"10","2014/04/01 18:13",100,0,0,96,99,0,0,0,0,0,0,0,0,0,0,0,0,0,66,80,50,50,100,33,0,0,0,50,0,0
"11","2014/04/01 18:18",100,0,0,92,99,0,0,0,0,0,0,0,0,0,0,0,0,0,25,66,0,0,0,50,42,100,87,0,89,94
"12","2014/04/01 18:23",100,0,0,94,99,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28,33,25,66,25,30,9,88,7,100,100
"13","2014/04/01 18:28",100,0,0,89,99,0,0,0,0,0,0,0,0,0,0,0,0,0,20,75,0,33,75,57,25,0,0,28,0,0
