LDEV_Seq_Read_Hit0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",92,95,93,95,93,96,94,94,96,95,92,94,94
"8","2014/04/01 18:03",94,95,94,96,95,96,95,94,95,94,94,94,94
"9","2014/04/01 18:08",94,96,94,94,94,97,96,94,94,95,93,94,94
"10","2014/04/01 18:13",92,95,94,96,94,96,95,95,95,95,93,94,94
"11","2014/04/01 18:18",89,95,92,93,93,94,94,93,94,91,89,92,94
"12","2014/04/01 18:23",92,94,92,96,93,95,93,93,93,94,93,93,93
"13","2014/04/01 18:28",82,88,85,90,87,87,86,87,88,86,80,84,85
"14","2014/04/01 18:33",88,92,93,95,92,92,92,92,93,93,88,91,92
"15","2014/04/01 18:38",90,93,91,94,92,92,92,88,91,91,88,91,90
"16","2014/04/01 18:43",94,96,94,97,95,97,95,96,96,95,94,95,96
"17","2014/04/01 18:48",92,96,94,96,94,97,95,95,94,94,94,94,92
"18","2014/04/01 18:53",92,96,95,96,94,95,95,93,95,94,94,94,94
"19","2014/04/01 18:58",94,95,93,96,93,96,92,94,94,95,92,93,93
