LDEV_Seq_Read_Hit50.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:00X(X297-1)","00:50:01X(X1021-1)","00:50:02X(X1022-1)","00:50:03X(X1023-1)","00:50:04X(X1024-1)","00:50:05X(X1025-1)","00:50:06X(X1026-1)","00:50:07X(X1027-1)","00:50:08X(X1028-1)","00:50:09X(X1029-1)","00:50:0AX(X1030-1)","00:50:0BX(X1031-1)","00:50:0DX(X15-1)","00:50:0EX(X272-1)","00:50:10X(X250-1)","00:50:11X(X273-1)","00:50:12X(X284-1)","00:50:13X(X285-1)","00:50:14X(X286-1)","00:50:15X(X287-1)","00:50:16X(X288-1)","00:50:17X(X289-1)","00:50:18X(X291-1)","00:50:19X(X292-1)","00:50:1AX(X293-1)","00:50:1BX(X294-1)","00:50:1CX(X295-1)","00:50:1DX(X296-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,60,65,60,55,25,50,77,92,0,0,0,96,53,93,87,50,97,62,91,92,91,92,82,88,80,63,0
"8","2014/04/01 18:03",0,97,92,75,78,92,86,96,89,92,92,86,97,78,95,95,94,94,94,97,95,93,95,89,90,93,92,97
"9","2014/04/01 18:08",0,37,33,25,50,33,33,0,82,0,0,0,95,47,90,91,33,90,0,91,94,91,93,86,92,90,54,0
"10","2014/04/01 18:13",0,63,57,50,83,100,42,66,97,0,0,0,95,65,100,96,92,97,100,98,95,96,96,95,92,94,100,0
"11","2014/04/01 18:18",0,10,0,75,33,90,100,78,90,91,90,91,95,75,100,94,77,97,0,98,97,93,93,88,93,88,69,99
"12","2014/04/01 18:23",0,33,31,42,53,54,57,40,81,85,83,76,94,66,92,90,92,89,89,88,94,95,88,87,88,90,86,85
"13","2014/04/01 18:28",0,52,59,28,33,40,60,37,90,0,0,0,91,53,93,89,66,80,75,92,91,90,89,86,89,83,82,0
"14","2014/04/01 18:33",0,96,91,93,94,92,94,94,88,95,87,90,97,40,87,96,62,93,93,94,96,93,97,89,94,89,90,98
"15","2014/04/01 18:38",0,33,33,33,0,25,36,0,88,0,0,0,95,35,90,90,16,89,40,92,93,92,93,81,91,90,57,0
"16","2014/04/01 18:43",0,97,97,92,96,96,97,96,97,100,100,100,96,67,90,97,93,90,97,94,95,90,95,94,93,97,97,100
"17","2014/04/01 18:48",0,40,97,65,40,84,90,83,90,95,84,89,96,83,90,92,87,91,93,91,98,90,86,89,93,89,85,96
"18","2014/04/01 18:53",0,35,15,10,44,41,64,23,70,91,100,91,97,73,92,77,83,89,73,86,89,89,86,84,91,89,92,100
"19","2014/04/01 18:58",0,76,57,37,50,74,59,0,82,71,0,0,96,68,96,87,92,93,33,96,93,92,85,90,91,80,76,100
"20","2014/04/01 19:03",0,95,94,78,71,93,92,94,83,92,94,94,96,42,95,96,95,94,94,98,96,93,92,91,94,89,91,98
"21","2014/04/01 19:08",0,40,28,44,25,0,53,0,66,0,0,0,96,48,92,85,81,93,0,95,96,90,87,80,94,92,62,0
"22","2014/04/01 19:13",0,62,93,50,50,100,58,100,92,0,0,0,98,59,100,94,100,92,83,99,96,95,91,96,93,97,82,0
"23","2014/04/01 19:18",0,11,81,81,58,61,88,84,96,92,94,92,98,54,95,80,90,89,87,94,96,88,92,84,88,89,83,97
"24","2014/04/01 19:23",0,33,15,77,27,46,26,23,83,83,86,100,96,53,96,81,88,86,82,91,91,85,61,83,89,88,86,88
"25","2014/04/01 19:28",0,46,59,66,50,62,41,0,81,0,0,0,84,53,96,83,91,95,16,95,94,85,90,88,92,86,72,0
"26","2014/04/01 19:33",0,93,94,93,93,94,95,95,90,92,91,90,89,60,95,95,94,94,92,95,95,94,94,93,94,94,95,98
"27","2014/04/01 19:38",0,66,40,37,44,0,41,0,81,0,90,0,83,56,96,92,86,91,28,95,95,92,91,87,95,94,42,0
"28","2014/04/01 19:43",0,63,64,83,66,100,64,72,97,100,100,100,94,73,99,85,91,90,50,92,94,87,94,90,92,94,79,100
"29","2014/04/01 19:48",0,44,0,69,57,81,33,82,91,94,89,85,86,48,98,90,90,92,0,98,99,90,85,80,89,92,55,99
"30","2014/04/01 19:53",0,31,33,33,35,80,43,60,79,50,87,33,97,70,94,77,94,93,81,94,94,84,82,86,89,90,85,84
"31","2014/04/01 19:58",0,50,56,22,62,0,50,0,85,0,0,0,93,77,92,76,86,83,0,96,96,89,87,87,92,82,75,0
"32","2014/04/01 20:03",0,93,80,78,80,93,84,94,89,92,87,85,95,68,93,94,91,92,87,97,96,94,90,92,96,88,89,98
"33","2014/04/01 20:08",0,37,28,44,30,20,40,16,71,0,0,0,96,40,95,85,87,90,93,95,95,92,88,85,94,96,77,0
"34","2014/04/01 20:13",0,71,60,60,80,0,66,66,91,0,0,66,96,66,100,93,100,93,100,98,96,94,96,96,94,95,92,0
"35","2014/04/01 20:18",0,31,42,61,44,63,27,56,73,88,88,84,96,70,89,61,73,76,72,89,90,76,71,72,88,73,74,99
