LDEV_Seq_Read_Hit5A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6X(X68-1)","00:5A:D7X(X66-1)","00:5A:D8X(X50-1)","00:5A:D9X(X71-1)","00:5A:FC(5-6)","00:5A:FD(5-6)","00:5A:FEX(X69-1)","00:5A:FFX(X67-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",89,91,90,90,0,0,0,0
"8","2014/04/01 18:03",93,96,95,95,0,0,100,100
"9","2014/04/01 18:08",90,93,91,91,0,0,100,100
"10","2014/04/01 18:13",90,93,91,91,0,0,0,0
"11","2014/04/01 18:18",91,93,93,93,0,0,100,100
"12","2014/04/01 18:23",95,97,96,96,0,0,100,100
"13","2014/04/01 18:28",89,92,92,91,0,0,0,0
"14","2014/04/01 18:33",89,91,90,91,0,0,100,100
"15","2014/04/01 18:38",78,80,79,78,0,0,100,100
"16","2014/04/01 18:43",86,87,89,90,0,0,0,0
"17","2014/04/01 18:48",87,88,91,88,0,0,100,100
"18","2014/04/01 18:53",81,88,86,86,0,0,0,0
"19","2014/04/01 18:58",91,94,92,92,0,0,100,100
"20","2014/04/01 19:03",92,91,92,91,0,0,100,100
"21","2014/04/01 19:08",86,85,87,86,0,0,100,100
"22","2014/04/01 19:13",80,81,83,78,0,0,0,0
"23","2014/04/01 19:18",90,92,92,92,0,0,100,100
"24","2014/04/01 19:23",89,92,93,91,0,0,0,0
"25","2014/04/01 19:28",71,73,76,74,0,0,100,100
"26","2014/04/01 19:33",74,82,82,79,0,0,100,100
"27","2014/04/01 19:38",91,93,92,92,0,0,0,0
"28","2014/04/01 19:43",84,82,85,83,0,0,100,100
"29","2014/04/01 19:48",73,71,71,70,0,0,95,94
"30","2014/04/01 19:53",93,93,92,93,0,0,0,0
"31","2014/04/01 19:58",81,87,87,86,0,0,100,100
"32","2014/04/01 20:03",76,80,77,77,0,0,100,100
"33","2014/04/01 20:08",83,83,85,84,0,0,0,0
"34","2014/04/01 20:13",83,86,87,86,0,0,100,100
"35","2014/04/01 20:18",89,89,91,90,0,0,100,100
"36","2014/04/01 20:23",79,83,84,86,0,0,0,0
"37","2014/04/01 20:28",82,87,91,86,0,0,100,100
"38","2014/04/01 20:33",75,70,70,66,0,0,0,0
"39","2014/04/01 20:38",88,89,90,89,0,0,100,100
"40","2014/04/01 20:43",89,89,91,92,0,0,100,100
"41","2014/04/01 20:48",85,87,87,87,0,0,0,0
"42","2014/04/01 20:53",82,85,87,87,0,0,100,100
"43","2014/04/01 20:58",82,87,85,85,0,0,100,100
"44","2014/04/01 21:03",68,69,74,70,0,0,0,0
"45","2014/04/01 21:08",65,65,71,66,0,0,100,100
"46","2014/04/01 21:13",59,64,68,63,0,0,100,100
"47","2014/04/01 21:18",93,94,95,94,0,0,0,0
"48","2014/04/01 21:23",56,63,64,65,0,0,100,100
"49","2014/04/01 21:28",86,86,85,86,0,0,0,0
"50","2014/04/01 21:33",59,57,65,56,0,0,100,100
"51","2014/04/01 21:38",84,87,87,86,0,0,100,100
"52","2014/04/01 21:43",91,92,91,91,0,0,0,0
"53","2014/04/01 21:48",93,95,93,93,0,0,100,100
"54","2014/04/01 21:53",81,72,80,71,0,0,100,100
"55","2014/04/01 21:58",79,77,77,81,0,0,0,0
"56","2014/04/01 22:03",76,77,76,76,0,0,100,100
"57","2014/04/01 22:08",69,66,72,69,0,0,100,100
