LDEV_Seq_Read_IOPSC8.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:00X(X754-1)","00:C8:01X(X760-1)","00:C8:02X(X763-1)","00:C8:03X(X762-1)","00:C8:04X(X755-1)","00:C8:05X(X750-1)","00:C8:06X(X1032-1)","00:C8:07X(X752-1)","00:C8:08X(X753-1)","00:C8:0CX(X758-1)","00:C8:0DX(X765-1)","00:C8:0EX(X751-1)","00:C8:0FX(X729-1)","00:C8:10X(X726-1)","00:C8:11X(X731-1)","00:C8:12X(X722-1)","00:C8:13X(X725-1)","00:C8:14X(X727-1)","00:C8:15X(X728-1)","00:C8:16X(X730-1)","00:C8:17X(X719-1)","00:C8:18X(X732-1)","00:C8:19X(X720-1)","00:C8:1AX(X718-1)","00:C8:1BX(X723-1)","00:C8:1CX(X724-1)","00:C8:1DX(X721-1)","00:C8:1EX(X693-1)","00:C8:1FX(X694-1)","00:C8:20X(X705-1)","00:C8:21X(X692-1)","00:C8:22X(X696-1)","00:C8:23X(X700-1)","00:C8:24X(X701-1)","00:C8:25X(X706-1)","00:C8:26X(X704-1)","00:C8:27X(X703-1)","00:C8:28X(X699-1)","00:C8:29X(X695-1)","00:C8:2AX(X702-1)","00:C8:2BX(X697-1)","00:C8:2CX(X698-1)","00:C8:2DX(X686-1)","00:C8:2EX(X678-1)","00:C8:2FX(X687-1)","00:C8:30X(X688-1)","00:C8:31X(X684-1)","00:C8:32X(X679-1)","00:C8:33X(X685-1)","00:C8:34X(X691-1)","00:C8:35X(X683-1)","00:C8:36X(X690-1)","00:C8:37X(X677-1)","00:C8:38X(X681-1)","00:C8:39X(X680-1)","00:C8:3AX(X689-1)","00:C8:3BX(X682-1)","00:C8:3CX(X645-1)","00:C8:3DX(X634-1)","00:C8:3EX(X636-1)","00:C8:3FX(X633-1)","00:C8:40X(X639-1)","00:C8:41X(X635-1)","00:C8:42X(X644-1)","00:C8:43X(X646-1)","00:C8:44X(X640-1)","00:C8:45X(X632-1)","00:C8:46X(X642-1)","00:C8:47X(X638-1)","00:C8:48X(X641-1)","00:C8:49X(X637-1)","00:C8:4AX(X643-1)","00:C8:4BX(X601-1)","00:C8:4CX(X442-1)","00:C8:4DX(X603-1)","00:C8:4EX(X598-1)","00:C8:4FX(X441-1)","00:C8:50X(X604-1)","00:C8:51X(X436-1)","00:C8:52X(X440-1)","00:C8:53X(X435-1)","00:C8:54X(X443-1)","00:C8:55X(X439-1)","00:C8:56X(X602-1)","00:C8:57X(X437-1)","00:C8:58X(X600-1)","00:C8:59X(X438-1)","00:C8:5AX(X742-1)","00:C8:5BX(X749-1)","00:C8:5CX(X739-1)","00:C8:5DX(X621-1)","00:C8:5EX(X738-1)","00:C8:5FX(X741-1)","00:C8:60X(X740-1)","00:C8:61X(X748-1)","00:C8:62X(X713-1)","00:C8:63X(X708-1)","00:C8:64X(X465-1)","00:C8:65X(X664-1)","00:C8:66X(X709-1)","00:C8:67X(X715-1)","00:C8:68X(X711-1)","00:C8:69X(X710-1)","00:C8:6AX(X676-1)","00:C8:6BX(X671-1)","00:C8:6CX(X663-1)","00:C8:6DX(X707-1)","00:C8:6EX(X662-1)","00:C8:6FX(X669-1)","00:C8:70X(X672-1)","00:C8:71X(X673-1)","00:C8:72X(X651-1)","00:C8:73X(X658-1)","00:C8:74X(X653-1)","00:C8:75X(X659-1)","00:C8:76X(X652-1)","00:C8:77X(X649-1)","00:C8:78X(X655-1)","00:C8:79X(X647-1)","00:C8:7AX(X619-1)","00:C8:7BX(X610-1)","00:C8:7CX(X618-1)","00:C8:7DX(X609-1)","00:C8:7EX(X613-1)","00:C8:7FX(X617-1)","00:C8:80X(X606-1)","00:C8:81X(X615-1)","00:C8:82X(X12-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,0,1,2,1,1,1,2,1,1,0,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,3,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,4,4,5,3,4,3,4,2,5,4,4,6,3,3,6,4,3,4,4,3,7,3,4,3,5,3,3,5,4,4,5,5,3,4,4,4,4,4,5,4,4,3,4,4,4,5,2,5,3,3,4,4,4,2,4,5,3,4,6,3,4,4,4,4,6,5,4,4,5,5,5,2,4,6,4,4,5,5,4,2,3,2,4,6,4,4,4,4,3,4,4,5,5,3,3,4,3,3,4,5,6,4,4,3,4,4,4,4,3,5,3,3,4,6,3,3,4,3,5
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,1,2,2,2,3,1,1,3,2,2,2,1,1,3,1,2,1,2,1,1,2,2,2,1,2,1,3,1,1,2,3,3,2,2,1,2,2,2,3,1,3,2,1,1,2,2,1,2,2,1,2,3,2,2,2,2,2,3,2,2,2,3,3,2,1,2,3,2,3,3,3,1,1,1,2,2,3,2,2,2,2,2,3,3,2,2,1,1,3,1,2,2,2,3,3,3,2,2,3,2,2,2,3,2,2,2,4,2,1,2,2,3
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,4,4,5,3,4,3,4,2,4,4,4,6,2,3,6,3,3,4,4,3,7,3,4,3,5,3,3,4,5,4,4,4,3,4,4,4,4,4,5,4,3,3,4,4,4,5,2,5,4,3,4,4,4,2,4,4,3,4,6,3,4,5,4,4,6,4,4,4,5,5,5,2,4,5,4,4,5,5,3,2,3,2,4,6,3,4,4,3,4,5,4,5,5,3,3,4,3,3,5,5,6,4,4,4,4,4,4,3,3,4,3,4,4,6,3,3,4,4,5
