LDEV_Seq_Write_Hit40.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:40:00X(X275-1)","00:40:01X(X276-1)","00:40:06X(X6-1)","00:40:1EX(X31-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,60
"8","2014/04/01 18:03",0,0,0,66
"9","2014/04/01 18:08",0,0,0,69
"10","2014/04/01 18:13",0,0,0,63
"11","2014/04/01 18:18",0,0,0,60
"12","2014/04/01 18:23",0,0,0,0
"13","2014/04/01 18:28",0,0,0,0
"14","2014/04/01 18:33",0,0,0,60
"15","2014/04/01 18:38",0,0,60,63
"16","2014/04/01 18:43",0,0,100,66
"17","2014/04/01 18:48",0,0,0,60
"18","2014/04/01 18:53",0,0,0,60
"19","2014/04/01 18:58",0,0,0,78
"20","2014/04/01 19:03",0,0,0,63
"21","2014/04/01 19:08",0,0,0,60
"22","2014/04/01 19:13",0,0,0,0
"23","2014/04/01 19:18",0,0,0,0
"24","2014/04/01 19:23",0,0,0,0
"25","2014/04/01 19:28",0,0,0,62
"26","2014/04/01 19:33",0,0,0,66
"27","2014/04/01 19:38",0,0,0,60
"28","2014/04/01 19:43",0,0,0,78
"29","2014/04/01 19:48",0,0,0,60
"30","2014/04/01 19:53",0,0,0,0
"31","2014/04/01 19:58",0,0,0,66
"32","2014/04/01 20:03",0,0,0,0
"33","2014/04/01 20:08",0,0,0,70
"34","2014/04/01 20:13",0,0,0,60
"35","2014/04/01 20:18",0,0,0,66
"36","2014/04/01 20:23",0,0,0,60
"37","2014/04/01 20:28",0,0,0,72
"38","2014/04/01 20:33",0,0,0,80
"39","2014/04/01 20:38",0,0,0,70
"40","2014/04/01 20:43",0,0,0,0
"41","2014/04/01 20:48",0,0,0,66
"42","2014/04/01 20:53",0,0,0,66
"43","2014/04/01 20:58",0,0,0,66
"44","2014/04/01 21:03",0,0,0,66
"45","2014/04/01 21:08",0,0,0,60
"46","2014/04/01 21:13",0,0,0,0
"47","2014/04/01 21:18",0,0,0,66
"48","2014/04/01 21:23",0,0,0,66
"49","2014/04/01 21:28",0,0,0,66
"50","2014/04/01 21:33",0,0,0,71
"51","2014/04/01 21:38",0,0,0,0
"52","2014/04/01 21:43",0,0,0,66
"53","2014/04/01 21:48",0,0,0,66
"54","2014/04/01 21:53",0,0,0,66
"55","2014/04/01 21:58",0,0,0,0
"56","2014/04/01 22:03",0,0,0,100
"57","2014/04/01 22:08",0,0,0,75
"58","2014/04/01 22:13",0,0,0,0
"59","2014/04/01 22:18",0,0,0,71
"60","2014/04/01 22:23",0,0,0,71
"61","2014/04/01 22:28",0,0,0,0
"62","2014/04/01 22:33",0,0,0,66
"63","2014/04/01 22:38",0,0,0,100
"64","2014/04/01 22:43",0,0,0,60
"65","2014/04/01 22:48",0,0,0,0
"66","2014/04/01 22:53",0,0,0,60
"67","2014/04/01 22:58",0,0,0,68
"68","2014/04/01 23:03",80,98,0,0
"69","2014/04/01 23:08",88,100,0,72
"70","2014/04/01 23:13",0,0,0,0
"71","2014/04/01 23:18",100,100,0,60
"72","2014/04/01 23:23",0,87,0,60
"73","2014/04/01 23:28",0,0,0,60
"74","2014/04/01 23:33",0,0,0,0
"75","2014/04/01 23:38",0,0,0,0
"76","2014/04/01 23:43",0,0,0,72
"77","2014/04/01 23:48",0,0,0,0
"78","2014/04/01 23:53",0,0,0,60
"79","2014/04/01 23:58",0,0,0,66
"80","2014/04/02 00:03",0,0,0,0
"81","2014/04/02 00:08",0,0,0,66
"82","2014/04/02 00:13",0,0,0,60
"83","2014/04/02 00:18",0,0,0,60
"84","2014/04/02 00:23",0,0,0,66
"85","2014/04/02 00:28",0,0,0,0
"86","2014/04/02 00:33",0,0,0,68
"87","2014/04/02 00:38",0,0,0,66
"88","2014/04/02 00:43",0,0,0,66
"89","2014/04/02 00:48",0,0,0,66
"90","2014/04/02 00:53",0,0,0,60
"91","2014/04/02 00:58",0,0,0,60
"92","2014/04/02 01:03",0,0,0,63
"93","2014/04/02 01:08",0,0,0,71
"94","2014/04/02 01:13",0,0,0,75
"95","2014/04/02 01:18",0,0,100,50
"96","2014/04/02 01:23",0,0,0,78
