LDEV_Seq_Write_Hit5C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5C:8E(3-6)","00:5C:9B(3-6)","00:5C:A7(5-12)","00:5C:A8(5-15)","00:5C:B1(5-13)","00:5C:B2(5-2)","00:5C:B3X(X187-1)","00:5C:B4X(X186-1)","00:5C:BFX(X188-1)","00:5C:CC(1-2)","00:5C:CD(1-2)","00:5C:CE(1-2)","00:5C:CF(1-3)","00:5C:D9(1-3)","00:5C:DAX(X120-1)","00:5C:DBX(X124-1)","00:5C:DCX(X123-1)","00:5C:E2X(X122-1)","00:5C:E3X(X121-1)","00:5C:E4(3-8)","00:5C:E5(3-8)","00:5C:E6(3-9)","00:5C:E7(1-2)","00:5C:E8(1-2)","00:5C:E9(1-3)","00:5C:EA(1-3)","00:5C:EDX(X220-1)","00:5C:F5(5-15)","00:5C:F6(5-15)","00:5C:F7(5-15)","00:5C:F8(5-15)","00:5C:F9(5-15)","00:5C:FA(5-15)","00:5C:FB(5-15)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",96,0,0,0,0,0,0,0,0,90,0,0,94,0,90,90,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
"8","2014/04/01 18:03",95,0,0,0,0,40,0,0,0,0,0,0,0,0,94,92,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
"9","2014/04/01 18:08",98,0,0,0,0,44,0,0,0,88,0,0,87,0,84,86,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
"10","2014/04/01 18:13",98,0,0,0,0,0,0,0,0,94,0,0,92,0,87,90,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"11","2014/04/01 18:18",96,0,85,0,0,40,0,0,0,90,0,0,92,0,84,91,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"12","2014/04/01 18:23",96,0,66,0,0,8,0,0,0,88,0,0,88,0,0,90,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
"13","2014/04/01 18:28",95,0,0,0,0,0,0,0,0,91,0,0,91,0,75,90,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
"14","2014/04/01 18:33",96,0,0,0,0,20,0,0,0,92,0,0,92,0,83,90,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0
"15","2014/04/01 18:38",96,0,0,0,0,8,0,0,0,89,0,0,87,0,75,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
