LDEV_TransRate03.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:03:01X(X554-1)","00:03:02X(X674-1)","00:03:04X(X48-1)","00:03:05X(X467-1)","00:03:06X(X852-1)","00:03:07X(X757-1)","00:03:08X(X761-1)","00:03:0AX(X426-1)","00:03:0BX(X427-1)","00:03:1AX(X373-1)","00:03:1BX(X374-1)","00:03:1CX(X375-1)","00:03:1DX(X376-1)","00:03:1FX(X386-1)","00:03:20X(X764-1)","00:03:22X(X405-1)","00:03:26X(X414-1)","00:03:27X(X415-1)","00:03:30X(X540-1)","00:03:31X(X541-1)","00:03:32X(X542-1)","00:03:33X(X543-1)","00:03:34X(X544-1)","00:03:35X(X545-1)","00:03:36X(X546-1)","00:03:37X(X547-1)","00:03:38X(X548-1)","00:03:39X(X549-1)","00:03:3AX(X550-1)","00:03:3BX(X551-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",69,0,0,87,9215,0,0,0,0,0,0,0,0,0,0,8,11,1130,29,36,110,89,24,35,54,46,21,94,7,11
"8","2014/04/01 18:03",96,0,0,207,1362,0,0,0,0,0,0,0,0,0,0,457,604,120,49,74,153,106,49,61,90,94,211,119,215,223
"9","2014/04/01 18:08",133,0,0,113,12726,0,0,0,0,0,0,0,0,0,0,9,12,1588,49,51,124,108,39,56,76,52,11,136,3,2
"10","2014/04/01 18:13",60,0,0,180,44905,0,0,0,0,0,0,0,0,0,0,10,10,1177,35,40,120,98,28,46,65,71,12,92,6,7
"11","2014/04/01 18:18",64,0,0,121,22595,0,0,0,0,0,0,0,0,0,0,9,125,0,34,57,119,94,23,50,68,66,109,101,113,112
"12","2014/04/01 18:23",59,0,0,301,10233,0,0,0,0,0,0,0,0,0,0,9,110,1439,51,50,138,114,93,65,83,81,71,118,108,61
"13","2014/04/01 18:28",60,0,0,285,1128,0,0,0,0,0,0,0,0,0,0,9,114,1040,26,31,110,87,22,33,51,45,13,94,9,13
