LDEV_TransRate05.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:01X(X178-1)","00:05:02X(X182-1)","00:05:03X(X185-1)","00:05:04X(X177-1)","00:05:05X(X180-1)","00:05:06(11-8)","00:05:07X(X183-1)","00:05:0AX(X155-1)","00:05:0BX(X152-1)","00:05:0CX(X153-1)","00:05:0DX(X156-1)","00:05:0EX(X151-1)","00:05:0FX(X471-1)","00:05:10X(X537-1)","00:05:11X(X572-1)","00:05:12X(X605-1)","00:05:13X(X607-1)","00:05:16X(X93-1)","00:05:17X(X94-1)","00:05:18X(X42-1)","00:05:19X(X43-1)","00:05:1AX(X44-1)","00:05:1BX(X45-1)","00:05:20X(X61-1)","00:05:21X(X63-1)","00:05:25X(X95-1)","00:05:26X(X89-1)","00:05:27X(X53-1)","00:05:28X(X54-1)","00:05:29X(X59-1)","00:05:2AX(X60-1)","00:05:2BX(X82-1)","00:05:2CX(X83-1)","00:05:2DX(X84-1)","00:05:2EX(X85-1)","00:05:2FX(X86-1)","00:05:30X(X87-1)","00:05:31X(X88-1)","00:05:32X(X92-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1232,1188,1223,1235,1187,1168,1244,0,0,0,0,0
"8","2014/04/01 18:03",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6093,5922,5863,5909,5896,5902,5970,0,0,0,0,0
"9","2014/04/01 18:08",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4765,4672,4609,4660,4643,4647,4665,0,0,0,0,0
"10","2014/04/01 18:13",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3361,3294,3236,3280,3262,3263,3280,0,0,0,0,0
"11","2014/04/01 18:18",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3377,3317,3256,3286,3290,3264,3297,0,0,0,0,0
"12","2014/04/01 18:23",7,9,14,7,3,0,6,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5612,5430,5404,5446,5418,5423,5468,0,0,0,0,0
"13","2014/04/01 18:28",7,7,7,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4564,4460,4389,4439,4423,4417,4443,0,0,0,0,0
"14","2014/04/01 18:33",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3146,3070,3026,3044,3053,3038,3077,0,0,0,0,0
"15","2014/04/01 18:38",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1060,1041,1012,1043,1003,1013,1020,0,0,0,0,0
"16","2014/04/01 18:43",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1409,1376,1357,1370,1361,1372,1388,0,0,0,0,0
"17","2014/04/01 18:48",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2694,2621,2700,2721,2668,2598,2761,0,0,0,0,0
"18","2014/04/01 18:53",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1965,1919,1891,1921,1911,1907,1919,0,0,0,0,0
"19","2014/04/01 18:58",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4240,4128,4081,4121,4096,4099,4121,0,0,0,0,0
"20","2014/04/01 19:03",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4081,3962,3942,3950,3920,3967,4034,0,0,0,0,0
"21","2014/04/01 19:08",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1807,1781,1800,1817,1777,1752,1840,0,0,0,0,0
"22","2014/04/01 19:13",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1086,1049,1026,1057,1034,1034,1039,0,0,0,0,0
"23","2014/04/01 19:18",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3928,3830,3847,3870,3846,3804,3905,0,0,0,0,0
"24","2014/04/01 19:23",7,7,7,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,771,746,733,755,736,751,757,0,0,0,0,0
"25","2014/04/01 19:28",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,763,751,722,753,727,735,742,0,0,0,0,0
"26","2014/04/01 19:33",6,6,6,0,0,0,0,7,7,7,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1763,1729,1708,1718,1694,1706,1722,0,0,0,0,0
"27","2014/04/01 19:38",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3757,3652,3615,3668,3655,3629,3666,0,0,0,0,0
