LDEV_TransRate21.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:00X(X743-1)","00:21:01X(X744-1)","00:21:02X(X745-1)","00:21:03X(X746-1)","00:21:04X(X747-1)","00:21:05X(X767-1)","00:21:06X(X820-1)","00:21:07X(X821-1)","00:21:08X(X822-1)","00:21:09X(X823-1)","00:21:0AX(X824-1)","00:21:0BX(X825-1)","00:21:0CX(X826-1)","00:21:0DX(X827-1)","00:21:0EX(X828-1)","00:21:0FX(X829-1)","00:21:10X(X830-1)","00:21:11X(X831-1)","00:21:12X(X832-1)","00:21:13X(X833-1)","00:21:14X(X834-1)","00:21:15X(X838-1)","00:21:16X(X839-1)","00:21:17X(X840-1)","00:21:18X(X841-1)","00:21:19X(X842-1)","00:21:1AX(X843-1)","00:21:1BX(X844-1)","00:21:1CX(X845-1)","00:21:1DX(X846-1)","00:21:1EX(X847-1)","00:21:1FX(X848-1)","00:21:20X(X849-1)","00:21:21X(X850-1)","00:21:22X(X851-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",175,165,150,134,340,127,165,135,677,125,170,153,176,171,183,190,149,148,215,163,131,173,148,169,131,233,138,165,195,491,6428,42,0,41,389
"8","2014/04/01 18:03",161,175,158,141,413,136,192,160,789,168,158,150,129,179,192,158,196,133,218,166,154,169,145,182,144,245,251,167,217,474,6915,4,0,3,373
"9","2014/04/01 18:08",332,303,326,255,556,220,368,316,916,306,322,336,271,302,337,297,374,271,385,367,315,328,306,397,246,370,434,353,360,525,12670,4,0,3,916
"10","2014/04/01 18:13",250,186,206,169,377,164,221,180,755,185,229,189,190,246,249,236,236,209,263,201,167,187,182,217,189,296,283,213,266,534,10056,42,0,41,577
"11","2014/04/01 18:18",139,145,142,130,358,113,173,134,727,108,130,117,144,152,139,145,157,116,197,152,104,160,160,156,144,240,149,142,182,453,5358,4,0,3,259
"12","2014/04/01 18:23",198,187,171,170,359,145,186,164,694,160,162,160,189,172,173,193,183,154,231,183,153,161,169,192,139,283,217,180,225,426,6860,4,0,3,373
"13","2014/04/01 18:28",258,242,206,184,417,168,249,183,784,201,240,190,200,229,281,182,237,177,247,232,167,213,207,229,194,296,337,219,240,526,9165,42,0,41,721
"14","2014/04/01 18:33",146,156,142,105,323,138,149,144,723,139,134,136,142,116,175,136,142,146,181,152,116,159,144,138,118,230,157,163,183,456,6654,4,0,3,263
"15","2014/04/01 18:38",389,388,405,295,547,227,419,320,958,321,391,358,312,313,359,371,387,362,476,417,324,401,368,499,263,403,453,377,435,481,13327,4,0,3,705
"16","2014/04/01 18:43",312,335,316,251,524,168,342,251,892,247,351,273,274,316,336,258,298,299,347,324,216,307,280,349,216,391,297,285,338,564,11558,42,0,41,846
"17","2014/04/01 18:48",240,256,260,197,461,153,274,195,836,189,236,215,221,192,245,223,237,231,284,276,185,230,205,300,191,316,313,261,300,455,6602,4,0,3,409
"18","2014/04/01 18:53",217,227,219,200,422,156,224,180,798,168,215,185,206,191,215,219,191,201,280,259,204,203,192,285,133,305,301,261,274,529,8107,4,0,3,581
"19","2014/04/01 18:58",201,131,131,154,368,135,168,152,748,112,158,121,147,168,184,140,139,129,187,153,132,138,146,158,107,216,159,154,168,547,6241,42,0,41,317
"20","2014/04/01 19:03",257,231,227,216,403,219,248,236,824,226,199,224,228,229,272,234,250,222,273,233,194,266,222,261,186,290,290,253,292,471,10818,4,0,3,677
"21","2014/04/01 19:08",241,254,229,214,404,170,268,210,853,217,231,211,202,207,235,225,240,217,290,264,203,238,204,281,173,297,323,247,278,493,5163,4,0,3,351
"22","2014/04/01 19:13",186,141,146,160,305,148,165,154,767,127,175,137,148,199,207,146,143,138,188,150,126,158,138,147,123,246,175,165,188,555,5498,42,0,41,431
"23","2014/04/01 19:18",156,145,154,154,376,133,152,144,737,147,130,129,156,133,148,165,134,137,175,163,112,139,126,137,110,232,149,169,184,465,4163,4,0,3,136
"24","2014/04/01 19:23",172,176,158,151,400,132,159,154,750,142,151,145,165,169,162,199,150,166,205,152,139,183,130,194,133,257,190,197,191,467,5289,4,0,3,321
"25","2014/04/01 19:28",217,172,180,188,380,144,173,138,791,160,168,153,180,199,212,151,163,149,201,167,136,165,175,163,132,269,227,178,217,537,5688,42,0,41,351
"26","2014/04/01 19:33",337,287,333,298,430,231,325,273,957,310,333,320,307,319,328,347,333,283,337,339,247,335,305,356,273,393,379,302,343,520,14034,4,0,3,839
"27","2014/04/01 19:38",227,242,230,228,442,156,280,208,874,206,258,227,227,198,235,250,239,248,286,268,205,237,206,258,167,285,342,230,271,490,3266,4,0,3,171
"28","2014/04/01 19:43",214,183,161,159,374,132,193,143,624,152,182,163,176,201,207,209,141,165,200,175,151,169,144,154,134,225,206,172,194,457,6542,42,0,41,464
"29","2014/04/01 19:48",162,156,149,151,378,157,158,151,753,130,148,150,158,151,183,169,165,152,194,171,123,175,151,165,140,223,198,155,177,461,5351,4,0,3,259
"30","2014/04/01 19:53",148,170,161,155,351,121,178,142,707,144,174,147,164,155,163,176,156,151,185,167,131,165,138,167,128,224,220,168,187,432,4158,4,0,3,215
