LDEV_TransRate5A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6X(X68-1)","00:5A:D7X(X66-1)","00:5A:D8X(X50-1)","00:5A:D9X(X71-1)","00:5A:FC(5-6)","00:5A:FD(5-6)","00:5A:FEX(X69-1)","00:5A:FFX(X67-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",1154,1107,1139,1140,0,0,126,121
"8","2014/04/01 18:03",5947,5924,5858,5962,0,0,662,647
"9","2014/04/01 18:08",4680,4646,4603,4644,0,0,629,617
"10","2014/04/01 18:13",3281,3285,3237,3271,0,0,130,116
"11","2014/04/01 18:18",3397,3390,3343,3379,0,0,638,624
"12","2014/04/01 18:23",5362,5351,5319,5369,0,0,635,641
"13","2014/04/01 18:28",4501,4502,4433,4509,0,0,141,117
"14","2014/04/01 18:33",2982,2968,2940,2976,0,0,628,613
"15","2014/04/01 18:38",1083,1076,1053,1058,0,0,631,611
"16","2014/04/01 18:43",1373,1365,1354,1369,0,0,98,102
"17","2014/04/01 18:48",2699,2630,2679,2672,0,0,601,601
"18","2014/04/01 18:53",1972,1962,1947,1963,0,0,155,120
"19","2014/04/01 18:58",4137,4121,4073,4115,0,0,608,592
"20","2014/04/01 19:03",4009,3989,3970,4024,0,0,678,663
"21","2014/04/01 19:08",1752,1715,1726,1736,0,0,629,634
"22","2014/04/01 19:13",1090,1075,1060,1078,0,0,140,114
"23","2014/04/01 19:18",3837,3809,3802,3833,0,0,629,617
"24","2014/04/01 19:23",762,756,753,742,0,0,153,146
"25","2014/04/01 19:28",757,746,735,739,0,0,594,596
"26","2014/04/01 19:33",1768,1770,1754,1775,0,0,612,604
"27","2014/04/01 19:38",3667,3678,3612,3670,0,0,123,92
"28","2014/04/01 19:43",2966,2940,2909,2960,0,0,583,569
"29","2014/04/01 19:48",1719,1714,1675,1696,0,0,864,861
"30","2014/04/01 19:53",4414,4411,4364,4426,0,0,145,153
"31","2014/04/01 19:58",1477,1464,1451,1454,0,0,605,593
"32","2014/04/01 20:03",912,911,896,915,0,0,676,653
"33","2014/04/01 20:08",2206,2200,2168,2179,0,0,167,137
"34","2014/04/01 20:13",2002,1989,1966,1989,0,0,587,604
"35","2014/04/01 20:18",3430,3441,3396,3431,0,0,611,611
"36","2014/04/01 20:23",1811,1800,1785,1800,0,0,151,126
"37","2014/04/01 20:28",1012,1009,994,1000,0,0,591,564
"38","2014/04/01 20:33",379,378,364,367,0,0,128,119
"39","2014/04/01 20:38",3293,3252,3239,3266,0,0,608,608
"40","2014/04/01 20:43",2815,2815,2777,2801,0,0,605,611
"41","2014/04/01 20:48",2181,2184,2157,2167,0,0,162,129
"42","2014/04/01 20:53",1081,1073,1061,1049,0,0,632,601
"43","2014/04/01 20:58",1027,976,1017,989,0,0,597,598
"44","2014/04/01 21:03",822,831,822,818,0,0,195,195
"45","2014/04/01 21:08",777,759,749,757,0,0,626,615
"46","2014/04/01 21:13",452,418,429,428,0,0,625,601
"47","2014/04/01 21:18",2385,2388,2351,2371,0,0,159,141
"48","2014/04/01 21:23",136,141,124,110,0,0,608,615
"49","2014/04/01 21:28",3141,3151,3113,3151,0,0,132,118
"50","2014/04/01 21:33",378,354,365,362,0,0,635,613
"51","2014/04/01 21:38",2019,2002,1998,2015,0,0,640,627
"52","2014/04/01 21:43",3179,3135,3122,3159,0,0,130,130
"53","2014/04/01 21:48",3921,3919,3873,3919,0,0,626,627
