LDEV_TransRateF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",177,0,459,483,488,0,6499,6614,6433
"8","2014/04/01 18:03",649,0,816,846,844,0,4664,4458,4492
"9","2014/04/01 18:08",179,0,466,487,493,0,7344,7535,7391
"10","2014/04/01 18:13",181,0,468,491,492,0,7020,6981,7057
"11","2014/04/01 18:18",181,0,468,493,521,0,4997,4725,4800
"12","2014/04/01 18:23",183,0,471,495,496,0,5434,5185,5308
"13","2014/04/01 18:28",184,0,472,496,500,0,19114,18723,18825
"14","2014/04/01 18:33",184,0,475,500,501,0,14955,14538,14434
"15","2014/04/01 18:38",176,0,475,486,507,0,5692,5467,5618
"16","2014/04/01 18:43",178,0,480,480,501,0,6979,6860,6891
"17","2014/04/01 18:48",177,0,460,480,483,0,27718,27586,27655
"18","2014/04/01 18:53",179,0,459,483,485,0,3023,3057,3077
"19","2014/04/01 18:58",179,0,461,483,489,0,1913,2141,2164
"20","2014/04/01 19:03",647,0,820,845,846,0,1746,1803,1888
"21","2014/04/01 19:08",180,0,463,488,493,0,2696,2944,3454
"22","2014/04/01 19:13",181,0,469,492,495,0,2866,3097,3211
"23","2014/04/01 19:18",181,0,469,493,496,0,2309,2351,2769
"24","2014/04/01 19:23",182,0,474,497,497,0,3395,3440,3585
"25","2014/04/01 19:28",183,0,472,496,501,0,15598,15677,15408
"26","2014/04/01 19:33",185,0,476,501,501,0,11263,11002,10941
"27","2014/04/01 19:38",177,0,475,488,507,0,17673,17693,17426
"28","2014/04/01 19:43",177,0,482,481,503,0,5280,5146,5837
"29","2014/04/01 19:48",177,0,460,481,487,0,50494,49982,49515
"30","2014/04/01 19:53",179,0,460,484,485,0,16677,16697,16577
"31","2014/04/01 19:58",179,0,462,485,490,0,4138,4123,4264
"32","2014/04/01 20:03",613,0,821,844,841,0,3504,3548,3624
"33","2014/04/01 20:08",180,0,467,491,494,0,1784,1836,1823
