LDEV_Write_Hit02.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:00X(X30-1)","00:02:05X(X509-1)","00:02:08X(X312-1)","00:02:09X(X611-1)","00:02:0AX(X665-1)","00:02:0BX(X717-1)","00:02:10X(X510-1)","00:02:11X(X511-1)","00:02:12X(X512-1)","00:02:13X(X513-1)","00:02:14X(X514-1)","00:02:15X(X515-1)","00:02:16X(X516-1)","00:02:17X(X517-1)","00:02:18X(X518-1)","00:02:19X(X519-1)","00:02:1AX(X520-1)","00:02:1BX(X521-1)","00:02:1CX(X522-1)","00:02:1DX(X523-1)","00:02:1EX(X524-1)","00:02:1FX(X525-1)","00:02:20X(X526-1)","00:02:21X(X527-1)","00:02:24(11-8)","00:02:25(11-8)","00:02:26(11-8)","00:02:27(11-8)","00:02:28(11-8)","00:02:29(11-8)","00:02:2A(11-8)","00:02:2B(11-8)","00:02:2C(11-9)","00:02:2D(11-9)","00:02:2E(11-9)","00:02:2F(11-9)","00:02:30(11-9)","00:02:31(11-9)","00:02:32(11-9)","00:02:33(11-9)","00:02:34(11-9)","00:02:35(11-9)","00:02:36(11-9)","00:02:37(11-9)","00:02:38(11-9)","00:02:39(11-9)","00:02:3A(11-9)","00:02:3B(11-9)","00:02:3C(11-9)","00:02:3D(11-9)","00:02:3E(11-9)","00:02:3F(11-9)","00:02:40(11-7)","00:02:41(11-7)","00:02:42X(X528-1)","00:02:43X(X191-1)","00:02:46(11-7)","00:02:DAX(X529-1)","00:02:E3X(X530-1)","00:02:E4X(X531-1)","00:02:E5X(X532-1)","00:02:EDX(X21-1)","00:02:EEX(X22-1)","00:02:EFX(X23-1)","00:02:F9X(X33-1)","00:02:FBX(X533-1)","00:02:FCX(X534-1)","00:02:FDX(X535-1)","00:02:FEX(X536-1)","00:02:FFX(X539-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,47,0,0,0,0,93,76,53,98,90,83,62,83,67,80,54,65,41,58,91,48,66,90,0,0,0,0,0,0,0,0,0,0,96,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,94,100,66,55,90,89,0,0,0,81,85,100,100,100,91
"8","2014/04/01 18:03",0,46,0,0,0,0,93,87,66,92,93,88,97,94,55,95,66,86,95,58,84,94,90,97,0,0,0,0,0,0,0,0,0,0,96,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,96,100,86,93,65,83,0,0,0,87,83,100,100,100,61
"9","2014/04/01 18:08",0,45,0,0,0,0,81,45,34,39,41,39,65,60,39,40,42,44,61,44,45,51,39,37,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,96,100,49,71,87,82,0,0,0,73,80,100,100,100,71
"10","2014/04/01 18:13",0,45,0,0,0,0,89,92,95,85,88,85,89,95,54,93,60,56,88,33,95,95,76,91,0,0,0,0,0,0,0,0,0,0,96,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,97,100,68,96,89,86,0,0,0,83,86,100,100,100,82
"11","2014/04/01 18:18",0,43,0,0,0,0,87,79,50,90,97,85,70,84,39,83,89,52,89,69,70,85,66,72,0,0,0,0,0,0,0,0,0,0,98,0,100,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,96,96,90,91,82,87,0,0,0,78,88,100,100,100,86
"12","2014/04/01 18:23",0,60,0,0,0,0,77,85,51,86,64,67,47,97,36,80,96,98,34,66,95,90,60,44,0,0,0,0,0,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,96,100,95,73,85,86,0,0,0,86,85,100,100,100,89
"13","2014/04/01 18:28",0,91,0,0,0,0,35,73,35,88,73,96,60,93,51,84,93,90,86,40,92,87,75,91,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,100,96,90,78,91,88,0,0,0,72,84,100,100,100,85
"14","2014/04/01 18:33",0,84,0,0,0,0,69,69,29,93,54,96,79,93,35,94,94,42,90,91,91,88,67,97,0,0,0,0,0,0,0,0,0,0,95,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,90,92,90,63,86,87,0,0,0,80,83,100,100,100,90
"15","2014/04/01 18:38",0,38,0,0,0,0,47,36,34,77,47,53,50,47,32,50,50,41,63,46,81,88,76,50,0,0,0,0,0,0,0,0,0,0,93,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,93,100,91,56,90,85,0,0,0,71,83,100,100,100,90
"16","2014/04/01 18:43",0,57,0,0,0,0,54,41,28,80,80,78,66,56,68,92,72,68,57,80,96,97,97,89,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,93,100,93,51,81,83,0,0,0,91,85,100,100,100,84
"17","2014/04/01 18:48",0,36,0,0,0,0,56,42,42,95,42,68,53,62,97,94,47,56,40,45,74,86,44,61,0,0,0,0,0,0,0,0,0,0,97,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,95,100,52,70,88,84,0,0,0,80,82,100,100,100,90
"18","2014/04/01 18:53",0,60,0,0,0,0,43,40,37,92,26,77,83,34,91,71,60,34,97,53,87,91,54,52,0,0,0,0,0,0,0,0,0,0,96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,94,100,48,71,88,84,0,0,0,85,84,100,100,100,78
"19","2014/04/01 18:58",0,52,0,0,0,0,47,41,44,60,76,61,95,67,86,96,51,57,50,50,83,94,73,89,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,97,100,46,71,87,87,0,0,0,74,84,100,100,100,89
"20","2014/04/01 19:03",0,36,0,0,0,0,28,93,28,92,58,34,89,42,54,92,77,33,70,97,80,74,88,97,0,0,0,0,0,0,0,0,0,0,98,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,96,9,81,91,68,81,0,0,0,91,82,100,100,100,67
"21","2014/04/01 19:08",0,46,0,0,0,0,36,66,33,47,44,30,51,44,38,35,35,37,57,75,36,46,40,55,0,0,0,0,0,0,0,0,0,0,93,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,93,100,48,59,86,83,0,0,0,75,81,100,100,100,88
"22","2014/04/01 19:13",0,35,0,0,0,0,28,94,45,64,80,36,70,61,57,93,53,38,81,26,95,51,97,97,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,82,96,91,92,91,86,0,0,0,74,79,99,100,100,90
"23","2014/04/01 19:18",0,32,0,0,0,66,92,66,36,32,48,55,62,47,95,51,54,64,76,48,29,54,73,94,0,0,0,0,0,0,0,0,0,0,94,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,87,89,74,93,87,83,0,0,0,78,80,100,100,100,90
"24","2014/04/01 19:23",0,31,0,0,0,0,92,55,28,43,44,31,73,23,91,28,44,26,87,29,50,43,23,45,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,82,89,65,92,88,83,0,0,0,77,80,100,100,100,89
"25","2014/04/01 19:28",0,32,0,0,0,0,96,47,32,70,74,29,94,94,35,65,34,95,60,67,94,41,61,98,0,0,0,0,0,0,0,0,0,0,93,66,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,69,82,97,60,96,91,84,0,0,0,76,76,100,100,100,85
"26","2014/04/01 19:33",0,43,0,0,0,0,90,92,91,83,92,96,92,89,90,89,39,24,96,75,69,46,90,96,0,0,0,0,0,0,0,0,0,0,95,100,0,75,81,0,0,0,0,0,0,0,69,0,85,0,0,0,0,0,90,87,97,93,91,85,82,0,0,0,75,76,100,100,100,88
"27","2014/04/01 19:38",0,41,0,0,0,0,41,47,93,47,46,33,61,37,39,35,53,55,67,63,43,49,48,54,0,0,0,0,0,0,0,0,0,0,99,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,83,100,59,46,93,86,0,0,0,76,84,100,100,100,90
"28","2014/04/01 19:43",0,97,0,0,0,0,26,53,29,90,78,48,70,47,30,68,38,38,55,76,63,59,62,87,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,100,100,34,26,62,69,0,0,0,69,62,100,100,100,63
"29","2014/04/01 19:48",0,23,0,0,0,0,47,34,23,93,30,26,54,24,21,28,30,18,62,79,10,14,26,42,0,0,0,0,0,0,0,0,0,0,99,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,80,96,28,51,73,73,0,0,0,73,69,100,100,100,74
"30","2014/04/01 19:53",0,25,0,0,0,0,32,36,18,88,20,46,26,27,29,21,40,34,75,78,46,34,15,28,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,94,100,45,29,75,80,0,0,0,65,75,100,100,100,85
"31","2014/04/01 19:58",0,23,0,0,0,0,29,40,15,44,75,37,58,43,34,72,34,72,68,71,55,43,67,87,0,0,0,0,0,0,0,0,0,0,97,50,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,96,100,60,24,87,82,0,0,0,75,74,100,100,100,83
"32","2014/04/01 20:03",0,84,0,0,0,0,89,67,29,91,93,66,87,64,47,92,92,87,93,72,92,68,62,97,0,0,0,0,0,0,0,0,0,0,99,0,0,69,78,0,0,0,0,0,0,0,87,0,88,0,0,0,0,0,46,96,100,58,42,72,76,0,0,0,79,74,100,100,100,62
"33","2014/04/01 20:08",0,44,0,0,0,0,51,82,32,61,48,51,43,53,40,37,38,47,62,42,77,41,39,37,0,0,0,0,0,0,0,0,0,0,96,100,0,92,78,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,39,80,100,41,41,88,77,0,0,0,76,77,100,100,100,73
"34","2014/04/01 20:13",0,91,0,0,0,0,63,90,82,90,74,81,65,57,94,70,54,92,93,96,96,46,91,94,0,0,0,0,0,0,0,0,0,0,99,100,0,89,82,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,75,94,100,57,33,90,77,0,0,0,70,74,100,100,100,88
"35","2014/04/01 20:18",0,58,0,0,0,0,85,89,36,96,28,65,51,37,35,48,37,83,47,96,21,28,34,85,0,0,0,0,0,0,0,0,0,0,99,100,0,88,99,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,28,96,100,52,53,90,71,0,0,0,82,82,100,100,100,89
"36","2014/04/01 20:23",0,61,0,0,0,0,68,94,41,95,42,75,46,34,43,44,60,82,59,51,52,58,29,95,0,0,0,0,0,0,0,0,0,0,99,100,0,85,99,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,29,100,100,63,36,82,75,0,0,0,75,82,100,100,100,80
"37","2014/04/01 20:28",0,82,0,0,0,0,65,97,43,52,82,81,56,50,57,66,52,93,36,25,53,38,66,97,0,0,0,0,0,0,0,0,0,0,99,100,0,87,99,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,75,0,100,45,42,87,83,0,0,0,79,78,100,100,100,92
"38","2014/04/01 20:33",0,80,0,0,0,0,52,83,27,90,65,61,84,33,38,93,35,85,23,85,97,54,57,97,0,0,0,0,0,0,0,0,0,0,99,100,0,94,99,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,35,83,100,36,93,91,83,0,0,0,78,81,100,100,100,91
"39","2014/04/01 20:38",0,68,0,0,0,0,23,59,34,28,36,61,40,33,26,29,42,87,25,92,31,41,30,79,0,0,0,0,0,0,0,0,0,0,99,100,0,94,99,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,96,56,100,37,91,90,82,0,0,0,77,80,100,100,100,91
"40","2014/04/01 20:43",0,77,0,0,0,0,38,76,40,56,93,79,98,62,45,82,98,93,31,96,87,50,77,86,0,0,0,0,0,0,0,0,0,0,99,100,0,95,99,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,78,87,93,58,37,92,85,0,0,0,80,80,100,100,100,91
"41","2014/04/01 20:48",0,78,0,0,0,0,64,74,41,26,31,70,85,45,41,97,55,88,43,93,23,43,54,74,0,0,0,0,0,0,0,0,0,0,99,100,0,94,99,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,40,96,100,89,63,82,83,0,0,0,90,79,100,100,100,87
"42","2014/04/01 20:53",0,64,0,0,0,0,33,73,61,28,35,55,55,33,26,95,60,93,86,55,54,63,23,54,0,0,0,0,0,0,0,0,0,0,99,0,0,95,99,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,27,96,100,92,38,86,84,0,0,0,78,82,100,100,100,80
