LDEV_Write_Hit12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:12:00X(X133-1)","00:12:01X(X131-1)","00:12:02X(X200-1)","00:12:03X(X201-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,95,96
"8","2014/04/01 18:03",0,0,95,95
"9","2014/04/01 18:08",0,0,95,95
"10","2014/04/01 18:13",0,0,96,96
"11","2014/04/01 18:18",0,0,94,96
"12","2014/04/01 18:23",0,0,96,96
"13","2014/04/01 18:28",0,0,95,96
"14","2014/04/01 18:33",0,0,95,95
"15","2014/04/01 18:38",0,0,95,93
"16","2014/04/01 18:43",0,0,95,96
"17","2014/04/01 18:48",0,0,96,95
"18","2014/04/01 18:53",0,0,93,96
"19","2014/04/01 18:58",0,0,96,98
"20","2014/04/01 19:03",0,0,94,95
"21","2014/04/01 19:08",0,0,95,95
"22","2014/04/01 19:13",0,0,94,94
"23","2014/04/01 19:18",0,0,95,96
"24","2014/04/01 19:23",0,0,94,90
"25","2014/04/01 19:28",0,0,95,95
"26","2014/04/01 19:33",0,0,93,96
"27","2014/04/01 19:38",0,0,96,95
"28","2014/04/01 19:43",0,0,95,94
"29","2014/04/01 19:48",0,0,96,96
"30","2014/04/01 19:53",0,0,90,92
"31","2014/04/01 19:58",0,0,93,94
"32","2014/04/01 20:03",0,0,95,96
"33","2014/04/01 20:08",0,0,95,96
"34","2014/04/01 20:13",0,0,95,95
"35","2014/04/01 20:18",0,0,96,96
"36","2014/04/01 20:23",0,0,91,96
"37","2014/04/01 20:28",0,0,94,96
"38","2014/04/01 20:33",0,0,96,95
"39","2014/04/01 20:38",0,0,96,96
"40","2014/04/01 20:43",0,0,95,96
"41","2014/04/01 20:48",0,0,95,94
"42","2014/04/01 20:53",0,0,95,95
"43","2014/04/01 20:58",0,0,94,96
"44","2014/04/01 21:03",0,0,95,95
"45","2014/04/01 21:08",0,0,96,98
"46","2014/04/01 21:13",0,0,95,96
"47","2014/04/01 21:18",0,0,95,95
"48","2014/04/01 21:23",0,0,95,96
"49","2014/04/01 21:28",0,0,95,96
"50","2014/04/01 21:33",0,0,95,96
"51","2014/04/01 21:38",0,0,96,95
"52","2014/04/01 21:43",0,0,96,96
"53","2014/04/01 21:48",0,0,95,95
"54","2014/04/01 21:53",0,0,96,95
"55","2014/04/01 21:58",0,0,95,95
"56","2014/04/01 22:03",0,0,93,96
"57","2014/04/01 22:08",0,0,95,96
"58","2014/04/01 22:13",0,0,95,96
"59","2014/04/01 22:18",0,0,95,96
"60","2014/04/01 22:23",0,0,95,96
"61","2014/04/01 22:28",0,0,96,96
"62","2014/04/01 22:33",0,0,94,95
"63","2014/04/01 22:38",0,0,96,95
"64","2014/04/01 22:43",0,0,95,96
"65","2014/04/01 22:48",0,0,95,96
"66","2014/04/01 22:53",0,0,95,93
"67","2014/04/01 22:58",0,0,95,96
"68","2014/04/01 23:03",0,0,93,95
"69","2014/04/01 23:08",0,0,94,95
"70","2014/04/01 23:13",0,0,79,81
"71","2014/04/01 23:18",0,0,96,97
"72","2014/04/01 23:23",0,0,94,92
"73","2014/04/01 23:28",0,0,95,95
"74","2014/04/01 23:33",0,0,94,95
"75","2014/04/01 23:38",0,0,94,95
"76","2014/04/01 23:43",0,0,95,94
"77","2014/04/01 23:48",0,0,95,95
"78","2014/04/01 23:53",0,0,95,96
"79","2014/04/01 23:58",0,0,95,93
"80","2014/04/02 00:03",0,0,94,96
"81","2014/04/02 00:08",0,0,94,95
"82","2014/04/02 00:13",0,0,95,95
"83","2014/04/02 00:18",0,0,95,95
"84","2014/04/02 00:23",0,0,89,96
"85","2014/04/02 00:28",0,0,96,96
"86","2014/04/02 00:33",0,0,94,95
"87","2014/04/02 00:38",0,0,95,95
"88","2014/04/02 00:43",0,0,94,96
"89","2014/04/02 00:48",0,0,95,94
"90","2014/04/02 00:53",0,0,94,95
"91","2014/04/02 00:58",0,0,94,95
"92","2014/04/02 01:03",0,0,94,94
"93","2014/04/02 01:08",0,0,95,95
"94","2014/04/02 01:13",0,0,93,96
"95","2014/04/02 01:18",0,0,95,95
"96","2014/04/02 01:23",0,0,95,96
