LDEV_Write_Hit2D.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2D:00X(X837-1)"
"1","2014/04/01 17:28",-4
"2","2014/04/01 17:33",-4
"3","2014/04/01 17:38",-4
"4","2014/04/01 17:43",-4
"5","2014/04/01 17:48",-4
"6","2014/04/01 17:53",-4
"7","2014/04/01 17:58",96
"8","2014/04/01 18:03",85
"9","2014/04/01 18:08",96
"10","2014/04/01 18:13",90
"11","2014/04/01 18:18",94
"12","2014/04/01 18:23",96
"13","2014/04/01 18:28",79
"14","2014/04/01 18:33",96
"15","2014/04/01 18:38",97
"16","2014/04/01 18:43",96
"17","2014/04/01 18:48",94
"18","2014/04/01 18:53",95
"19","2014/04/01 18:58",96
"20","2014/04/01 19:03",96
"21","2014/04/01 19:08",96
"22","2014/04/01 19:13",60
"23","2014/04/01 19:18",94
"24","2014/04/01 19:23",96
"25","2014/04/01 19:28",96
"26","2014/04/01 19:33",96
"27","2014/04/01 19:38",97
"28","2014/04/01 19:43",80
"29","2014/04/01 19:48",91
"30","2014/04/01 19:53",88
"31","2014/04/01 19:58",95
"32","2014/04/01 20:03",89
"33","2014/04/01 20:08",96
"34","2014/04/01 20:13",96
"35","2014/04/01 20:18",94
"36","2014/04/01 20:23",96
"37","2014/04/01 20:28",96
"38","2014/04/01 20:33",96
"39","2014/04/01 20:38",97
"40","2014/04/01 20:43",96
"41","2014/04/01 20:48",94
"42","2014/04/01 20:53",96
"43","2014/04/01 20:58",96
"44","2014/04/01 21:03",96
"45","2014/04/01 21:08",96
"46","2014/04/01 21:13",96
"47","2014/04/01 21:18",94
"48","2014/04/01 21:23",97
"49","2014/04/01 21:28",96
"50","2014/04/01 21:33",96
"51","2014/04/01 21:38",96
"52","2014/04/01 21:43",96
"53","2014/04/01 21:48",94
"54","2014/04/01 21:53",96
"55","2014/04/01 21:58",97
"56","2014/04/01 22:03",96
"57","2014/04/01 22:08",92
"58","2014/04/01 22:13",96
"59","2014/04/01 22:18",84
"60","2014/04/01 22:23",96
"61","2014/04/01 22:28",96
"62","2014/04/01 22:33",96
"63","2014/04/01 22:38",96
"64","2014/04/01 22:43",96
"65","2014/04/01 22:48",94
"66","2014/04/01 22:53",96
"67","2014/04/01 22:58",97
"68","2014/04/01 23:03",89
"69","2014/04/01 23:08",35
"70","2014/04/01 23:13",96
"71","2014/04/01 23:18",94
"72","2014/04/01 23:23",95
"73","2014/04/01 23:28",93
"74","2014/04/01 23:33",96
"75","2014/04/01 23:38",95
"76","2014/04/01 23:43",97
"77","2014/04/01 23:48",94
"78","2014/04/01 23:53",96
"79","2014/04/01 23:58",96
"80","2014/04/02 00:03",96
"81","2014/04/02 00:08",94
"82","2014/04/02 00:13",96
"83","2014/04/02 00:18",94
"84","2014/04/02 00:23",96
"85","2014/04/02 00:28",97
"86","2014/04/02 00:33",96
"87","2014/04/02 00:38",96
"88","2014/04/02 00:43",96
"89","2014/04/02 00:48",94
"90","2014/04/02 00:53",96
"91","2014/04/02 00:58",96
"92","2014/04/02 01:03",97
"93","2014/04/02 01:08",94
"94","2014/04/02 01:13",96
"95","2014/04/02 01:18",91
"96","2014/04/02 01:23",96
