LDEV_Write_Hit50.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:00X(X297-1)","00:50:01X(X1021-1)","00:50:02X(X1022-1)","00:50:03X(X1023-1)","00:50:04X(X1024-1)","00:50:05X(X1025-1)","00:50:06X(X1026-1)","00:50:07X(X1027-1)","00:50:08X(X1028-1)","00:50:09X(X1029-1)","00:50:0AX(X1030-1)","00:50:0BX(X1031-1)","00:50:0DX(X15-1)","00:50:0EX(X272-1)","00:50:10X(X250-1)","00:50:11X(X273-1)","00:50:12X(X284-1)","00:50:13X(X285-1)","00:50:14X(X286-1)","00:50:15X(X287-1)","00:50:16X(X288-1)","00:50:17X(X289-1)","00:50:18X(X291-1)","00:50:19X(X292-1)","00:50:1AX(X293-1)","00:50:1BX(X294-1)","00:50:1CX(X295-1)","00:50:1DX(X296-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,83,94,95,98,64,40,69,72,80,86,83,97,0,99,86,95,94,87,83,80,95,95,87,96,90,92,99
"8","2014/04/01 18:03",0,95,31,80,75,54,51,94,64,50,54,41,98,0,98,89,90,88,94,83,86,92,83,95,83,93,89,98
"9","2014/04/01 18:08",0,52,47,72,46,46,43,42,42,94,83,60,91,0,95,65,63,60,62,67,59,83,56,51,64,57,66,98
"10","2014/04/01 18:13",0,77,31,95,55,58,58,78,68,84,88,85,97,0,99,77,91,94,91,90,97,93,91,90,81,65,94,99
"11","2014/04/01 18:18",0,76,41,52,87,45,60,62,85,88,86,92,97,0,99,87,84,85,74,96,91,91,65,89,85,90,94,99
"12","2014/04/01 18:23",0,78,92,38,55,73,90,97,61,79,77,80,98,0,99,73,70,89,82,93,87,93,65,91,81,70,96,97
"13","2014/04/01 18:28",0,87,96,69,40,41,83,68,68,73,76,86,88,0,99,81,61,77,91,83,82,95,70,83,63,96,95,98
"14","2014/04/01 18:33",0,92,94,78,95,93,93,88,92,64,64,72,96,0,99,85,46,61,96,79,83,91,64,83,67,96,88,97
"15","2014/04/01 18:38",0,68,48,37,91,87,73,54,47,95,0,89,98,0,98,69,39,59,80,71,74,88,55,84,61,73,86,98
"16","2014/04/01 18:43",0,93,30,69,67,98,96,75,82,81,82,83,98,0,98,85,84,88,91,74,66,92,88,89,88,83,93,90
"17","2014/04/01 18:48",0,89,60,50,91,89,85,61,88,77,75,75,89,0,99,79,79,76,85,77,73,97,71,86,78,75,89,97
"18","2014/04/01 18:53",0,98,40,46,90,95,87,53,94,86,83,86,93,0,99,70,57,80,85,89,69,91,70,85,67,88,92,97
"19","2014/04/01 18:58",0,97,84,76,72,94,86,68,71,86,88,83,96,0,99,85,57,84,81,87,89,96,75,97,72,82,90,98
"20","2014/04/01 19:03",0,91,58,83,26,94,54,95,88,58,51,50,94,0,98,89,93,93,87,90,80,91,90,84,87,87,90,97
"21","2014/04/01 19:08",0,41,43,51,38,43,40,40,41,84,87,88,69,0,94,72,70,73,61,63,59,66,46,70,41,53,64,97
"22","2014/04/01 19:13",0,86,94,91,46,85,35,79,80,75,86,94,95,0,99,93,93,85,85,88,77,94,77,92,80,94,95,99
"23","2014/04/01 19:18",0,48,96,87,65,66,30,55,83,88,89,90,96,0,98,88,92,84,76,83,85,90,88,92,86,59,96,95
"24","2014/04/01 19:23",0,60,26,87,20,54,28,38,85,69,74,86,95,0,99,64,89,86,80,96,84,93,80,91,67,47,88,97
"25","2014/04/01 19:28",0,95,94,86,95,48,82,94,70,78,83,83,95,0,98,74,88,85,95,93,88,90,87,93,93,90,95,98
"26","2014/04/01 19:33",0,94,34,37,31,89,82,81,79,52,53,51,96,0,98,78,73,98,88,77,60,82,88,85,87,57,97,82
"27","2014/04/01 19:38",0,59,47,48,70,48,39,55,83,80,90,87,95,0,98,76,74,81,89,83,55,86,82,75,70,57,85,98
"28","2014/04/01 19:43",0,68,12,60,91,26,26,70,96,65,69,72,97,0,98,74,79,90,93,86,56,87,87,73,70,41,94,96
"29","2014/04/01 19:48",0,35,14,25,83,30,35,46,98,81,46,40,95,0,98,79,87,92,80,79,76,81,78,79,56,45,92,96
"30","2014/04/01 19:53",0,54,20,30,88,36,31,24,60,83,75,68,95,0,98,38,93,93,79,81,87,87,82,73,64,66,88,96
"31","2014/04/01 19:58",0,76,28,67,84,28,31,67,79,84,78,80,99,0,99,69,91,87,82,92,80,91,91,65,83,57,93,98
"32","2014/04/01 20:03",0,92,82,87,89,45,24,89,82,56,46,61,98,0,98,93,88,84,90,76,88,88,82,83,94,88,91,97
"33","2014/04/01 20:08",0,54,40,49,42,39,41,41,39,90,93,95,78,0,94,61,75,60,52,53,56,62,57,51,78,75,71,97
"34","2014/04/01 20:13",0,82,23,92,45,44,33,73,56,76,85,91,96,0,99,83,94,86,82,67,92,91,73,81,96,96,92,98
"35","2014/04/01 20:18",0,66,33,89,43,35,28,47,86,85,86,100,98,0,98,76,87,83,69,63,93,93,61,70,95,98,91,98
