LDEV_Write_Hit5D.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5D:00X(X197-1)","00:5D:01(13-1)","00:5D:02(13-1)","00:5D:03(13-1)","00:5D:04(13-1)","00:5D:05(13-1)","00:5D:06(13-1)","00:5D:07(5-14)","00:5D:08(5-14)","00:5D:09X(X447-1)","00:5D:0AX(X280-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",44,0,0,0,0,0,0,0,0,0,0
"8","2014/04/01 18:03",85,0,0,0,0,0,0,0,0,0,0
"9","2014/04/01 18:08",21,0,0,0,0,0,0,0,0,0,0
"10","2014/04/01 18:13",78,0,0,0,0,0,0,0,0,0,0
"11","2014/04/01 18:18",62,0,0,0,0,0,0,0,0,0,0
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,0
"13","2014/04/01 18:28",55,0,0,0,0,0,0,0,0,0,0
"14","2014/04/01 18:33",36,0,0,0,0,0,0,0,0,0,0
"15","2014/04/01 18:38",41,0,0,0,0,0,0,0,0,0,0
"16","2014/04/01 18:43",76,0,0,0,0,0,0,0,0,0,0
"17","2014/04/01 18:48",41,0,0,0,0,0,0,0,0,0,0
"18","2014/04/01 18:53",50,0,0,0,0,0,0,0,0,0,0
"19","2014/04/01 18:58",39,0,0,0,0,0,0,0,0,0,0
"20","2014/04/01 19:03",79,0,0,0,0,0,0,0,0,0,0
"21","2014/04/01 19:08",39,0,0,0,0,0,0,0,0,0,0
"22","2014/04/01 19:13",56,0,0,0,0,0,0,0,0,0,0
"23","2014/04/01 19:18",18,0,0,0,0,0,0,0,0,0,42
"24","2014/04/01 19:23",78,0,0,0,0,0,0,0,0,0,0
"25","2014/04/01 19:28",37,0,0,0,0,0,0,0,0,0,0
"26","2014/04/01 19:33",0,0,0,0,0,0,0,0,0,0,0
"27","2014/04/01 19:38",30,0,0,0,0,0,0,0,0,0,0
"28","2014/04/01 19:43",14,66,0,0,42,0,0,0,0,0,0
"29","2014/04/01 19:48",78,0,0,0,0,0,0,0,0,0,0
"30","2014/04/01 19:53",22,0,0,0,0,67,0,0,0,0,0
"31","2014/04/01 19:58",34,0,0,0,0,0,0,0,0,0,0
"32","2014/04/01 20:03",0,0,0,0,0,0,0,0,0,0,0
"33","2014/04/01 20:08",29,0,0,0,0,0,0,0,0,0,0
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,0,0
"35","2014/04/01 20:18",47,0,0,0,0,0,0,0,0,0,0
"36","2014/04/01 20:23",26,0,0,0,0,0,0,0,0,0,0
"37","2014/04/01 20:28",78,0,0,0,0,65,0,0,0,0,0
"38","2014/04/01 20:33",36,0,0,0,0,0,0,0,0,0,0
"39","2014/04/01 20:38",0,0,0,0,0,69,0,0,0,0,0
"40","2014/04/01 20:43",46,0,0,0,0,74,0,0,0,0,0
"41","2014/04/01 20:48",0,0,0,0,0,80,0,0,100,27,0
"42","2014/04/01 20:53",45,0,0,0,0,66,0,0,0,0,0
"43","2014/04/01 20:58",28,0,0,0,0,74,0,0,0,0,0
"44","2014/04/01 21:03",77,0,0,0,0,77,0,0,0,0,0
"45","2014/04/01 21:08",40,0,0,0,0,0,0,0,0,0,0
