LDEV_Write_HitF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",98,0,99,99,99,0,97,97,97
"8","2014/04/01 18:03",77,0,96,96,96,0,98,97,97
"9","2014/04/01 18:08",98,0,99,98,99,0,92,91,91
"10","2014/04/01 18:13",98,0,99,98,99,0,97,97,97
"11","2014/04/01 18:18",98,100,99,99,99,0,97,97,97
"12","2014/04/01 18:23",98,0,99,99,99,0,98,98,98
"13","2014/04/01 18:28",98,0,99,99,99,0,88,87,88
"14","2014/04/01 18:33",98,0,98,99,99,0,96,97,97
"15","2014/04/01 18:38",98,0,98,98,99,0,98,97,97
"16","2014/04/01 18:43",98,0,99,98,99,0,98,98,98
"17","2014/04/01 18:48",98,100,99,99,99,0,89,89,89
"18","2014/04/01 18:53",98,0,99,99,99,0,97,96,97
"19","2014/04/01 18:58",98,0,99,99,99,0,96,96,95
"20","2014/04/01 19:03",77,0,96,96,96,0,94,93,93
"21","2014/04/01 19:08",98,0,99,98,99,0,69,69,70
"22","2014/04/01 19:13",98,0,99,98,99,0,96,95,96
"23","2014/04/01 19:18",98,100,99,98,99,0,96,95,97
"24","2014/04/01 19:23",98,0,99,98,99,0,94,95,94
"25","2014/04/01 19:28",98,0,99,99,99,0,95,95,94
"26","2014/04/01 19:33",98,0,99,99,99,0,96,96,96
"27","2014/04/01 19:38",98,0,99,99,99,0,96,95,95
"28","2014/04/01 19:43",98,0,99,99,99,0,97,97,97
"29","2014/04/01 19:48",98,100,99,99,99,0,95,95,95
"30","2014/04/01 19:53",98,0,99,99,99,0,96,95,96
"31","2014/04/01 19:58",98,0,99,99,99,0,99,99,99
"32","2014/04/01 20:03",77,0,96,96,96,0,98,98,98
"33","2014/04/01 20:08",98,0,99,99,99,0,78,76,75
"34","2014/04/01 20:13",98,0,99,99,99,0,96,96,97
"35","2014/04/01 20:18",98,100,99,99,99,0,98,98,98
"36","2014/04/01 20:23",98,0,99,99,99,0,96,95,96
