LDEV_BackTrans_X172-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:0C X"
"1","2014/04/01 17:28",6
"2","2014/04/01 17:33",5
"3","2014/04/01 17:38",4
"4","2014/04/01 17:43",4
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",5
"7","2014/04/01 17:58",6
"8","2014/04/01 18:03",8
"9","2014/04/01 18:08",6
"10","2014/04/01 18:13",5
"11","2014/04/01 18:18",6
"12","2014/04/01 18:23",6
"13","2014/04/01 18:28",5
"14","2014/04/01 18:33",4
"15","2014/04/01 18:38",6
"16","2014/04/01 18:43",6
"17","2014/04/01 18:48",5
"18","2014/04/01 18:53",6
"19","2014/04/01 18:58",6
"20","2014/04/01 19:03",8
"21","2014/04/01 19:08",6
"22","2014/04/01 19:13",3
"23","2014/04/01 19:18",5
"24","2014/04/01 19:23",5
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",5
"27","2014/04/01 19:38",5
"28","2014/04/01 19:43",6
"29","2014/04/01 19:48",4
"30","2014/04/01 19:53",5
"31","2014/04/01 19:58",5
"32","2014/04/01 20:03",8
"33","2014/04/01 20:08",5
"34","2014/04/01 20:13",6
"35","2014/04/01 20:18",5
"36","2014/04/01 20:23",5
"37","2014/04/01 20:28",4
"38","2014/04/01 20:33",6
"39","2014/04/01 20:38",6
"40","2014/04/01 20:43",6
"41","2014/04/01 20:48",5
"42","2014/04/01 20:53",5
"43","2014/04/01 20:58",6
"44","2014/04/01 21:03",7
"45","2014/04/01 21:08",5
"46","2014/04/01 21:13",6
"47","2014/04/01 21:18",4
"48","2014/04/01 21:23",5
"49","2014/04/01 21:28",6
"50","2014/04/01 21:33",6
"51","2014/04/01 21:38",6
"52","2014/04/01 21:43",6
"53","2014/04/01 21:48",5
"54","2014/04/01 21:53",6
"55","2014/04/01 21:58",6
"56","2014/04/01 22:03",8
"57","2014/04/01 22:08",5
"58","2014/04/01 22:13",6
"59","2014/04/01 22:18",6
"60","2014/04/01 22:23",6
"61","2014/04/01 22:28",6
"62","2014/04/01 22:33",6
"63","2014/04/01 22:38",5
"64","2014/04/01 22:43",6
"65","2014/04/01 22:48",6
"66","2014/04/01 22:53",5
"67","2014/04/01 22:58",4
"68","2014/04/01 23:03",6
"69","2014/04/01 23:08",6
"70","2014/04/01 23:13",5
"71","2014/04/01 23:18",6
"72","2014/04/01 23:23",6
"73","2014/04/01 23:28",3
"74","2014/04/01 23:33",5
"75","2014/04/01 23:38",6
"76","2014/04/01 23:43",6
"77","2014/04/01 23:48",5
"78","2014/04/01 23:53",5
"79","2014/04/01 23:58",4
"80","2014/04/02 00:03",7
"81","2014/04/02 00:08",5
"82","2014/04/02 00:13",5
"83","2014/04/02 00:18",6
"84","2014/04/02 00:23",6
"85","2014/04/02 00:28",6
"86","2014/04/02 00:33",6
"87","2014/04/02 00:38",6
"88","2014/04/02 00:43",5
"89","2014/04/02 00:48",5
"90","2014/04/02 00:53",5
"91","2014/04/02 00:58",4
"92","2014/04/02 01:03",7
"93","2014/04/02 01:08",6
"94","2014/04/02 01:13",3
"95","2014/04/02 01:18",5
"96","2014/04/02 01:23",5
