LDEV_BackTrans_X484-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:67 X"
"1","2014/04/01 17:28",50
"2","2014/04/01 17:33",78
"3","2014/04/01 17:38",76
"4","2014/04/01 17:43",88
"5","2014/04/01 17:48",75
"6","2014/04/01 17:53",71
"7","2014/04/01 17:58",66
"8","2014/04/01 18:03",79
"9","2014/04/01 18:08",106
"10","2014/04/01 18:13",80
"11","2014/04/01 18:18",74
"12","2014/04/01 18:23",79
"13","2014/04/01 18:28",127
"14","2014/04/01 18:33",114
"15","2014/04/01 18:38",77
"16","2014/04/01 18:43",93
"17","2014/04/01 18:48",165
"18","2014/04/01 18:53",34
"19","2014/04/01 18:58",23
"20","2014/04/01 19:03",40
"21","2014/04/01 19:08",47
"22","2014/04/01 19:13",44
"23","2014/04/01 19:18",44
"24","2014/04/01 19:23",73
"25","2014/04/01 19:28",137
"26","2014/04/01 19:33",106
"27","2014/04/01 19:38",128
"28","2014/04/01 19:43",86
"29","2014/04/01 19:48",203
"30","2014/04/01 19:53",107
"31","2014/04/01 19:58",49
"32","2014/04/01 20:03",83
"33","2014/04/01 20:08",56
"34","2014/04/01 20:13",30
"35","2014/04/01 20:18",31
"36","2014/04/01 20:23",23
"37","2014/04/01 20:28",37
"38","2014/04/01 20:33",30
"39","2014/04/01 20:38",15
"40","2014/04/01 20:43",24
"41","2014/04/01 20:48",34
"42","2014/04/01 20:53",9
"43","2014/04/01 20:58",17
"44","2014/04/01 21:03",34
"45","2014/04/01 21:08",31
"46","2014/04/01 21:13",31
"47","2014/04/01 21:18",21
"48","2014/04/01 21:23",18
"49","2014/04/01 21:28",23
"50","2014/04/01 21:33",33
"51","2014/04/01 21:38",23
"52","2014/04/01 21:43",33
"53","2014/04/01 21:48",32
"54","2014/04/01 21:53",16
"55","2014/04/01 21:58",12
"56","2014/04/01 22:03",26
"57","2014/04/01 22:08",23
"58","2014/04/01 22:13",30
"59","2014/04/01 22:18",27
"60","2014/04/01 22:23",17
"61","2014/04/01 22:28",23
"62","2014/04/01 22:33",27
"63","2014/04/01 22:38",8
"64","2014/04/01 22:43",19
"65","2014/04/01 22:48",26
"66","2014/04/01 22:53",6
"67","2014/04/01 22:58",22
"68","2014/04/01 23:03",27
"69","2014/04/01 23:08",33
"70","2014/04/01 23:13",39
"71","2014/04/01 23:18",24
"72","2014/04/01 23:23",53
"73","2014/04/01 23:28",22
"74","2014/04/01 23:33",133
"75","2014/04/01 23:38",44
"76","2014/04/01 23:43",73
"77","2014/04/01 23:48",87
"78","2014/04/01 23:53",68
"79","2014/04/01 23:58",50
"80","2014/04/02 00:03",94
"81","2014/04/02 00:08",119
"82","2014/04/02 00:13",92
"83","2014/04/02 00:18",103
"84","2014/04/02 00:23",85
"85","2014/04/02 00:28",94
"86","2014/04/02 00:33",88
"87","2014/04/02 00:38",48
"88","2014/04/02 00:43",65
"89","2014/04/02 00:48",100
"90","2014/04/02 00:53",79
"91","2014/04/02 00:58",74
"92","2014/04/02 01:03",68
"93","2014/04/02 01:08",66
"94","2014/04/02 01:13",63
"95","2014/04/02 01:18",41
"96","2014/04/02 01:23",37
