LDEV_BackTrans_X50-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D8 X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",15
"3","2014/04/01 17:38",10
"4","2014/04/01 17:43",12
"5","2014/04/01 17:48",12
"6","2014/04/01 17:53",7
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",17
"9","2014/04/01 18:08",16
"10","2014/04/01 18:13",11
"11","2014/04/01 18:18",11
"12","2014/04/01 18:23",13
"13","2014/04/01 18:28",14
"14","2014/04/01 18:33",10
"15","2014/04/01 18:38",5
"16","2014/04/01 18:43",5
"17","2014/04/01 18:48",11
"18","2014/04/01 18:53",8
"19","2014/04/01 18:58",12
"20","2014/04/01 19:03",15
"21","2014/04/01 19:08",7
"22","2014/04/01 19:13",6
"23","2014/04/01 19:18",13
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",3
"26","2014/04/01 19:33",10
"27","2014/04/01 19:38",12
"28","2014/04/01 19:43",17
"29","2014/04/01 19:48",13
"30","2014/04/01 19:53",15
"31","2014/04/01 19:58",6
"32","2014/04/01 20:03",6
"33","2014/04/01 20:08",11
"34","2014/04/01 20:13",9
"35","2014/04/01 20:18",12
"36","2014/04/01 20:23",9
"37","2014/04/01 20:28",3
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",12
"40","2014/04/01 20:43",11
"41","2014/04/01 20:48",9
"42","2014/04/01 20:53",5
"43","2014/04/01 20:58",6
"44","2014/04/01 21:03",5
"45","2014/04/01 21:08",5
"46","2014/04/01 21:13",3
"47","2014/04/01 21:18",7
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",15
"50","2014/04/01 21:33",3
"51","2014/04/01 21:38",9
"52","2014/04/01 21:43",11
"53","2014/04/01 21:48",12
"54","2014/04/01 21:53",6
"55","2014/04/01 21:58",0
"56","2014/04/01 22:03",7
"57","2014/04/01 22:08",6
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",9
"60","2014/04/01 22:23",0
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",6
"63","2014/04/01 22:38",0
"64","2014/04/01 22:43",0
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",6
"67","2014/04/01 22:58",14
"68","2014/04/01 23:03",17
"69","2014/04/01 23:08",12
"70","2014/04/01 23:13",52
"71","2014/04/01 23:18",33
"72","2014/04/01 23:23",18
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",0
"75","2014/04/01 23:38",0
"76","2014/04/01 23:43",20
"77","2014/04/01 23:48",15
"78","2014/04/01 23:53",0
"79","2014/04/01 23:58",13
"80","2014/04/02 00:03",8
"81","2014/04/02 00:08",0
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",5
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",2
"87","2014/04/02 00:38",3
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",4
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",2
"93","2014/04/02 01:08",0
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",10
"96","2014/04/02 01:23",0
