LDEV_BackTrans_X731-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:11 X"
"1","2014/04/01 17:28",2
"2","2014/04/01 17:33",0
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",0
"5","2014/04/01 17:48",0
"6","2014/04/01 17:53",0
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",0
"9","2014/04/01 18:08",0
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",0
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",2
"14","2014/04/01 18:33",2
"15","2014/04/01 18:38",2
"16","2014/04/01 18:43",1
"17","2014/04/01 18:48",0
"18","2014/04/01 18:53",1
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",0
"21","2014/04/01 19:08",2
"22","2014/04/01 19:13",2
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",2
"26","2014/04/01 19:33",2
"27","2014/04/01 19:38",2
"28","2014/04/01 19:43",15
"29","2014/04/01 19:48",9
"30","2014/04/01 19:53",8
"31","2014/04/01 19:58",4
"32","2014/04/01 20:03",2
"33","2014/04/01 20:08",3
"34","2014/04/01 20:13",2
"35","2014/04/01 20:18",1
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",2
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",1
"40","2014/04/01 20:43",1
"41","2014/04/01 20:48",1
"42","2014/04/01 20:53",0
"43","2014/04/01 20:58",3
"44","2014/04/01 21:03",2
"45","2014/04/01 21:08",3
"46","2014/04/01 21:13",2
"47","2014/04/01 21:18",4
"48","2014/04/01 21:23",3
"49","2014/04/01 21:28",3
"50","2014/04/01 21:33",2
"51","2014/04/01 21:38",3
"52","2014/04/01 21:43",2
"53","2014/04/01 21:48",2
"54","2014/04/01 21:53",2
"55","2014/04/01 21:58",4
"56","2014/04/01 22:03",6
"57","2014/04/01 22:08",6
"58","2014/04/01 22:13",3
"59","2014/04/01 22:18",5
"60","2014/04/01 22:23",6
"61","2014/04/01 22:28",4
"62","2014/04/01 22:33",6
"63","2014/04/01 22:38",6
"64","2014/04/01 22:43",6
"65","2014/04/01 22:48",5
"66","2014/04/01 22:53",5
"67","2014/04/01 22:58",5
"68","2014/04/01 23:03",4
"69","2014/04/01 23:08",7
"70","2014/04/01 23:13",5
"71","2014/04/01 23:18",8
"72","2014/04/01 23:23",5
"73","2014/04/01 23:28",3
"74","2014/04/01 23:33",4
"75","2014/04/01 23:38",4
"76","2014/04/01 23:43",5
"77","2014/04/01 23:48",6
"78","2014/04/01 23:53",5
"79","2014/04/01 23:58",4
"80","2014/04/02 00:03",4
"81","2014/04/02 00:08",5
"82","2014/04/02 00:13",5
"83","2014/04/02 00:18",4
"84","2014/04/02 00:23",4
"85","2014/04/02 00:28",4
"86","2014/04/02 00:33",5
"87","2014/04/02 00:38",4
"88","2014/04/02 00:43",4
"89","2014/04/02 00:48",4
"90","2014/04/02 00:53",5
"91","2014/04/02 00:58",3
"92","2014/04/02 01:03",4
"93","2014/04/02 01:08",5
"94","2014/04/02 01:13",6
"95","2014/04/02 01:18",4
"96","2014/04/02 01:23",2
