LDEV_C2D_Trans_X163-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:0D X"
"1","2014/04/01 17:28",3
"2","2014/04/01 17:33",1
"3","2014/04/01 17:38",1
"4","2014/04/01 17:43",2
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",1
"7","2014/04/01 17:58",1
"8","2014/04/01 18:03",4
"9","2014/04/01 18:08",3
"10","2014/04/01 18:13",2
"11","2014/04/01 18:18",2
"12","2014/04/01 18:23",2
"13","2014/04/01 18:28",1
"14","2014/04/01 18:33",1
"15","2014/04/01 18:38",3
"16","2014/04/01 18:43",2
"17","2014/04/01 18:48",3
"18","2014/04/01 18:53",4
"19","2014/04/01 18:58",4
"20","2014/04/01 19:03",7
"21","2014/04/01 19:08",4
"22","2014/04/01 19:13",4
"23","2014/04/01 19:18",4
"24","2014/04/01 19:23",3
"25","2014/04/01 19:28",3
"26","2014/04/01 19:33",1
"27","2014/04/01 19:38",2
"28","2014/04/01 19:43",4
"29","2014/04/01 19:48",2
"30","2014/04/01 19:53",2
"31","2014/04/01 19:58",3
"32","2014/04/01 20:03",6
"33","2014/04/01 20:08",3
"34","2014/04/01 20:13",3
"35","2014/04/01 20:18",4
"36","2014/04/01 20:23",4
"37","2014/04/01 20:28",4
"38","2014/04/01 20:33",4
"39","2014/04/01 20:38",4
"40","2014/04/01 20:43",4
"41","2014/04/01 20:48",4
"42","2014/04/01 20:53",4
"43","2014/04/01 20:58",4
"44","2014/04/01 21:03",6
"45","2014/04/01 21:08",4
"46","2014/04/01 21:13",4
"47","2014/04/01 21:18",3
"48","2014/04/01 21:23",4
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",4
"51","2014/04/01 21:38",3
"52","2014/04/01 21:43",4
"53","2014/04/01 21:48",3
"54","2014/04/01 21:53",4
"55","2014/04/01 21:58",4
"56","2014/04/01 22:03",6
"57","2014/04/01 22:08",4
"58","2014/04/01 22:13",4
"59","2014/04/01 22:18",4
"60","2014/04/01 22:23",4
"61","2014/04/01 22:28",4
"62","2014/04/01 22:33",4
"63","2014/04/01 22:38",4
"64","2014/04/01 22:43",4
"65","2014/04/01 22:48",4
"66","2014/04/01 22:53",4
"67","2014/04/01 22:58",4
"68","2014/04/01 23:03",6
"69","2014/04/01 23:08",4
"70","2014/04/01 23:13",3
"71","2014/04/01 23:18",4
"72","2014/04/01 23:23",4
"73","2014/04/01 23:28",4
"74","2014/04/01 23:33",4
"75","2014/04/01 23:38",4
"76","2014/04/01 23:43",4
"77","2014/04/01 23:48",3
"78","2014/04/01 23:53",3
"79","2014/04/01 23:58",2
"80","2014/04/02 00:03",6
"81","2014/04/02 00:08",4
"82","2014/04/02 00:13",3
"83","2014/04/02 00:18",4
"84","2014/04/02 00:23",4
"85","2014/04/02 00:28",4
"86","2014/04/02 00:33",4
"87","2014/04/02 00:38",4
"88","2014/04/02 00:43",4
"89","2014/04/02 00:48",4
"90","2014/04/02 00:53",4
"91","2014/04/02 00:58",4
"92","2014/04/02 01:03",6
"93","2014/04/02 01:08",4
"94","2014/04/02 01:13",4
"95","2014/04/02 01:18",4
"96","2014/04/02 01:23",4
