LDEV_D2CR_Trans_X486-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:69 X"
"1","2014/04/01 17:28",28
"2","2014/04/01 17:33",28
"3","2014/04/01 17:38",18
"4","2014/04/01 17:43",24
"5","2014/04/01 17:48",34
"6","2014/04/01 17:53",16
"7","2014/04/01 17:58",15
"8","2014/04/01 18:03",35
"9","2014/04/01 18:08",45
"10","2014/04/01 18:13",29
"11","2014/04/01 18:18",21
"12","2014/04/01 18:23",36
"13","2014/04/01 18:28",41
"14","2014/04/01 18:33",35
"15","2014/04/01 18:38",30
"16","2014/04/01 18:43",38
"17","2014/04/01 18:48",61
"18","2014/04/01 18:53",17
"19","2014/04/01 18:58",19
"20","2014/04/01 19:03",36
"21","2014/04/01 19:08",31
"22","2014/04/01 19:13",31
"23","2014/04/01 19:18",32
"24","2014/04/01 19:23",43
"25","2014/04/01 19:28",60
"26","2014/04/01 19:33",45
"27","2014/04/01 19:38",41
"28","2014/04/01 19:43",42
"29","2014/04/01 19:48",70
"30","2014/04/01 19:53",32
"31","2014/04/01 19:58",24
"32","2014/04/01 20:03",79
"33","2014/04/01 20:08",43
"34","2014/04/01 20:13",24
"35","2014/04/01 20:18",18
"36","2014/04/01 20:23",19
"37","2014/04/01 20:28",23
"38","2014/04/01 20:33",25
"39","2014/04/01 20:38",12
"40","2014/04/01 20:43",21
"41","2014/04/01 20:48",32
"42","2014/04/01 20:53",6
"43","2014/04/01 20:58",12
"44","2014/04/01 21:03",24
"45","2014/04/01 21:08",20
"46","2014/04/01 21:13",20
"47","2014/04/01 21:18",10
"48","2014/04/01 21:23",14
"49","2014/04/01 21:28",19
"50","2014/04/01 21:33",24
"51","2014/04/01 21:38",15
"52","2014/04/01 21:43",25
"53","2014/04/01 21:48",28
"54","2014/04/01 21:53",8
"55","2014/04/01 21:58",7
"56","2014/04/01 22:03",23
"57","2014/04/01 22:08",10
"58","2014/04/01 22:13",17
"59","2014/04/01 22:18",11
"60","2014/04/01 22:23",10
"61","2014/04/01 22:28",17
"62","2014/04/01 22:33",15
"63","2014/04/01 22:38",5
"64","2014/04/01 22:43",16
"65","2014/04/01 22:48",26
"66","2014/04/01 22:53",3
"67","2014/04/01 22:58",8
"68","2014/04/01 23:03",20
"69","2014/04/01 23:08",19
"70","2014/04/01 23:13",31
"71","2014/04/01 23:18",17
"72","2014/04/01 23:23",33
"73","2014/04/01 23:28",19
"74","2014/04/01 23:33",63
"75","2014/04/01 23:38",31
"76","2014/04/01 23:43",41
"77","2014/04/01 23:48",71
"78","2014/04/01 23:53",54
"79","2014/04/01 23:58",36
"80","2014/04/02 00:03",53
"81","2014/04/02 00:08",63
"82","2014/04/02 00:13",55
"83","2014/04/02 00:18",61
"84","2014/04/02 00:23",53
"85","2014/04/02 00:28",74
"86","2014/04/02 00:33",60
"87","2014/04/02 00:38",38
"88","2014/04/02 00:43",52
"89","2014/04/02 00:48",70
"90","2014/04/02 00:53",37
"91","2014/04/02 00:58",41
"92","2014/04/02 01:03",50
"93","2014/04/02 01:08",48
"94","2014/04/02 01:13",47
"95","2014/04/02 01:18",22
"96","2014/04/02 01:23",17
