LDEV_D2CS_Trans_X847-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:1E X"
"1","2014/04/01 17:28",11
"2","2014/04/01 17:33",16
"3","2014/04/01 17:38",13
"4","2014/04/01 17:43",11
"5","2014/04/01 17:48",12
"6","2014/04/01 17:53",12
"7","2014/04/01 17:58",11
"8","2014/04/01 18:03",15
"9","2014/04/01 18:08",20
"10","2014/04/01 18:13",10
"11","2014/04/01 18:18",10
"12","2014/04/01 18:23",14
"13","2014/04/01 18:28",16
"14","2014/04/01 18:33",11
"15","2014/04/01 18:38",14
"16","2014/04/01 18:43",21
"17","2014/04/01 18:48",11
"18","2014/04/01 18:53",18
"19","2014/04/01 18:58",11
"20","2014/04/01 19:03",17
"21","2014/04/01 19:08",11
"22","2014/04/01 19:13",11
"23","2014/04/01 19:18",8
"24","2014/04/01 19:23",12
"25","2014/04/01 19:28",13
"26","2014/04/01 19:33",21
"27","2014/04/01 19:38",7
"28","2014/04/01 19:43",16
"29","2014/04/01 19:48",13
"30","2014/04/01 19:53",9
"31","2014/04/01 19:58",16
"32","2014/04/01 20:03",21
"33","2014/04/01 20:08",10
"34","2014/04/01 20:13",25
"35","2014/04/01 20:18",12
"36","2014/04/01 20:23",18
"37","2014/04/01 20:28",15
"38","2014/04/01 20:33",14
"39","2014/04/01 20:38",11
"40","2014/04/01 20:43",12
"41","2014/04/01 20:48",12
"42","2014/04/01 20:53",15
"43","2014/04/01 20:58",13
"44","2014/04/01 21:03",9
"45","2014/04/01 21:08",11
"46","2014/04/01 21:13",7
"47","2014/04/01 21:18",9
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",8
"50","2014/04/01 21:33",8
"51","2014/04/01 21:38",6
"52","2014/04/01 21:43",6
"53","2014/04/01 21:48",11
"54","2014/04/01 21:53",9
"55","2014/04/01 21:58",2
"56","2014/04/01 22:03",3
"57","2014/04/01 22:08",1
"58","2014/04/01 22:13",1
"59","2014/04/01 22:18",1
"60","2014/04/01 22:23",1
"61","2014/04/01 22:28",1
"62","2014/04/01 22:33",2
"63","2014/04/01 22:38",1
"64","2014/04/01 22:43",0
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",6
"67","2014/04/01 22:58",1
"68","2014/04/01 23:03",3
"69","2014/04/01 23:08",5
"70","2014/04/01 23:13",1
"71","2014/04/01 23:18",1
"72","2014/04/01 23:23",1
"73","2014/04/01 23:28",1
"74","2014/04/01 23:33",3
"75","2014/04/01 23:38",6
"76","2014/04/01 23:43",2
"77","2014/04/01 23:48",2
"78","2014/04/01 23:53",2
"79","2014/04/01 23:58",1
"80","2014/04/02 00:03",3
"81","2014/04/02 00:08",4
"82","2014/04/02 00:13",1
"83","2014/04/02 00:18",1
"84","2014/04/02 00:23",3
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",1
"87","2014/04/02 00:38",0
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",0
"90","2014/04/02 00:53",3
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",1
"93","2014/04/02 01:08",1
"94","2014/04/02 01:13",1
"95","2014/04/02 01:18",3
"96","2014/04/02 01:23",1
