LDEV_IOPS_1-11.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:D3","00:00:D4","00:00:D5","00:20:15"
"1","2014/04/01 17:28",0,0,0,1
"2","2014/04/01 17:33",0,0,0,1
"3","2014/04/01 17:38",0,0,0,1
"4","2014/04/01 17:43",0,0,0,2
"5","2014/04/01 17:48",0,0,0,1
"6","2014/04/01 17:53",0,0,0,1
"7","2014/04/01 17:58",0,0,0,1
"8","2014/04/01 18:03",0,0,0,1
"9","2014/04/01 18:08",0,0,0,1
"10","2014/04/01 18:13",0,0,0,1
"11","2014/04/01 18:18",0,0,0,1
"12","2014/04/01 18:23",0,0,0,1
"13","2014/04/01 18:28",0,0,0,1
"14","2014/04/01 18:33",0,0,0,1
"15","2014/04/01 18:38",0,0,0,1
"16","2014/04/01 18:43",0,0,0,2
"17","2014/04/01 18:48",0,0,0,1
"18","2014/04/01 18:53",0,0,0,1
"19","2014/04/01 18:58",0,0,0,1
"20","2014/04/01 19:03",0,0,0,1
"21","2014/04/01 19:08",0,0,0,1
"22","2014/04/01 19:13",0,0,0,1
"23","2014/04/01 19:18",0,0,0,1
"24","2014/04/01 19:23",0,0,0,1
"25","2014/04/01 19:28",0,0,0,1
"26","2014/04/01 19:33",0,0,0,1
"27","2014/04/01 19:38",0,0,0,1
"28","2014/04/01 19:43",0,0,0,1
"29","2014/04/01 19:48",0,0,0,1
"30","2014/04/01 19:53",0,0,0,1
"31","2014/04/01 19:58",0,0,0,1
"32","2014/04/01 20:03",0,0,0,1
"33","2014/04/01 20:08",0,0,0,1
"34","2014/04/01 20:13",0,0,0,1
"35","2014/04/01 20:18",0,0,0,1
"36","2014/04/01 20:23",0,0,0,2
"37","2014/04/01 20:28",0,0,0,1
"38","2014/04/01 20:33",0,0,0,1
"39","2014/04/01 20:38",0,0,0,1
"40","2014/04/01 20:43",0,0,0,2
"41","2014/04/01 20:48",0,0,0,1
"42","2014/04/01 20:53",0,0,0,1
"43","2014/04/01 20:58",0,0,0,1
"44","2014/04/01 21:03",0,0,0,1
"45","2014/04/01 21:08",0,0,0,1
"46","2014/04/01 21:13",0,0,0,1
"47","2014/04/01 21:18",0,0,0,2
"48","2014/04/01 21:23",0,0,0,1
"49","2014/04/01 21:28",0,0,0,1
"50","2014/04/01 21:33",0,0,0,1
"51","2014/04/01 21:38",0,0,0,1
"52","2014/04/01 21:43",0,0,0,1
"53","2014/04/01 21:48",0,0,0,1
"54","2014/04/01 21:53",0,0,0,1
"55","2014/04/01 21:58",0,0,0,2
"56","2014/04/01 22:03",0,0,0,1
"57","2014/04/01 22:08",0,0,0,1
"58","2014/04/01 22:13",0,0,0,1
"59","2014/04/01 22:18",0,0,0,1
"60","2014/04/01 22:23",0,0,0,1
"61","2014/04/01 22:28",0,0,0,2
"62","2014/04/01 22:33",0,0,0,2
"63","2014/04/01 22:38",0,0,0,1
"64","2014/04/01 22:43",0,0,0,1
"65","2014/04/01 22:48",0,0,0,1
"66","2014/04/01 22:53",0,0,0,2
"67","2014/04/01 22:58",0,0,0,1
"68","2014/04/01 23:03",0,0,0,1
"69","2014/04/01 23:08",0,0,0,1
"70","2014/04/01 23:13",0,0,0,1
"71","2014/04/01 23:18",0,0,0,1
"72","2014/04/01 23:23",0,0,0,2
"73","2014/04/01 23:28",0,0,0,1
"74","2014/04/01 23:33",0,0,0,1
"75","2014/04/01 23:38",0,0,0,1
"76","2014/04/01 23:43",0,0,0,1
"77","2014/04/01 23:48",0,0,0,2
"78","2014/04/01 23:53",0,0,0,1
"79","2014/04/01 23:58",0,0,0,2
"80","2014/04/02 00:03",0,0,0,2
"81","2014/04/02 00:08",0,0,0,2
"82","2014/04/02 00:13",0,0,0,2
"83","2014/04/02 00:18",0,0,0,1
"84","2014/04/02 00:23",0,0,0,2
"85","2014/04/02 00:28",0,0,0,1
"86","2014/04/02 00:33",0,0,0,2
"87","2014/04/02 00:38",0,0,0,1
"88","2014/04/02 00:43",0,0,0,2
"89","2014/04/02 00:48",0,0,0,1
"90","2014/04/02 00:53",0,0,0,1
"91","2014/04/02 00:58",0,0,0,2
"92","2014/04/02 01:03",0,0,0,1
"93","2014/04/02 01:08",0,0,0,2
"94","2014/04/02 01:13",0,0,0,1
"95","2014/04/02 01:18",0,0,0,1
"96","2014/04/02 01:23",0,0,0,1
