LDEV_IOPS_X1024-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:04 X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",0
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",1
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",1
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",0
"9","2014/04/01 18:08",1
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",2
"15","2014/04/01 18:38",1
"16","2014/04/01 18:43",1
"17","2014/04/01 18:48",1
"18","2014/04/01 18:53",1
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",0
"21","2014/04/01 19:08",1
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",1
"26","2014/04/01 19:33",0
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",0
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",0
"33","2014/04/01 20:08",1
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",1
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",1
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",1
"41","2014/04/01 20:48",0
"42","2014/04/01 20:53",2
"43","2014/04/01 20:58",4
"44","2014/04/01 21:03",0
"45","2014/04/01 21:08",1
"46","2014/04/01 21:13",1
"47","2014/04/01 21:18",3
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",1
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",1
"53","2014/04/01 21:48",1
"54","2014/04/01 21:53",1
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",15
"57","2014/04/01 22:08",19
"58","2014/04/01 22:13",26
"59","2014/04/01 22:18",18
"60","2014/04/01 22:23",25
"61","2014/04/01 22:28",17
"62","2014/04/01 22:33",29
"63","2014/04/01 22:38",20
"64","2014/04/01 22:43",32
"65","2014/04/01 22:48",52
"66","2014/04/01 22:53",66
"67","2014/04/01 22:58",57
"68","2014/04/01 23:03",46
"69","2014/04/01 23:08",44
"70","2014/04/01 23:13",44
"71","2014/04/01 23:18",44
"72","2014/04/01 23:23",55
"73","2014/04/01 23:28",57
"74","2014/04/01 23:33",40
"75","2014/04/01 23:38",49
"76","2014/04/01 23:43",36
"77","2014/04/01 23:48",40
"78","2014/04/01 23:53",41
"79","2014/04/01 23:58",37
"80","2014/04/02 00:03",23
"81","2014/04/02 00:08",14
"82","2014/04/02 00:13",20
"83","2014/04/02 00:18",11
"84","2014/04/02 00:23",17
"85","2014/04/02 00:28",12
"86","2014/04/02 00:33",6
"87","2014/04/02 00:38",2
"88","2014/04/02 00:43",3
"89","2014/04/02 00:48",9
"90","2014/04/02 00:53",11
"91","2014/04/02 00:58",12
"92","2014/04/02 01:03",13
"93","2014/04/02 01:08",6
"94","2014/04/02 01:13",6
"95","2014/04/02 01:18",8
"96","2014/04/02 01:23",3
