LDEV_IOPS_X293-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:1A X"
"1","2014/04/01 17:28",10
"2","2014/04/01 17:33",11
"3","2014/04/01 17:38",10
"4","2014/04/01 17:43",17
"5","2014/04/01 17:48",13
"6","2014/04/01 17:53",14
"7","2014/04/01 17:58",14
"8","2014/04/01 18:03",30
"9","2014/04/01 18:08",12
"10","2014/04/01 18:13",10
"11","2014/04/01 18:18",12
"12","2014/04/01 18:23",14
"13","2014/04/01 18:28",10
"14","2014/04/01 18:33",10
"15","2014/04/01 18:38",10
"16","2014/04/01 18:43",18
"17","2014/04/01 18:48",12
"18","2014/04/01 18:53",13
"19","2014/04/01 18:58",11
"20","2014/04/01 19:03",31
"21","2014/04/01 19:08",11
"22","2014/04/01 19:13",11
"23","2014/04/01 19:18",22
"24","2014/04/01 19:23",13
"25","2014/04/01 19:28",14
"26","2014/04/01 19:33",14
"27","2014/04/01 19:38",12
"28","2014/04/01 19:43",13
"29","2014/04/01 19:48",18
"30","2014/04/01 19:53",20
"31","2014/04/01 19:58",13
"32","2014/04/01 20:03",35
"33","2014/04/01 20:08",17
"34","2014/04/01 20:13",12
"35","2014/04/01 20:18",14
"36","2014/04/01 20:23",15
"37","2014/04/01 20:28",12
"38","2014/04/01 20:33",16
"39","2014/04/01 20:38",12
"40","2014/04/01 20:43",10
"41","2014/04/01 20:48",16
"42","2014/04/01 20:53",16
"43","2014/04/01 20:58",22
"44","2014/04/01 21:03",31
"45","2014/04/01 21:08",13
"46","2014/04/01 21:13",11
"47","2014/04/01 21:18",15
"48","2014/04/01 21:23",17
"49","2014/04/01 21:28",10
"50","2014/04/01 21:33",12
"51","2014/04/01 21:38",11
"52","2014/04/01 21:43",22
"53","2014/04/01 21:48",13
"54","2014/04/01 21:53",13
"55","2014/04/01 21:58",15
"56","2014/04/01 22:03",41
"57","2014/04/01 22:08",31
"58","2014/04/01 22:13",42
"59","2014/04/01 22:18",32
"60","2014/04/01 22:23",40
"61","2014/04/01 22:28",29
"62","2014/04/01 22:33",39
"63","2014/04/01 22:38",34
"64","2014/04/01 22:43",55
"65","2014/04/01 22:48",71
"66","2014/04/01 22:53",73
"67","2014/04/01 22:58",75
"68","2014/04/01 23:03",75
"69","2014/04/01 23:08",66
"70","2014/04/01 23:13",64
"71","2014/04/01 23:18",70
"72","2014/04/01 23:23",71
"73","2014/04/01 23:28",71
"74","2014/04/01 23:33",62
"75","2014/04/01 23:38",63
"76","2014/04/01 23:43",48
"77","2014/04/01 23:48",53
"78","2014/04/01 23:53",59
"79","2014/04/01 23:58",50
"80","2014/04/02 00:03",57
"81","2014/04/02 00:08",34
"82","2014/04/02 00:13",29
"83","2014/04/02 00:18",26
"84","2014/04/02 00:23",32
"85","2014/04/02 00:28",26
"86","2014/04/02 00:33",20
"87","2014/04/02 00:38",14
"88","2014/04/02 00:43",16
"89","2014/04/02 00:48",18
"90","2014/04/02 00:53",20
"91","2014/04/02 00:58",20
"92","2014/04/02 01:03",46
"93","2014/04/02 01:08",19
"94","2014/04/02 01:13",18
"95","2014/04/02 01:18",18
"96","2014/04/02 01:23",17
