LDEV_IOPS_X296-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:1D X"
"1","2014/04/01 17:28",7
"2","2014/04/01 17:33",11
"3","2014/04/01 17:38",7
"4","2014/04/01 17:43",20
"5","2014/04/01 17:48",17
"6","2014/04/01 17:53",14
"7","2014/04/01 17:58",7
"8","2014/04/01 18:03",10
"9","2014/04/01 18:08",7
"10","2014/04/01 18:13",8
"11","2014/04/01 18:18",9
"12","2014/04/01 18:23",8
"13","2014/04/01 18:28",7
"14","2014/04/01 18:33",11
"15","2014/04/01 18:38",7
"16","2014/04/01 18:43",11
"17","2014/04/01 18:48",11
"18","2014/04/01 18:53",9
"19","2014/04/01 18:58",8
"20","2014/04/01 19:03",9
"21","2014/04/01 19:08",7
"22","2014/04/01 19:13",7
"23","2014/04/01 19:18",13
"24","2014/04/01 19:23",8
"25","2014/04/01 19:28",7
"26","2014/04/01 19:33",13
"27","2014/04/01 19:38",7
"28","2014/04/01 19:43",8
"29","2014/04/01 19:48",10
"30","2014/04/01 19:53",8
"31","2014/04/01 19:58",7
"32","2014/04/01 20:03",10
"33","2014/04/01 20:08",7
"34","2014/04/01 20:13",7
"35","2014/04/01 20:18",9
"36","2014/04/01 20:23",10
"37","2014/04/01 20:28",7
"38","2014/04/01 20:33",9
"39","2014/04/01 20:38",7
"40","2014/04/01 20:43",7
"41","2014/04/01 20:48",11
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",9
"45","2014/04/01 21:08",7
"46","2014/04/01 21:13",7
"47","2014/04/01 21:18",10
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",7
"50","2014/04/01 21:33",11
"51","2014/04/01 21:38",7
"52","2014/04/01 21:43",20
"53","2014/04/01 21:48",15
"54","2014/04/01 21:53",12
"55","2014/04/01 21:58",8
"56","2014/04/01 22:03",10
"57","2014/04/01 22:08",13
"58","2014/04/01 22:13",14
"59","2014/04/01 22:18",11
"60","2014/04/01 22:23",9
"61","2014/04/01 22:28",13
"62","2014/04/01 22:33",24
"63","2014/04/01 22:38",18
"64","2014/04/01 22:43",24
"65","2014/04/01 22:48",28
"66","2014/04/01 22:53",29
"67","2014/04/01 22:58",32
"68","2014/04/01 23:03",27
"69","2014/04/01 23:08",25
"70","2014/04/01 23:13",21
"71","2014/04/01 23:18",31
"72","2014/04/01 23:23",30
"73","2014/04/01 23:28",27
"74","2014/04/01 23:33",28
"75","2014/04/01 23:38",26
"76","2014/04/01 23:43",24
"77","2014/04/01 23:48",26
"78","2014/04/01 23:53",27
"79","2014/04/01 23:58",19
"80","2014/04/02 00:03",22
"81","2014/04/02 00:08",13
"82","2014/04/02 00:13",14
"83","2014/04/02 00:18",15
"84","2014/04/02 00:23",17
"85","2014/04/02 00:28",15
"86","2014/04/02 00:33",16
"87","2014/04/02 00:38",8
"88","2014/04/02 00:43",9
"89","2014/04/02 00:48",15
"90","2014/04/02 00:53",12
"91","2014/04/02 00:58",13
"92","2014/04/02 01:03",16
"93","2014/04/02 01:08",12
"94","2014/04/02 01:13",11
"95","2014/04/02 01:18",9
"96","2014/04/02 01:23",15
