LDEV_IOPS_X576-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:03 X"
"1","2014/04/01 17:28",11
"2","2014/04/01 17:33",10
"3","2014/04/01 17:38",9
"4","2014/04/01 17:43",9
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",8
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",12
"9","2014/04/01 18:08",5
"10","2014/04/01 18:13",9
"11","2014/04/01 18:18",5
"12","2014/04/01 18:23",12
"13","2014/04/01 18:28",6
"14","2014/04/01 18:33",9
"15","2014/04/01 18:38",9
"16","2014/04/01 18:43",12
"17","2014/04/01 18:48",7
"18","2014/04/01 18:53",10
"19","2014/04/01 18:58",6
"20","2014/04/01 19:03",9
"21","2014/04/01 19:08",10
"22","2014/04/01 19:13",14
"23","2014/04/01 19:18",13
"24","2014/04/01 19:23",10
"25","2014/04/01 19:28",10
"26","2014/04/01 19:33",10
"27","2014/04/01 19:38",12
"28","2014/04/01 19:43",14
"29","2014/04/01 19:48",9
"30","2014/04/01 19:53",8
"31","2014/04/01 19:58",10
"32","2014/04/01 20:03",15
"33","2014/04/01 20:08",11
"34","2014/04/01 20:13",12
"35","2014/04/01 20:18",11
"36","2014/04/01 20:23",11
"37","2014/04/01 20:28",11
"38","2014/04/01 20:33",10
"39","2014/04/01 20:38",11
"40","2014/04/01 20:43",14
"41","2014/04/01 20:48",10
"42","2014/04/01 20:53",10
"43","2014/04/01 20:58",12
"44","2014/04/01 21:03",10
"45","2014/04/01 21:08",7
"46","2014/04/01 21:13",8
"47","2014/04/01 21:18",7
"48","2014/04/01 21:23",8
"49","2014/04/01 21:28",8
"50","2014/04/01 21:33",7
"51","2014/04/01 21:38",8
"52","2014/04/01 21:43",10
"53","2014/04/01 21:48",5
"54","2014/04/01 21:53",10
"55","2014/04/01 21:58",9
"56","2014/04/01 22:03",18
"57","2014/04/01 22:08",13
"58","2014/04/01 22:13",9
"59","2014/04/01 22:18",17
"60","2014/04/01 22:23",25
"61","2014/04/01 22:28",22
"62","2014/04/01 22:33",20
"63","2014/04/01 22:38",15
"64","2014/04/01 22:43",27
"65","2014/04/01 22:48",24
"66","2014/04/01 22:53",16
"67","2014/04/01 22:58",15
"68","2014/04/01 23:03",17
"69","2014/04/01 23:08",21
"70","2014/04/01 23:13",23
"71","2014/04/01 23:18",20
"72","2014/04/01 23:23",25
"73","2014/04/01 23:28",28
"74","2014/04/01 23:33",19
"75","2014/04/01 23:38",27
"76","2014/04/01 23:43",33
"77","2014/04/01 23:48",25
"78","2014/04/01 23:53",24
"79","2014/04/01 23:58",18
"80","2014/04/02 00:03",22
"81","2014/04/02 00:08",34
"82","2014/04/02 00:13",31
"83","2014/04/02 00:18",30
"84","2014/04/02 00:23",27
"85","2014/04/02 00:28",33
"86","2014/04/02 00:33",30
"87","2014/04/02 00:38",23
"88","2014/04/02 00:43",23
"89","2014/04/02 00:48",26
"90","2014/04/02 00:53",24
"91","2014/04/02 00:58",22
"92","2014/04/02 01:03",23
"93","2014/04/02 01:08",12
"94","2014/04/02 01:13",18
"95","2014/04/02 01:18",19
"96","2014/04/02 01:23",14
