LDEV_IOPS_X67-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:FF X"
"1","2014/04/01 17:28",5
"2","2014/04/01 17:33",11
"3","2014/04/01 17:38",13
"4","2014/04/01 17:43",5
"5","2014/04/01 17:48",8
"6","2014/04/01 17:53",8
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",9
"9","2014/04/01 18:08",10
"10","2014/04/01 18:13",4
"11","2014/04/01 18:18",9
"12","2014/04/01 18:23",8
"13","2014/04/01 18:28",4
"14","2014/04/01 18:33",6
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",3
"17","2014/04/01 18:48",8
"18","2014/04/01 18:53",3
"19","2014/04/01 18:58",8
"20","2014/04/01 19:03",10
"21","2014/04/01 19:08",8
"22","2014/04/01 19:13",4
"23","2014/04/01 19:18",8
"24","2014/04/01 19:23",4
"25","2014/04/01 19:28",7
"26","2014/04/01 19:33",7
"27","2014/04/01 19:38",4
"28","2014/04/01 19:43",9
"29","2014/04/01 19:48",11
"30","2014/04/01 19:53",5
"31","2014/04/01 19:58",9
"32","2014/04/01 20:03",10
"33","2014/04/01 20:08",5
"34","2014/04/01 20:13",9
"35","2014/04/01 20:18",9
"36","2014/04/01 20:23",4
"37","2014/04/01 20:28",8
"38","2014/04/01 20:33",3
"39","2014/04/01 20:38",7
"40","2014/04/01 20:43",9
"41","2014/04/01 20:48",3
"42","2014/04/01 20:53",9
"43","2014/04/01 20:58",8
"44","2014/04/01 21:03",7
"45","2014/04/01 21:08",8
"46","2014/04/01 21:13",8
"47","2014/04/01 21:18",4
"48","2014/04/01 21:23",6
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",10
"51","2014/04/01 21:38",7
"52","2014/04/01 21:43",4
"53","2014/04/01 21:48",8
"54","2014/04/01 21:53",7
"55","2014/04/01 21:58",3
"56","2014/04/01 22:03",7
"57","2014/04/01 22:08",7
"58","2014/04/01 22:13",1
"59","2014/04/01 22:18",9
"60","2014/04/01 22:23",5
"61","2014/04/01 22:28",2
"62","2014/04/01 22:33",7
"63","2014/04/01 22:38",2
"64","2014/04/01 22:43",6
"65","2014/04/01 22:48",5
"66","2014/04/01 22:53",2
"67","2014/04/01 22:58",7
"68","2014/04/01 23:03",8
"69","2014/04/01 23:08",10
"70","2014/04/01 23:13",40
"71","2014/04/01 23:18",7
"72","2014/04/01 23:23",15
"73","2014/04/01 23:28",18
"74","2014/04/01 23:33",7
"75","2014/04/01 23:38",8
"76","2014/04/01 23:43",2
"77","2014/04/01 23:48",8
"78","2014/04/01 23:53",7
"79","2014/04/01 23:58",2
"80","2014/04/02 00:03",7
"81","2014/04/02 00:08",5
"82","2014/04/02 00:13",2
"83","2014/04/02 00:18",6
"84","2014/04/02 00:23",2
"85","2014/04/02 00:28",5
"86","2014/04/02 00:33",6
"87","2014/04/02 00:38",2
"88","2014/04/02 00:43",4
"89","2014/04/02 00:48",2
"90","2014/04/02 00:53",5
"91","2014/04/02 00:58",1
"92","2014/04/02 01:03",8
"93","2014/04/02 01:08",5
"94","2014/04/02 01:13",2
"95","2014/04/02 01:18",5
"96","2014/04/02 01:23",7
