LDEV_IOPS_X676-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:6A X"
"1","2014/04/01 17:28",7
"2","2014/04/01 17:33",6
"3","2014/04/01 17:38",5
"4","2014/04/01 17:43",6
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",5
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",9
"9","2014/04/01 18:08",3
"10","2014/04/01 18:13",6
"11","2014/04/01 18:18",4
"12","2014/04/01 18:23",7
"13","2014/04/01 18:28",4
"14","2014/04/01 18:33",6
"15","2014/04/01 18:38",5
"16","2014/04/01 18:43",7
"17","2014/04/01 18:48",4
"18","2014/04/01 18:53",5
"19","2014/04/01 18:58",3
"20","2014/04/01 19:03",5
"21","2014/04/01 19:08",7
"22","2014/04/01 19:13",7
"23","2014/04/01 19:18",7
"24","2014/04/01 19:23",6
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",8
"27","2014/04/01 19:38",7
"28","2014/04/01 19:43",12
"29","2014/04/01 19:48",7
"30","2014/04/01 19:53",5
"31","2014/04/01 19:58",6
"32","2014/04/01 20:03",10
"33","2014/04/01 20:08",9
"34","2014/04/01 20:13",7
"35","2014/04/01 20:18",8
"36","2014/04/01 20:23",6
"37","2014/04/01 20:28",6
"38","2014/04/01 20:33",7
"39","2014/04/01 20:38",6
"40","2014/04/01 20:43",7
"41","2014/04/01 20:48",6
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",7
"45","2014/04/01 21:08",6
"46","2014/04/01 21:13",6
"47","2014/04/01 21:18",8
"48","2014/04/01 21:23",6
"49","2014/04/01 21:28",6
"50","2014/04/01 21:33",6
"51","2014/04/01 21:38",5
"52","2014/04/01 21:43",6
"53","2014/04/01 21:48",3
"54","2014/04/01 21:53",6
"55","2014/04/01 21:58",5
"56","2014/04/01 22:03",13
"57","2014/04/01 22:08",11
"58","2014/04/01 22:13",9
"59","2014/04/01 22:18",12
"60","2014/04/01 22:23",20
"61","2014/04/01 22:28",16
"62","2014/04/01 22:33",14
"63","2014/04/01 22:38",18
"64","2014/04/01 22:43",22
"65","2014/04/01 22:48",15
"66","2014/04/01 22:53",12
"67","2014/04/01 22:58",16
"68","2014/04/01 23:03",20
"69","2014/04/01 23:08",19
"70","2014/04/01 23:13",19
"71","2014/04/01 23:18",21
"72","2014/04/01 23:23",25
"73","2014/04/01 23:28",22
"74","2014/04/01 23:33",23
"75","2014/04/01 23:38",24
"76","2014/04/01 23:43",24
"77","2014/04/01 23:48",24
"78","2014/04/01 23:53",27
"79","2014/04/01 23:58",24
"80","2014/04/02 00:03",30
"81","2014/04/02 00:08",24
"82","2014/04/02 00:13",27
"83","2014/04/02 00:18",24
"84","2014/04/02 00:23",23
"85","2014/04/02 00:28",27
"86","2014/04/02 00:33",30
"87","2014/04/02 00:38",24
"88","2014/04/02 00:43",23
"89","2014/04/02 00:48",23
"90","2014/04/02 00:53",21
"91","2014/04/02 00:58",17
"92","2014/04/02 01:03",18
"93","2014/04/02 01:08",10
"94","2014/04/02 01:13",14
"95","2014/04/02 01:18",14
"96","2014/04/02 01:23",13
