LDEV_IOPS_X68-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6 X"
"1","2014/04/01 17:28",1
"2","2014/04/01 17:33",53
"3","2014/04/01 17:38",34
"4","2014/04/01 17:43",38
"5","2014/04/01 17:48",31
"6","2014/04/01 17:53",28
"7","2014/04/01 17:58",10
"8","2014/04/01 18:03",67
"9","2014/04/01 18:08",44
"10","2014/04/01 18:13",29
"11","2014/04/01 18:18",33
"12","2014/04/01 18:23",50
"13","2014/04/01 18:28",41
"14","2014/04/01 18:33",28
"15","2014/04/01 18:38",10
"16","2014/04/01 18:43",13
"17","2014/04/01 18:48",24
"18","2014/04/01 18:53",17
"19","2014/04/01 18:58",38
"20","2014/04/01 19:03",44
"21","2014/04/01 19:08",16
"22","2014/04/01 19:13",9
"23","2014/04/01 19:18",37
"24","2014/04/01 19:23",8
"25","2014/04/01 19:28",7
"26","2014/04/01 19:33",15
"27","2014/04/01 19:38",35
"28","2014/04/01 19:43",28
"29","2014/04/01 19:48",16
"30","2014/04/01 19:53",44
"31","2014/04/01 19:58",14
"32","2014/04/01 20:03",12
"33","2014/04/01 20:08",22
"34","2014/04/01 20:13",19
"35","2014/04/01 20:18",34
"36","2014/04/01 20:23",19
"37","2014/04/01 20:28",11
"38","2014/04/01 20:33",3
"39","2014/04/01 20:38",34
"40","2014/04/01 20:43",29
"41","2014/04/01 20:48",21
"42","2014/04/01 20:53",11
"43","2014/04/01 20:58",10
"44","2014/04/01 21:03",10
"45","2014/04/01 21:08",8
"46","2014/04/01 21:13",4
"47","2014/04/01 21:18",24
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",29
"50","2014/04/01 21:33",3
"51","2014/04/01 21:38",19
"52","2014/04/01 21:43",31
"53","2014/04/01 21:48",43
"54","2014/04/01 21:53",12
"55","2014/04/01 21:58",0
"56","2014/04/01 22:03",15
"57","2014/04/01 22:08",10
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",23
"60","2014/04/01 22:23",0
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",11
"63","2014/04/01 22:38",0
"64","2014/04/01 22:43",1
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",12
"67","2014/04/01 22:58",46
"68","2014/04/01 23:03",47
"69","2014/04/01 23:08",66
"70","2014/04/01 23:13",191
"71","2014/04/01 23:18",85
"72","2014/04/01 23:23",48
"73","2014/04/01 23:28",4
"74","2014/04/01 23:33",3
"75","2014/04/01 23:38",5
"76","2014/04/01 23:43",96
"77","2014/04/01 23:48",29
"78","2014/04/01 23:53",3
"79","2014/04/01 23:58",26
"80","2014/04/02 00:03",66
"81","2014/04/02 00:08",1
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",6
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",2
"87","2014/04/02 00:38",4
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",4
"90","2014/04/02 00:53",2
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",9
"93","2014/04/02 01:08",1
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",13
"96","2014/04/02 01:23",0
