LDEV_IOPS_X682-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:3B X"
"1","2014/04/01 17:28",14
"2","2014/04/01 17:33",13
"3","2014/04/01 17:38",11
"4","2014/04/01 17:43",11
"5","2014/04/01 17:48",6
"6","2014/04/01 17:53",11
"7","2014/04/01 17:58",6
"8","2014/04/01 18:03",15
"9","2014/04/01 18:08",10
"10","2014/04/01 18:13",13
"11","2014/04/01 18:18",8
"12","2014/04/01 18:23",15
"13","2014/04/01 18:28",10
"14","2014/04/01 18:33",12
"15","2014/04/01 18:38",13
"16","2014/04/01 18:43",14
"17","2014/04/01 18:48",9
"18","2014/04/01 18:53",12
"19","2014/04/01 18:58",9
"20","2014/04/01 19:03",12
"21","2014/04/01 19:08",14
"22","2014/04/01 19:13",15
"23","2014/04/01 19:18",17
"24","2014/04/01 19:23",23
"25","2014/04/01 19:28",13
"26","2014/04/01 19:33",12
"27","2014/04/01 19:38",16
"28","2014/04/01 19:43",16
"29","2014/04/01 19:48",10
"30","2014/04/01 19:53",11
"31","2014/04/01 19:58",13
"32","2014/04/01 20:03",16
"33","2014/04/01 20:08",13
"34","2014/04/01 20:13",16
"35","2014/04/01 20:18",14
"36","2014/04/01 20:23",15
"37","2014/04/01 20:28",16
"38","2014/04/01 20:33",13
"39","2014/04/01 20:38",18
"40","2014/04/01 20:43",16
"41","2014/04/01 20:48",14
"42","2014/04/01 20:53",15
"43","2014/04/01 20:58",14
"44","2014/04/01 21:03",16
"45","2014/04/01 21:08",8
"46","2014/04/01 21:13",11
"47","2014/04/01 21:18",13
"48","2014/04/01 21:23",19
"49","2014/04/01 21:28",10
"50","2014/04/01 21:33",10
"51","2014/04/01 21:38",11
"52","2014/04/01 21:43",12
"53","2014/04/01 21:48",8
"54","2014/04/01 21:53",12
"55","2014/04/01 21:58",12
"56","2014/04/01 22:03",20
"57","2014/04/01 22:08",13
"58","2014/04/01 22:13",15
"59","2014/04/01 22:18",20
"60","2014/04/01 22:23",28
"61","2014/04/01 22:28",19
"62","2014/04/01 22:33",19
"63","2014/04/01 22:38",19
"64","2014/04/01 22:43",28
"65","2014/04/01 22:48",21
"66","2014/04/01 22:53",16
"67","2014/04/01 22:58",18
"68","2014/04/01 23:03",21
"69","2014/04/01 23:08",24
"70","2014/04/01 23:13",23
"71","2014/04/01 23:18",23
"72","2014/04/01 23:23",35
"73","2014/04/01 23:28",24
"74","2014/04/01 23:33",26
"75","2014/04/01 23:38",21
"76","2014/04/01 23:43",28
"77","2014/04/01 23:48",28
"78","2014/04/01 23:53",26
"79","2014/04/01 23:58",26
"80","2014/04/02 00:03",28
"81","2014/04/02 00:08",32
"82","2014/04/02 00:13",30
"83","2014/04/02 00:18",34
"84","2014/04/02 00:23",26
"85","2014/04/02 00:28",31
"86","2014/04/02 00:33",31
"87","2014/04/02 00:38",33
"88","2014/04/02 00:43",31
"89","2014/04/02 00:48",32
"90","2014/04/02 00:53",28
"91","2014/04/02 00:58",26
"92","2014/04/02 01:03",23
"93","2014/04/02 01:08",16
"94","2014/04/02 01:13",18
"95","2014/04/02 01:18",22
"96","2014/04/02 01:23",29
