LDEV_IOPS_X729-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:0F X"
"1","2014/04/01 17:28",10
"2","2014/04/01 17:33",8
"3","2014/04/01 17:38",8
"4","2014/04/01 17:43",8
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",7
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",11
"9","2014/04/01 18:08",5
"10","2014/04/01 18:13",8
"11","2014/04/01 18:18",4
"12","2014/04/01 18:23",10
"13","2014/04/01 18:28",5
"14","2014/04/01 18:33",8
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",11
"17","2014/04/01 18:48",5
"18","2014/04/01 18:53",8
"19","2014/04/01 18:58",5
"20","2014/04/01 19:03",8
"21","2014/04/01 19:08",13
"22","2014/04/01 19:13",9
"23","2014/04/01 19:18",10
"24","2014/04/01 19:23",9
"25","2014/04/01 19:28",8
"26","2014/04/01 19:33",8
"27","2014/04/01 19:38",10
"28","2014/04/01 19:43",12
"29","2014/04/01 19:48",8
"30","2014/04/01 19:53",7
"31","2014/04/01 19:58",9
"32","2014/04/01 20:03",14
"33","2014/04/01 20:08",12
"34","2014/04/01 20:13",9
"35","2014/04/01 20:18",11
"36","2014/04/01 20:23",10
"37","2014/04/01 20:28",11
"38","2014/04/01 20:33",10
"39","2014/04/01 20:38",10
"40","2014/04/01 20:43",11
"41","2014/04/01 20:48",9
"42","2014/04/01 20:53",9
"43","2014/04/01 20:58",10
"44","2014/04/01 21:03",9
"45","2014/04/01 21:08",7
"46","2014/04/01 21:13",7
"47","2014/04/01 21:18",8
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",8
"50","2014/04/01 21:33",7
"51","2014/04/01 21:38",9
"52","2014/04/01 21:43",8
"53","2014/04/01 21:48",5
"54","2014/04/01 21:53",8
"55","2014/04/01 21:58",6
"56","2014/04/01 22:03",14
"57","2014/04/01 22:08",13
"58","2014/04/01 22:13",9
"59","2014/04/01 22:18",15
"60","2014/04/01 22:23",22
"61","2014/04/01 22:28",19
"62","2014/04/01 22:33",14
"63","2014/04/01 22:38",15
"64","2014/04/01 22:43",23
"65","2014/04/01 22:48",21
"66","2014/04/01 22:53",14
"67","2014/04/01 22:58",14
"68","2014/04/01 23:03",18
"69","2014/04/01 23:08",20
"70","2014/04/01 23:13",18
"71","2014/04/01 23:18",25
"72","2014/04/01 23:23",23
"73","2014/04/01 23:28",19
"74","2014/04/01 23:33",21
"75","2014/04/01 23:38",23
"76","2014/04/01 23:43",26
"77","2014/04/01 23:48",22
"78","2014/04/01 23:53",24
"79","2014/04/01 23:58",24
"80","2014/04/02 00:03",24
"81","2014/04/02 00:08",25
"82","2014/04/02 00:13",28
"83","2014/04/02 00:18",27
"84","2014/04/02 00:23",26
"85","2014/04/02 00:28",30
"86","2014/04/02 00:33",28
"87","2014/04/02 00:38",25
"88","2014/04/02 00:43",22
"89","2014/04/02 00:48",28
"90","2014/04/02 00:53",24
"91","2014/04/02 00:58",20
"92","2014/04/02 01:03",20
"93","2014/04/02 01:08",13
"94","2014/04/02 01:13",18
"95","2014/04/02 01:18",18
"96","2014/04/02 01:23",15
