LDEV_IOPS_X847-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:1E X"
"1","2014/04/01 17:28",234
"2","2014/04/01 17:33",319
"3","2014/04/01 17:38",305
"4","2014/04/01 17:43",280
"5","2014/04/01 17:48",333
"6","2014/04/01 17:53",332
"7","2014/04/01 17:58",312
"8","2014/04/01 18:03",418
"9","2014/04/01 18:08",310
"10","2014/04/01 18:13",371
"11","2014/04/01 18:18",397
"12","2014/04/01 18:23",312
"13","2014/04/01 18:28",366
"14","2014/04/01 18:33",338
"15","2014/04/01 18:38",336
"16","2014/04/01 18:43",395
"17","2014/04/01 18:48",378
"18","2014/04/01 18:53",407
"19","2014/04/01 18:58",416
"20","2014/04/01 19:03",394
"21","2014/04/01 19:08",362
"22","2014/04/01 19:13",407
"23","2014/04/01 19:18",398
"24","2014/04/01 19:23",363
"25","2014/04/01 19:28",432
"26","2014/04/01 19:33",486
"27","2014/04/01 19:38",318
"28","2014/04/01 19:43",403
"29","2014/04/01 19:48",439
"30","2014/04/01 19:53",292
"31","2014/04/01 19:58",331
"32","2014/04/01 20:03",471
"33","2014/04/01 20:08",391
"34","2014/04/01 20:13",399
"35","2014/04/01 20:18",342
"36","2014/04/01 20:23",363
"37","2014/04/01 20:28",321
"38","2014/04/01 20:33",354
"39","2014/04/01 20:38",285
"40","2014/04/01 20:43",345
"41","2014/04/01 20:48",299
"42","2014/04/01 20:53",264
"43","2014/04/01 20:58",274
"44","2014/04/01 21:03",239
"45","2014/04/01 21:08",195
"46","2014/04/01 21:13",228
"47","2014/04/01 21:18",254
"48","2014/04/01 21:23",160
"49","2014/04/01 21:28",196
"50","2014/04/01 21:33",196
"51","2014/04/01 21:38",160
"52","2014/04/01 21:43",181
"53","2014/04/01 21:48",188
"54","2014/04/01 21:53",159
"55","2014/04/01 21:58",98
"56","2014/04/01 22:03",277
"57","2014/04/01 22:08",230
"58","2014/04/01 22:13",173
"59","2014/04/01 22:18",167
"60","2014/04/01 22:23",144
"61","2014/04/01 22:28",142
"62","2014/04/01 22:33",230
"63","2014/04/01 22:38",138
"64","2014/04/01 22:43",135
"65","2014/04/01 22:48",130
"66","2014/04/01 22:53",156
"67","2014/04/01 22:58",151
"68","2014/04/01 23:03",188
"69","2014/04/01 23:08",188
"70","2014/04/01 23:13",240
"71","2014/04/01 23:18",323
"72","2014/04/01 23:23",295
"73","2014/04/01 23:28",327
"74","2014/04/01 23:33",324
"75","2014/04/01 23:38",359
"76","2014/04/01 23:43",349
"77","2014/04/01 23:48",250
"78","2014/04/01 23:53",203
"79","2014/04/01 23:58",170
"80","2014/04/02 00:03",138
"81","2014/04/02 00:08",190
"82","2014/04/02 00:13",185
"83","2014/04/02 00:18",197
"84","2014/04/02 00:23",210
"85","2014/04/02 00:28",142
"86","2014/04/02 00:33",141
"87","2014/04/02 00:38",147
"88","2014/04/02 00:43",158
"89","2014/04/02 00:48",145
"90","2014/04/02 00:53",149
"91","2014/04/02 00:58",164
"92","2014/04/02 01:03",181
"93","2014/04/02 01:08",177
"94","2014/04/02 01:13",182
"95","2014/04/02 01:18",159
"96","2014/04/02 01:23",160
