LDEV_Read_Hit_X208-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:3B X"
"1","2014/04/01 17:28",93
"2","2014/04/01 17:33",68
"3","2014/04/01 17:38",46
"4","2014/04/01 17:43",96
"5","2014/04/01 17:48",73
"6","2014/04/01 17:53",68
"7","2014/04/01 17:58",98
"8","2014/04/01 18:03",64
"9","2014/04/01 18:08",55
"10","2014/04/01 18:13",96
"11","2014/04/01 18:18",72
"12","2014/04/01 18:23",75
"13","2014/04/01 18:28",97
"14","2014/04/01 18:33",72
"15","2014/04/01 18:38",65
"16","2014/04/01 18:43",97
"17","2014/04/01 18:48",77
"18","2014/04/01 18:53",80
"19","2014/04/01 18:58",99
"20","2014/04/01 19:03",65
"21","2014/04/01 19:08",52
"22","2014/04/01 19:13",97
"23","2014/04/01 19:18",62
"24","2014/04/01 19:23",55
"25","2014/04/01 19:28",95
"26","2014/04/01 19:33",65
"27","2014/04/01 19:38",48
"28","2014/04/01 19:43",94
"29","2014/04/01 19:48",34
"30","2014/04/01 19:53",20
"31","2014/04/01 19:58",93
"32","2014/04/01 20:03",90
"33","2014/04/01 20:08",26
"34","2014/04/01 20:13",96
"35","2014/04/01 20:18",71
"36","2014/04/01 20:23",55
"37","2014/04/01 20:28",96
"38","2014/04/01 20:33",78
"39","2014/04/01 20:38",58
"40","2014/04/01 20:43",97
"41","2014/04/01 20:48",81
"42","2014/04/01 20:53",62
"43","2014/04/01 20:58",98
"44","2014/04/01 21:03",78
"45","2014/04/01 21:08",58
"46","2014/04/01 21:13",95
"47","2014/04/01 21:18",70
"48","2014/04/01 21:23",42
"49","2014/04/01 21:28",95
"50","2014/04/01 21:33",70
"51","2014/04/01 21:38",41
"52","2014/04/01 21:43",95
"53","2014/04/01 21:48",72
"54","2014/04/01 21:53",16
"55","2014/04/01 21:58",96
"56","2014/04/01 22:03",76
"57","2014/04/01 22:08",40
"58","2014/04/01 22:13",92
"59","2014/04/01 22:18",50
"60","2014/04/01 22:23",31
"61","2014/04/01 22:28",93
"62","2014/04/01 22:33",81
"63","2014/04/01 22:38",29
"64","2014/04/01 22:43",92
"65","2014/04/01 22:48",65
"66","2014/04/01 22:53",17
"67","2014/04/01 22:58",93
"68","2014/04/01 23:03",57
"69","2014/04/01 23:08",44
"70","2014/04/01 23:13",94
"71","2014/04/01 23:18",37
"72","2014/04/01 23:23",32
"73","2014/04/01 23:28",92
"74","2014/04/01 23:33",70
"75","2014/04/01 23:38",50
"76","2014/04/01 23:43",93
"77","2014/04/01 23:48",55
"78","2014/04/01 23:53",40
"79","2014/04/01 23:58",93
"80","2014/04/02 00:03",48
"81","2014/04/02 00:08",36
"82","2014/04/02 00:13",92
"83","2014/04/02 00:18",35
"84","2014/04/02 00:23",40
"85","2014/04/02 00:28",93
"86","2014/04/02 00:33",45
"87","2014/04/02 00:38",34
"88","2014/04/02 00:43",91
"89","2014/04/02 00:48",77
"90","2014/04/02 00:53",39
"91","2014/04/02 00:58",91
"92","2014/04/02 01:03",51
"93","2014/04/02 01:08",46
"94","2014/04/02 01:13",93
"95","2014/04/02 01:18",56
"96","2014/04/02 01:23",32
