LDEV_Read_Hit_X295-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:1C X"
"1","2014/04/01 17:28",96
"2","2014/04/01 17:33",96
"3","2014/04/01 17:38",97
"4","2014/04/01 17:43",95
"5","2014/04/01 17:48",82
"6","2014/04/01 17:53",81
"7","2014/04/01 17:58",92
"8","2014/04/01 18:03",98
"9","2014/04/01 18:08",97
"10","2014/04/01 18:13",94
"11","2014/04/01 18:18",72
"12","2014/04/01 18:23",79
"13","2014/04/01 18:28",97
"14","2014/04/01 18:33",97
"15","2014/04/01 18:38",97
"16","2014/04/01 18:43",98
"17","2014/04/01 18:48",78
"18","2014/04/01 18:53",81
"19","2014/04/01 18:58",88
"20","2014/04/01 19:03",97
"21","2014/04/01 19:08",97
"22","2014/04/01 19:13",92
"23","2014/04/01 19:18",77
"24","2014/04/01 19:23",81
"25","2014/04/01 19:28",96
"26","2014/04/01 19:33",98
"27","2014/04/01 19:38",80
"28","2014/04/01 19:43",88
"29","2014/04/01 19:48",71
"30","2014/04/01 19:53",79
"31","2014/04/01 19:58",78
"32","2014/04/01 20:03",97
"33","2014/04/01 20:08",95
"34","2014/04/01 20:13",95
"35","2014/04/01 20:18",70
"36","2014/04/01 20:23",81
"37","2014/04/01 20:28",79
"38","2014/04/01 20:33",68
"39","2014/04/01 20:38",79
"40","2014/04/01 20:43",97
"41","2014/04/01 20:48",91
"42","2014/04/01 20:53",60
"43","2014/04/01 20:58",78
"44","2014/04/01 21:03",96
"45","2014/04/01 21:08",79
"46","2014/04/01 21:13",82
"47","2014/04/01 21:18",69
"48","2014/04/01 21:23",81
"49","2014/04/01 21:28",96
"50","2014/04/01 21:33",79
"51","2014/04/01 21:38",89
"52","2014/04/01 21:43",96
"53","2014/04/01 21:48",90
"54","2014/04/01 21:53",79
"55","2014/04/01 21:58",74
"56","2014/04/01 22:03",79
"57","2014/04/01 22:08",82
"58","2014/04/01 22:13",85
"59","2014/04/01 22:18",81
"60","2014/04/01 22:23",83
"61","2014/04/01 22:28",86
"62","2014/04/01 22:33",92
"63","2014/04/01 22:38",85
"64","2014/04/01 22:43",93
"65","2014/04/01 22:48",92
"66","2014/04/01 22:53",91
"67","2014/04/01 22:58",91
"68","2014/04/01 23:03",82
"69","2014/04/01 23:08",87
"70","2014/04/01 23:13",84
"71","2014/04/01 23:18",88
"72","2014/04/01 23:23",90
"73","2014/04/01 23:28",92
"74","2014/04/01 23:33",93
"75","2014/04/01 23:38",94
"76","2014/04/01 23:43",93
"77","2014/04/01 23:48",94
"78","2014/04/01 23:53",91
"79","2014/04/01 23:58",91
"80","2014/04/02 00:03",91
"81","2014/04/02 00:08",92
"82","2014/04/02 00:13",88
"83","2014/04/02 00:18",88
"84","2014/04/02 00:23",87
"85","2014/04/02 00:28",89
"86","2014/04/02 00:33",95
"87","2014/04/02 00:38",96
"88","2014/04/02 00:43",96
"89","2014/04/02 00:48",95
"90","2014/04/02 00:53",88
"91","2014/04/02 00:58",87
"92","2014/04/02 01:03",89
"93","2014/04/02 01:08",95
"94","2014/04/02 01:13",78
"95","2014/04/02 01:18",73
"96","2014/04/02 01:23",67
