LDEV_Read_Hit_X484-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:67 X"
"1","2014/04/01 17:28",76
"2","2014/04/01 17:33",79
"3","2014/04/01 17:38",87
"4","2014/04/01 17:43",85
"5","2014/04/01 17:48",80
"6","2014/04/01 17:53",94
"7","2014/04/01 17:58",93
"8","2014/04/01 18:03",87
"9","2014/04/01 18:08",79
"10","2014/04/01 18:13",84
"11","2014/04/01 18:18",87
"12","2014/04/01 18:23",85
"13","2014/04/01 18:28",89
"14","2014/04/01 18:33",91
"15","2014/04/01 18:38",88
"16","2014/04/01 18:43",86
"17","2014/04/01 18:48",88
"18","2014/04/01 18:53",89
"19","2014/04/01 18:58",86
"20","2014/04/01 19:03",72
"21","2014/04/01 19:08",80
"22","2014/04/01 19:13",86
"23","2014/04/01 19:18",80
"24","2014/04/01 19:23",76
"25","2014/04/01 19:28",74
"26","2014/04/01 19:33",76
"27","2014/04/01 19:38",77
"28","2014/04/01 19:43",73
"29","2014/04/01 19:48",73
"30","2014/04/01 19:53",91
"31","2014/04/01 19:58",88
"32","2014/04/01 20:03",70
"33","2014/04/01 20:08",65
"34","2014/04/01 20:13",73
"35","2014/04/01 20:18",81
"36","2014/04/01 20:23",89
"37","2014/04/01 20:28",93
"38","2014/04/01 20:33",65
"39","2014/04/01 20:38",86
"40","2014/04/01 20:43",82
"41","2014/04/01 20:48",75
"42","2014/04/01 20:53",93
"43","2014/04/01 20:58",92
"44","2014/04/01 21:03",87
"45","2014/04/01 21:08",84
"46","2014/04/01 21:13",90
"47","2014/04/01 21:18",94
"48","2014/04/01 21:23",86
"49","2014/04/01 21:28",86
"50","2014/04/01 21:33",81
"51","2014/04/01 21:38",90
"52","2014/04/01 21:43",87
"53","2014/04/01 21:48",88
"54","2014/04/01 21:53",95
"55","2014/04/01 21:58",94
"56","2014/04/01 22:03",85
"57","2014/04/01 22:08",93
"58","2014/04/01 22:13",92
"59","2014/04/01 22:18",96
"60","2014/04/01 22:23",95
"61","2014/04/01 22:28",90
"62","2014/04/01 22:33",88
"63","2014/04/01 22:38",93
"64","2014/04/01 22:43",87
"65","2014/04/01 22:48",82
"66","2014/04/01 22:53",96
"67","2014/04/01 22:58",97
"68","2014/04/01 23:03",87
"69","2014/04/01 23:08",87
"70","2014/04/01 23:13",77
"71","2014/04/01 23:18",86
"72","2014/04/01 23:23",76
"73","2014/04/01 23:28",81
"74","2014/04/01 23:33",64
"75","2014/04/01 23:38",79
"76","2014/04/01 23:43",78
"77","2014/04/01 23:48",69
"78","2014/04/01 23:53",77
"79","2014/04/01 23:58",83
"80","2014/04/02 00:03",86
"81","2014/04/02 00:08",74
"82","2014/04/02 00:13",52
"83","2014/04/02 00:18",66
"84","2014/04/02 00:23",73
"85","2014/04/02 00:28",70
"86","2014/04/02 00:33",73
"87","2014/04/02 00:38",82
"88","2014/04/02 00:43",85
"89","2014/04/02 00:48",87
"90","2014/04/02 00:53",92
"91","2014/04/02 00:58",93
"92","2014/04/02 01:03",84
"93","2014/04/02 01:08",76
"94","2014/04/02 01:13",86
"95","2014/04/02 01:18",93
"96","2014/04/02 01:23",96
