LDEV_Read_Hit_X491-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:DF X"
"1","2014/04/01 17:28",90
"2","2014/04/01 17:33",92
"3","2014/04/01 17:38",90
"4","2014/04/01 17:43",92
"5","2014/04/01 17:48",65
"6","2014/04/01 17:53",85
"7","2014/04/01 17:58",81
"8","2014/04/01 18:03",90
"9","2014/04/01 18:08",92
"10","2014/04/01 18:13",75
"11","2014/04/01 18:18",43
"12","2014/04/01 18:23",55
"13","2014/04/01 18:28",87
"14","2014/04/01 18:33",92
"15","2014/04/01 18:38",91
"16","2014/04/01 18:43",94
"17","2014/04/01 18:48",56
"18","2014/04/01 18:53",45
"19","2014/04/01 18:58",74
"20","2014/04/01 19:03",88
"21","2014/04/01 19:08",92
"22","2014/04/01 19:13",77
"23","2014/04/01 19:18",48
"24","2014/04/01 19:23",54
"25","2014/04/01 19:28",85
"26","2014/04/01 19:33",90
"27","2014/04/01 19:38",59
"28","2014/04/01 19:43",72
"29","2014/04/01 19:48",39
"30","2014/04/01 19:53",37
"31","2014/04/01 19:58",44
"32","2014/04/01 20:03",91
"33","2014/04/01 20:08",78
"34","2014/04/01 20:13",87
"35","2014/04/01 20:18",39
"36","2014/04/01 20:23",53
"37","2014/04/01 20:28",53
"38","2014/04/01 20:33",46
"39","2014/04/01 20:38",60
"40","2014/04/01 20:43",92
"41","2014/04/01 20:48",66
"42","2014/04/01 20:53",33
"43","2014/04/01 20:58",48
"44","2014/04/01 21:03",88
"45","2014/04/01 21:08",53
"46","2014/04/01 21:13",62
"47","2014/04/01 21:18",36
"48","2014/04/01 21:23",36
"49","2014/04/01 21:28",88
"50","2014/04/01 21:33",55
"51","2014/04/01 21:38",72
"52","2014/04/01 21:43",93
"53","2014/04/01 21:48",84
"54","2014/04/01 21:53",41
"55","2014/04/01 21:58",47
"56","2014/04/01 22:03",64
"57","2014/04/01 22:08",73
"58","2014/04/01 22:13",73
"59","2014/04/01 22:18",78
"60","2014/04/01 22:23",79
"61","2014/04/01 22:28",80
"62","2014/04/01 22:33",84
"63","2014/04/01 22:38",84
"64","2014/04/01 22:43",91
"65","2014/04/01 22:48",92
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",90
"68","2014/04/01 23:03",80
"69","2014/04/01 23:08",83
"70","2014/04/01 23:13",85
"71","2014/04/01 23:18",86
"72","2014/04/01 23:23",89
"73","2014/04/01 23:28",91
"74","2014/04/01 23:33",92
"75","2014/04/01 23:38",93
"76","2014/04/01 23:43",92
"77","2014/04/01 23:48",92
"78","2014/04/01 23:53",91
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",88
"81","2014/04/02 00:08",88
"82","2014/04/02 00:13",86
"83","2014/04/02 00:18",86
"84","2014/04/02 00:23",80
"85","2014/04/02 00:28",88
"86","2014/04/02 00:33",94
"87","2014/04/02 00:38",82
"88","2014/04/02 00:43",91
"89","2014/04/02 00:48",93
"90","2014/04/02 00:53",84
"91","2014/04/02 00:58",84
"92","2014/04/02 01:03",84
"93","2014/04/02 01:08",94
"94","2014/04/02 01:13",70
"95","2014/04/02 01:18",45
"96","2014/04/02 01:23",47
