LDEV_Read_Hit_X503-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EE X"
"1","2014/04/01 17:28",71
"2","2014/04/01 17:33",78
"3","2014/04/01 17:38",73
"4","2014/04/01 17:43",91
"5","2014/04/01 17:48",31
"6","2014/04/01 17:53",43
"7","2014/04/01 17:58",40
"8","2014/04/01 18:03",85
"9","2014/04/01 18:08",65
"10","2014/04/01 18:13",36
"11","2014/04/01 18:18",12
"12","2014/04/01 18:23",51
"13","2014/04/01 18:28",66
"14","2014/04/01 18:33",86
"15","2014/04/01 18:38",70
"16","2014/04/01 18:43",96
"17","2014/04/01 18:48",14
"18","2014/04/01 18:53",18
"19","2014/04/01 18:58",26
"20","2014/04/01 19:03",79
"21","2014/04/01 19:08",64
"22","2014/04/01 19:13",42
"23","2014/04/01 19:18",46
"24","2014/04/01 19:23",15
"25","2014/04/01 19:28",61
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",17
"28","2014/04/01 19:43",29
"29","2014/04/01 19:48",29
"30","2014/04/01 19:53",23
"31","2014/04/01 19:58",12
"32","2014/04/01 20:03",76
"33","2014/04/01 20:08",55
"34","2014/04/01 20:13",61
"35","2014/04/01 20:18",12
"36","2014/04/01 20:23",18
"37","2014/04/01 20:28",18
"38","2014/04/01 20:33",17
"39","2014/04/01 20:38",37
"40","2014/04/01 20:43",80
"41","2014/04/01 20:48",38
"42","2014/04/01 20:53",11
"43","2014/04/01 20:58",19
"44","2014/04/01 21:03",87
"45","2014/04/01 21:08",13
"46","2014/04/01 21:13",26
"47","2014/04/01 21:18",10
"48","2014/04/01 21:23",10
"49","2014/04/01 21:28",61
"50","2014/04/01 21:33",25
"51","2014/04/01 21:38",33
"52","2014/04/01 21:43",93
"53","2014/04/01 21:48",55
"54","2014/04/01 21:53",35
"55","2014/04/01 21:58",15
"56","2014/04/01 22:03",69
"57","2014/04/01 22:08",74
"58","2014/04/01 22:13",75
"59","2014/04/01 22:18",77
"60","2014/04/01 22:23",76
"61","2014/04/01 22:28",79
"62","2014/04/01 22:33",86
"63","2014/04/01 22:38",82
"64","2014/04/01 22:43",92
"65","2014/04/01 22:48",92
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",90
"68","2014/04/01 23:03",79
"69","2014/04/01 23:08",83
"70","2014/04/01 23:13",83
"71","2014/04/01 23:18",87
"72","2014/04/01 23:23",89
"73","2014/04/01 23:28",90
"74","2014/04/01 23:33",93
"75","2014/04/01 23:38",93
"76","2014/04/01 23:43",92
"77","2014/04/01 23:48",92
"78","2014/04/01 23:53",89
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",88
"81","2014/04/02 00:08",89
"82","2014/04/02 00:13",84
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",82
"85","2014/04/02 00:28",82
"86","2014/04/02 00:33",94
"87","2014/04/02 00:38",66
"88","2014/04/02 00:43",90
"89","2014/04/02 00:48",93
"90","2014/04/02 00:53",82
"91","2014/04/02 00:58",82
"92","2014/04/02 01:03",82
"93","2014/04/02 01:08",91
"94","2014/04/02 01:13",65
"95","2014/04/02 01:18",22
"96","2014/04/02 01:23",31
