LDEV_Read_Hit_X504-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EF X"
"1","2014/04/01 17:28",69
"2","2014/04/01 17:33",70
"3","2014/04/01 17:38",44
"4","2014/04/01 17:43",91
"5","2014/04/01 17:48",37
"6","2014/04/01 17:53",22
"7","2014/04/01 17:58",51
"8","2014/04/01 18:03",68
"9","2014/04/01 18:08",30
"10","2014/04/01 18:13",46
"11","2014/04/01 18:18",10
"12","2014/04/01 18:23",16
"13","2014/04/01 18:28",76
"14","2014/04/01 18:33",85
"15","2014/04/01 18:38",51
"16","2014/04/01 18:43",89
"17","2014/04/01 18:48",13
"18","2014/04/01 18:53",11
"19","2014/04/01 18:58",35
"20","2014/04/01 19:03",81
"21","2014/04/01 19:08",39
"22","2014/04/01 19:13",50
"23","2014/04/01 19:18",13
"24","2014/04/01 19:23",10
"25","2014/04/01 19:28",73
"26","2014/04/01 19:33",86
"27","2014/04/01 19:38",7
"28","2014/04/01 19:43",37
"29","2014/04/01 19:48",28
"30","2014/04/01 19:53",19
"31","2014/04/01 19:58",12
"32","2014/04/01 20:03",75
"33","2014/04/01 20:08",18
"34","2014/04/01 20:13",83
"35","2014/04/01 20:18",8
"36","2014/04/01 20:23",17
"37","2014/04/01 20:28",18
"38","2014/04/01 20:33",23
"39","2014/04/01 20:38",6
"40","2014/04/01 20:43",81
"41","2014/04/01 20:48",25
"42","2014/04/01 20:53",6
"43","2014/04/01 20:58",16
"44","2014/04/01 21:03",73
"45","2014/04/01 21:08",4
"46","2014/04/01 21:13",22
"47","2014/04/01 21:18",7
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",64
"50","2014/04/01 21:33",35
"51","2014/04/01 21:38",15
"52","2014/04/01 21:43",89
"53","2014/04/01 21:48",55
"54","2014/04/01 21:53",21
"55","2014/04/01 21:58",14
"56","2014/04/01 22:03",61
"57","2014/04/01 22:08",69
"58","2014/04/01 22:13",75
"59","2014/04/01 22:18",74
"60","2014/04/01 22:23",78
"61","2014/04/01 22:28",82
"62","2014/04/01 22:33",84
"63","2014/04/01 22:38",84
"64","2014/04/01 22:43",91
"65","2014/04/01 22:48",92
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",89
"68","2014/04/01 23:03",78
"69","2014/04/01 23:08",81
"70","2014/04/01 23:13",84
"71","2014/04/01 23:18",86
"72","2014/04/01 23:23",89
"73","2014/04/01 23:28",90
"74","2014/04/01 23:33",92
"75","2014/04/01 23:38",94
"76","2014/04/01 23:43",90
"77","2014/04/01 23:48",92
"78","2014/04/01 23:53",88
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",88
"81","2014/04/02 00:08",89
"82","2014/04/02 00:13",84
"83","2014/04/02 00:18",78
"84","2014/04/02 00:23",79
"85","2014/04/02 00:28",85
"86","2014/04/02 00:33",93
"87","2014/04/02 00:38",41
"88","2014/04/02 00:43",91
"89","2014/04/02 00:48",91
"90","2014/04/02 00:53",79
"91","2014/04/02 00:58",84
"92","2014/04/02 01:03",84
"93","2014/04/02 01:08",90
"94","2014/04/02 01:13",61
"95","2014/04/02 01:18",24
"96","2014/04/02 01:23",34
