LDEV_Read_Hit_X507-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:F2 X"
"1","2014/04/01 17:28",50
"2","2014/04/01 17:33",87
"3","2014/04/01 17:38",38
"4","2014/04/01 17:43",87
"5","2014/04/01 17:48",15
"6","2014/04/01 17:53",16
"7","2014/04/01 17:58",19
"8","2014/04/01 18:03",60
"9","2014/04/01 18:08",33
"10","2014/04/01 18:13",30
"11","2014/04/01 18:18",10
"12","2014/04/01 18:23",22
"13","2014/04/01 18:28",35
"14","2014/04/01 18:33",81
"15","2014/04/01 18:38",39
"16","2014/04/01 18:43",69
"17","2014/04/01 18:48",18
"18","2014/04/01 18:53",8
"19","2014/04/01 18:58",18
"20","2014/04/01 19:03",61
"21","2014/04/01 19:08",25
"22","2014/04/01 19:13",35
"23","2014/04/01 19:18",11
"24","2014/04/01 19:23",10
"25","2014/04/01 19:28",48
"26","2014/04/01 19:33",82
"27","2014/04/01 19:38",8
"28","2014/04/01 19:43",34
"29","2014/04/01 19:48",26
"30","2014/04/01 19:53",18
"31","2014/04/01 19:58",4
"32","2014/04/01 20:03",67
"33","2014/04/01 20:08",24
"34","2014/04/01 20:13",43
"35","2014/04/01 20:18",9
"36","2014/04/01 20:23",12
"37","2014/04/01 20:28",7
"38","2014/04/01 20:33",16
"39","2014/04/01 20:38",13
"40","2014/04/01 20:43",65
"41","2014/04/01 20:48",31
"42","2014/04/01 20:53",4
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",52
"45","2014/04/01 21:08",4
"46","2014/04/01 21:13",33
"47","2014/04/01 21:18",8
"48","2014/04/01 21:23",8
"49","2014/04/01 21:28",59
"50","2014/04/01 21:33",36
"51","2014/04/01 21:38",11
"52","2014/04/01 21:43",86
"53","2014/04/01 21:48",22
"54","2014/04/01 21:53",12
"55","2014/04/01 21:58",7
"56","2014/04/01 22:03",57
"57","2014/04/01 22:08",70
"58","2014/04/01 22:13",71
"59","2014/04/01 22:18",77
"60","2014/04/01 22:23",77
"61","2014/04/01 22:28",77
"62","2014/04/01 22:33",85
"63","2014/04/01 22:38",82
"64","2014/04/01 22:43",90
"65","2014/04/01 22:48",92
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",88
"68","2014/04/01 23:03",81
"69","2014/04/01 23:08",83
"70","2014/04/01 23:13",83
"71","2014/04/01 23:18",87
"72","2014/04/01 23:23",88
"73","2014/04/01 23:28",90
"74","2014/04/01 23:33",93
"75","2014/04/01 23:38",93
"76","2014/04/01 23:43",91
"77","2014/04/01 23:48",92
"78","2014/04/01 23:53",91
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",87
"81","2014/04/02 00:08",88
"82","2014/04/02 00:13",85
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",79
"85","2014/04/02 00:28",84
"86","2014/04/02 00:33",93
"87","2014/04/02 00:38",47
"88","2014/04/02 00:43",91
"89","2014/04/02 00:48",93
"90","2014/04/02 00:53",82
"91","2014/04/02 00:58",82
"92","2014/04/02 01:03",83
"93","2014/04/02 01:08",88
"94","2014/04/02 01:13",64
"95","2014/04/02 01:18",23
"96","2014/04/02 01:23",31
