LDEV_Read_Hit_X525-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:1F X"
"1","2014/04/01 17:28",67
"2","2014/04/01 17:33",94
"3","2014/04/01 17:38",64
"4","2014/04/01 17:43",73
"5","2014/04/01 17:48",28
"6","2014/04/01 17:53",41
"7","2014/04/01 17:58",41
"8","2014/04/01 18:03",83
"9","2014/04/01 18:08",60
"10","2014/04/01 18:13",48
"11","2014/04/01 18:18",14
"12","2014/04/01 18:23",39
"13","2014/04/01 18:28",63
"14","2014/04/01 18:33",75
"15","2014/04/01 18:38",67
"16","2014/04/01 18:43",89
"17","2014/04/01 18:48",25
"18","2014/04/01 18:53",24
"19","2014/04/01 18:58",34
"20","2014/04/01 19:03",75
"21","2014/04/01 19:08",63
"22","2014/04/01 19:13",44
"23","2014/04/01 19:18",45
"24","2014/04/01 19:23",17
"25","2014/04/01 19:28",69
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",22
"28","2014/04/01 19:43",30
"29","2014/04/01 19:48",25
"30","2014/04/01 19:53",23
"31","2014/04/01 19:58",11
"32","2014/04/01 20:03",66
"33","2014/04/01 20:08",58
"34","2014/04/01 20:13",62
"35","2014/04/01 20:18",14
"36","2014/04/01 20:23",17
"37","2014/04/01 20:28",18
"38","2014/04/01 20:33",14
"39","2014/04/01 20:38",21
"40","2014/04/01 20:43",72
"41","2014/04/01 20:48",41
"42","2014/04/01 20:53",9
"43","2014/04/01 20:58",16
"44","2014/04/01 21:03",71
"45","2014/04/01 21:08",15
"46","2014/04/01 21:13",17
"47","2014/04/01 21:18",13
"48","2014/04/01 21:23",9
"49","2014/04/01 21:28",55
"50","2014/04/01 21:33",59
"51","2014/04/01 21:38",28
"52","2014/04/01 21:43",83
"53","2014/04/01 21:48",52
"54","2014/04/01 21:53",29
"55","2014/04/01 21:58",14
"56","2014/04/01 22:03",63
"57","2014/04/01 22:08",60
"58","2014/04/01 22:13",70
"59","2014/04/01 22:18",76
"60","2014/04/01 22:23",76
"61","2014/04/01 22:28",77
"62","2014/04/01 22:33",83
"63","2014/04/01 22:38",85
"64","2014/04/01 22:43",90
"65","2014/04/01 22:48",92
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",90
"68","2014/04/01 23:03",79
"69","2014/04/01 23:08",83
"70","2014/04/01 23:13",84
"71","2014/04/01 23:18",86
"72","2014/04/01 23:23",89
"73","2014/04/01 23:28",90
"74","2014/04/01 23:33",92
"75","2014/04/01 23:38",94
"76","2014/04/01 23:43",91
"77","2014/04/01 23:48",92
"78","2014/04/01 23:53",91
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",90
"81","2014/04/02 00:08",90
"82","2014/04/02 00:13",85
"83","2014/04/02 00:18",84
"84","2014/04/02 00:23",81
"85","2014/04/02 00:28",84
"86","2014/04/02 00:33",92
"87","2014/04/02 00:38",60
"88","2014/04/02 00:43",91
"89","2014/04/02 00:48",93
"90","2014/04/02 00:53",86
"91","2014/04/02 00:58",83
"92","2014/04/02 01:03",86
"93","2014/04/02 01:08",92
"94","2014/04/02 01:13",69
"95","2014/04/02 01:18",16
"96","2014/04/02 01:23",17
