LDEV_Read_Hit_X578-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:05 X"
"1","2014/04/01 17:28",95
"2","2014/04/01 17:33",93
"3","2014/04/01 17:38",93
"4","2014/04/01 17:43",93
"5","2014/04/01 17:48",88
"6","2014/04/01 17:53",90
"7","2014/04/01 17:58",96
"8","2014/04/01 18:03",92
"9","2014/04/01 18:08",94
"10","2014/04/01 18:13",92
"11","2014/04/01 18:18",91
"12","2014/04/01 18:23",92
"13","2014/04/01 18:28",87
"14","2014/04/01 18:33",88
"15","2014/04/01 18:38",90
"16","2014/04/01 18:43",93
"17","2014/04/01 18:48",93
"18","2014/04/01 18:53",90
"19","2014/04/01 18:58",91
"20","2014/04/01 19:03",88
"21","2014/04/01 19:08",88
"22","2014/04/01 19:13",93
"23","2014/04/01 19:18",91
"24","2014/04/01 19:23",90
"25","2014/04/01 19:28",92
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",91
"28","2014/04/01 19:43",63
"29","2014/04/01 19:48",62
"30","2014/04/01 19:53",69
"31","2014/04/01 19:58",86
"32","2014/04/01 20:03",90
"33","2014/04/01 20:08",90
"34","2014/04/01 20:13",93
"35","2014/04/01 20:18",96
"36","2014/04/01 20:23",96
"37","2014/04/01 20:28",94
"38","2014/04/01 20:33",93
"39","2014/04/01 20:38",96
"40","2014/04/01 20:43",95
"41","2014/04/01 20:48",96
"42","2014/04/01 20:53",95
"43","2014/04/01 20:58",94
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",78
"46","2014/04/01 21:13",87
"47","2014/04/01 21:18",88
"48","2014/04/01 21:23",80
"49","2014/04/01 21:28",91
"50","2014/04/01 21:33",77
"51","2014/04/01 21:38",88
"52","2014/04/01 21:43",88
"53","2014/04/01 21:48",83
"54","2014/04/01 21:53",87
"55","2014/04/01 21:58",82
"56","2014/04/01 22:03",79
"57","2014/04/01 22:08",71
"58","2014/04/01 22:13",75
"59","2014/04/01 22:18",88
"60","2014/04/01 22:23",86
"61","2014/04/01 22:28",85
"62","2014/04/01 22:33",76
"63","2014/04/01 22:38",81
"64","2014/04/01 22:43",89
"65","2014/04/01 22:48",86
"66","2014/04/01 22:53",79
"67","2014/04/01 22:58",79
"68","2014/04/01 23:03",74
"69","2014/04/01 23:08",73
"70","2014/04/01 23:13",81
"71","2014/04/01 23:18",80
"72","2014/04/01 23:23",83
"73","2014/04/01 23:28",83
"74","2014/04/01 23:33",83
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",86
"77","2014/04/01 23:48",83
"78","2014/04/01 23:53",88
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",88
"81","2014/04/02 00:08",83
"82","2014/04/02 00:13",86
"83","2014/04/02 00:18",88
"84","2014/04/02 00:23",87
"85","2014/04/02 00:28",88
"86","2014/04/02 00:33",88
"87","2014/04/02 00:38",87
"88","2014/04/02 00:43",89
"89","2014/04/02 00:48",92
"90","2014/04/02 00:53",88
"91","2014/04/02 00:58",93
"92","2014/04/02 01:03",90
"93","2014/04/02 01:08",78
"94","2014/04/02 01:13",87
"95","2014/04/02 01:18",89
"96","2014/04/02 01:23",89
