LDEV_Read_Hit_X585-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:0C X"
"1","2014/04/01 17:28",92
"2","2014/04/01 17:33",92
"3","2014/04/01 17:38",90
"4","2014/04/01 17:43",92
"5","2014/04/01 17:48",88
"6","2014/04/01 17:53",86
"7","2014/04/01 17:58",93
"8","2014/04/01 18:03",90
"9","2014/04/01 18:08",93
"10","2014/04/01 18:13",91
"11","2014/04/01 18:18",89
"12","2014/04/01 18:23",88
"13","2014/04/01 18:28",86
"14","2014/04/01 18:33",88
"15","2014/04/01 18:38",90
"16","2014/04/01 18:43",90
"17","2014/04/01 18:48",88
"18","2014/04/01 18:53",86
"19","2014/04/01 18:58",88
"20","2014/04/01 19:03",87
"21","2014/04/01 19:08",85
"22","2014/04/01 19:13",90
"23","2014/04/01 19:18",90
"24","2014/04/01 19:23",88
"25","2014/04/01 19:28",88
"26","2014/04/01 19:33",85
"27","2014/04/01 19:38",87
"28","2014/04/01 19:43",54
"29","2014/04/01 19:48",56
"30","2014/04/01 19:53",58
"31","2014/04/01 19:58",85
"32","2014/04/01 20:03",87
"33","2014/04/01 20:08",91
"34","2014/04/01 20:13",92
"35","2014/04/01 20:18",94
"36","2014/04/01 20:23",95
"37","2014/04/01 20:28",94
"38","2014/04/01 20:33",93
"39","2014/04/01 20:38",95
"40","2014/04/01 20:43",96
"41","2014/04/01 20:48",94
"42","2014/04/01 20:53",93
"43","2014/04/01 20:58",92
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",75
"46","2014/04/01 21:13",84
"47","2014/04/01 21:18",83
"48","2014/04/01 21:23",79
"49","2014/04/01 21:28",88
"50","2014/04/01 21:33",75
"51","2014/04/01 21:38",84
"52","2014/04/01 21:43",84
"53","2014/04/01 21:48",80
"54","2014/04/01 21:53",84
"55","2014/04/01 21:58",77
"56","2014/04/01 22:03",75
"57","2014/04/01 22:08",70
"58","2014/04/01 22:13",72
"59","2014/04/01 22:18",85
"60","2014/04/01 22:23",85
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",74
"63","2014/04/01 22:38",77
"64","2014/04/01 22:43",84
"65","2014/04/01 22:48",84
"66","2014/04/01 22:53",76
"67","2014/04/01 22:58",78
"68","2014/04/01 23:03",75
"69","2014/04/01 23:08",74
"70","2014/04/01 23:13",84
"71","2014/04/01 23:18",80
"72","2014/04/01 23:23",81
"73","2014/04/01 23:28",82
"74","2014/04/01 23:33",83
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",84
"77","2014/04/01 23:48",84
"78","2014/04/01 23:53",86
"79","2014/04/01 23:58",87
"80","2014/04/02 00:03",85
"81","2014/04/02 00:08",84
"82","2014/04/02 00:13",87
"83","2014/04/02 00:18",89
"84","2014/04/02 00:23",89
"85","2014/04/02 00:28",90
"86","2014/04/02 00:33",89
"87","2014/04/02 00:38",89
"88","2014/04/02 00:43",86
"89","2014/04/02 00:48",92
"90","2014/04/02 00:53",86
"91","2014/04/02 00:58",91
"92","2014/04/02 01:03",89
"93","2014/04/02 01:08",79
"94","2014/04/02 01:13",85
"95","2014/04/02 01:18",88
"96","2014/04/02 01:23",87
