LDEV_Read_Hit_X598-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:4E X"
"1","2014/04/01 17:28",91
"2","2014/04/01 17:33",89
"3","2014/04/01 17:38",90
"4","2014/04/01 17:43",92
"5","2014/04/01 17:48",83
"6","2014/04/01 17:53",90
"7","2014/04/01 17:58",93
"8","2014/04/01 18:03",89
"9","2014/04/01 18:08",91
"10","2014/04/01 18:13",92
"11","2014/04/01 18:18",87
"12","2014/04/01 18:23",91
"13","2014/04/01 18:28",85
"14","2014/04/01 18:33",85
"15","2014/04/01 18:38",87
"16","2014/04/01 18:43",87
"17","2014/04/01 18:48",89
"18","2014/04/01 18:53",86
"19","2014/04/01 18:58",87
"20","2014/04/01 19:03",90
"21","2014/04/01 19:08",82
"22","2014/04/01 19:13",89
"23","2014/04/01 19:18",87
"24","2014/04/01 19:23",86
"25","2014/04/01 19:28",89
"26","2014/04/01 19:33",84
"27","2014/04/01 19:38",86
"28","2014/04/01 19:43",52
"29","2014/04/01 19:48",57
"30","2014/04/01 19:53",58
"31","2014/04/01 19:58",81
"32","2014/04/01 20:03",84
"33","2014/04/01 20:08",86
"34","2014/04/01 20:13",89
"35","2014/04/01 20:18",94
"36","2014/04/01 20:23",95
"37","2014/04/01 20:28",91
"38","2014/04/01 20:33",92
"39","2014/04/01 20:38",95
"40","2014/04/01 20:43",93
"41","2014/04/01 20:48",94
"42","2014/04/01 20:53",90
"43","2014/04/01 20:58",90
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",70
"46","2014/04/01 21:13",82
"47","2014/04/01 21:18",77
"48","2014/04/01 21:23",76
"49","2014/04/01 21:28",86
"50","2014/04/01 21:33",76
"51","2014/04/01 21:38",81
"52","2014/04/01 21:43",86
"53","2014/04/01 21:48",74
"54","2014/04/01 21:53",83
"55","2014/04/01 21:58",74
"56","2014/04/01 22:03",72
"57","2014/04/01 22:08",68
"58","2014/04/01 22:13",73
"59","2014/04/01 22:18",85
"60","2014/04/01 22:23",82
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",73
"63","2014/04/01 22:38",74
"64","2014/04/01 22:43",84
"65","2014/04/01 22:48",83
"66","2014/04/01 22:53",77
"67","2014/04/01 22:58",79
"68","2014/04/01 23:03",74
"69","2014/04/01 23:08",74
"70","2014/04/01 23:13",79
"71","2014/04/01 23:18",78
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",84
"74","2014/04/01 23:33",81
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",87
"77","2014/04/01 23:48",81
"78","2014/04/01 23:53",85
"79","2014/04/01 23:58",89
"80","2014/04/02 00:03",84
"81","2014/04/02 00:08",83
"82","2014/04/02 00:13",86
"83","2014/04/02 00:18",89
"84","2014/04/02 00:23",87
"85","2014/04/02 00:28",90
"86","2014/04/02 00:33",91
"87","2014/04/02 00:38",90
"88","2014/04/02 00:43",87
"89","2014/04/02 00:48",92
"90","2014/04/02 00:53",88
"91","2014/04/02 00:58",90
"92","2014/04/02 01:03",89
"93","2014/04/02 01:08",79
"94","2014/04/02 01:13",84
"95","2014/04/02 01:18",82
"96","2014/04/02 01:23",87
